surah	ayah	word_index	morpheme_index	qac_ref	surface_ar	lemma_ar	root_ar	root_norm	pos	morpheme_role	morph_features	aspect	mood	voice	measure	person	number	gender
103	1	1	1	103:1:1:1	وَ				P	PREFIX	PREFIX|w:P+							
103	1	1	2	103:1:1:2	ٱلْ				DET	PREFIX	PREFIX|Al+							
103	1	1	3	103:1:1:3	عَصْرِ	عَصْر	ع ص ر	ع ص ر	N	STEM	STEM|POS:N|LEM:EaSor|ROOT:ESr|M|GEN							
103	2	1	1	103:2:1:1	إِنَّ	إِنّ			ACC	STEM	STEM|POS:ACC|LEM:<in~|SP:<in~							
103	2	2	1	103:2:2:1	ٱلْ				DET	PREFIX	PREFIX|Al+							
103	2	2	2	103:2:2:2	إِنسَٰنَ	إِنسَٰن	ء ن س	ء ن س	N	STEM	STEM|POS:N|LEM:<insa`n|ROOT:Ans|M|ACC							
103	2	3	1	103:2:3:1	لَ				EMPH	PREFIX	PREFIX|l:EMPH+							
103	2	3	2	103:2:3:2	فِى	فِى			P	STEM	STEM|POS:P|LEM:fiY							
103	2	4	1	103:2:4:1	خُسْرٍ	خُسْر	خ س ر	خ س ر	N	STEM	STEM|POS:N|LEM:xusor|ROOT:xsr|M|INDEF|GEN							
103	3	1	1	103:3:1:1	إِلَّا	إِلَّا			EXP	STEM	STEM|POS:EXP|LEM:<il~aA							
103	3	2	1	103:3:2:1	ٱلَّذِينَ	ٱلَّذِى			REL	STEM	STEM|POS:REL|LEM:{l~a*iY|MP							
103	3	3	1	103:3:3:1	ءَامَنُ	ءَامَنَ	ء م ن	ء م ن	V	STEM	STEM|POS:V|PERF|(IV)|LEM:'aAmana|ROOT:Amn|3MP	PERF			IV			
103	3	3	2	103:3:3:2	وا۟				PRON	SUFFIX	SUFFIX|PRON:3MP							
103	3	4	1	103:3:4:1	وَ				CONJ	PREFIX	PREFIX|w:CONJ+							
103	3	4	2	103:3:4:2	عَمِلُ	عَمِلَ	ع م ل	ع م ل	V	STEM	STEM|POS:V|PERF|LEM:Eamila|ROOT:Eml|3MP	PERF						
103	3	4	3	103:3:4:3	وا۟				PRON	SUFFIX	SUFFIX|PRON:3MP							
103	3	5	1	103:3:5:1	ٱل				DET	PREFIX	PREFIX|Al+							
103	3	5	2	103:3:5:2	صَّٰلِحَٰتِ	صَّٰلِحَٰت	ص ل ح	ص ل ح	N	STEM	STEM|POS:N|ACT|PCPL|LEM:S~a`liHa`t|ROOT:SlH|FP|ACC			ACT				
103	3	6	1	103:3:6:1	وَ				CONJ	PREFIX	PREFIX|w:CONJ+							
103	3	6	2	103:3:6:2	تَوَاصَ	تَوَاصَ	و ص ي	و ص ي	V	STEM	STEM|POS:V|PERF|(VI)|LEM:tawaASa|ROOT:wSy|3MP	PERF			VI			
103	3	6	3	103:3:6:3	وْا۟				PRON	SUFFIX	SUFFIX|PRON:3MP							
103	3	7	1	103:3:7:1	بِ				P	PREFIX	PREFIX|bi+							
103	3	7	2	103:3:7:2	ٱلْ				DET	PREFIX	PREFIX|Al+							
103	3	7	3	103:3:7:3	حَقِّ	حَقّ	ح ق ق	ح ق ق	N	STEM	STEM|POS:N|LEM:Haq~|ROOT:Hqq|M|GEN							
103	3	8	1	103:3:8:1	وَ				CONJ	PREFIX	PREFIX|w:CONJ+							
103	3	8	2	103:3:8:2	تَوَاصَ	تَوَاصَ	و ص ي	و ص ي	V	STEM	STEM|POS:V|PERF|(VI)|LEM:tawaASa|ROOT:wSy|3MP	PERF			VI			
103	3	8	3	103:3:8:3	وْا۟				PRON	SUFFIX	SUFFIX|PRON:3MP							
103	3	9	1	103:3:9:1	بِ				P	PREFIX	PREFIX|bi+							
103	3	9	2	103:3:9:2	ٱل				DET	PREFIX	PREFIX|Al+							
103	3	9	3	103:3:9:3	صَّبْرِ	صَبْر	ص ب ر	ص ب ر	N	STEM	STEM|POS:N|LEM:Sabor|ROOT:Sbr|M|GEN							
