qac_root_join_key	qac_root_ar	qac_root_norm	qac_root_canonical	occurrences	surah_count	surahs	example_refs	example_surfaces	example_lemmas	status	audit_class	chosen_method	chosen_root_ids	source_exact_root_ids	normalized_exact_root_ids	canonical_root_ids	legacy_root_norm_extra_root_ids	legacy_root_norm_extra_branch_count	chosen_branch_count	notes
ءله	ء ل ه	ء ل ه	اله	2851	86	1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;57;58;59;60;61;62;63;64;65;66;67;69;70;71;72;73;74;76;79;81;82;84;85;87;88;91;95;96;98;104;110;112;114	1:1:2;1:2:2;2:7:2;2:8:6;2:9:2;2:10:5;2:15:1;2:17:11	ٱللَّهِ;لَّهِ;ٱللَّهُ;ٱللَّهَ	ٱللَّه	ok_normalized_unique	ok	normalized_exact	root_000047		root_000047	root_000047		0	2	no source_root_norm exact match
قول	ق و ل	ق و ل	قول	1722	84	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;54;56;57;58;59;60;61;62;63;64;66;67;68;69;71;72;73;74;75;77;78;79;81;83;86;89;90;91;99;109;112;113;114	2:8:4;2:11:2;2:11:8;2:13:2;2:13:8;2:14:5;2:14:11;2:25:19	يَقُولُ;قِيلَ;قَالُ	قَالَ	ok_source_exact	ok	source_exact	root_001272	root_001272	root_001272	root_001272		0	16	
كون	ك و ن	ك و ن	كون	1390	86	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;83;84;90;96;98;101;110;112	2:10:11;2:16:10;2:23:2;2:23:19;2:28:4;2:31:14;2:33:21;2:34:11	كَانُ;كُن;كَانَ	كَانَ	ok_source_exact	ok	source_exact	root_001332	root_001332	root_001332	root_001332		0	6	
ربب	ر ب ب	ر ب ب	ربب	980	94	1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;50;51;52;53;54;55;56;57;59;60;63;64;65;66;67;68;69;70;71;72;73;74;75;76;78;79;81;82;83;84;85;87;89;91;92;93;94;96;97;98;99;100;105;106;108;110;113;114	1:2:3;2:5:5;2:21:4;2:26:19;2:30:3;2:37:4;2:46:5;2:49:17	رَبِّ;رَّبِّ;رَبَّ;رَبُّ	رَبّ	ok_source_exact	ok	source_exact	root_000532	root_000532	root_000532	root_000532		0	17	
ءمن	ء م ن	ء م ن	امن	879	77	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;51;52;53;57;58;59;60;61;62;63;64;65;66;67;69;70;71;72;74;77;81;83;84;85;90;95;98;103;106	2:3:2;2:4:2;2:6:11;2:8:5;2:8:11;2:9:4;2:13:4;2:13:6	يُؤْمِنُ;ءَامَ;مُؤْمِنِينَ;ءَامَنُ;ءَامِنُ;ءَامَنَ	ءَامَنَ;مُؤْمِن	ok_normalized_unique	ok	normalized_exact	root_000054		root_000054	root_000054		0	3	no source_root_norm exact match
علم	ع ل م	ع ل م	علم	854	85	1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;76;77;78;81;82;83;84;87;96;100;102	1:2:4;2:13:19;2:22:23;2:26:15;2:29:19;2:30:25;2:30:28;2:31:1	عَٰلَمِينَ;يَعْلَمُ;تَعْلَمُ;عَلِيمٌ;أَعْلَمُ;عَلَّمَ	عَٰلَمِين;عَلِمَ;عَلِيم;عَلَّمَ	ok_source_exact	ok	source_exact	root_001040	root_001040	root_001040	root_001040		0	6	
قوم	ق و م	ق و م	قوم	660	79	1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;57;58;59;60;61;62;63;65;66;67;68;69;70;71;72;73;74;75;78;79;81;83;95;98	1:6:3;2:3:4;2:20:13;2:43:1;2:54:4;2:54:5;2:60:4;2:67:4	مُسْتَقِيمَ;يُقِيمُ;قَامُ;أَقِيمُ;قَوْمِ	مُّسْتَقِيم;أَقَامَ;قَامَ;قَوْم	ok_source_exact	ok	source_exact	root_001273	root_001273	root_001273	root_001273		0	20	
ءتي	ء ت ي	ء ت ي	اتي	549	72	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;51;52;57;58;59;60;61;62;63;64;65;67;68;69;71;73;74;76;78;79;84;85;88;92;98	2:23:9;2:25:25;2:38:6;2:43:3;2:53:2;2:63:9;2:83:21;2:85:16	أْتُ;أُتُ;يَأْتِيَ;ءَاتُ;ءَاتَيْ;يَأْتُ	أَتَى;آتَى	ok_normalized_unique	ok	normalized_exact	root_000009		root_000009	root_000009		0	13	no source_root_norm exact match
كفر	ك ف ر	ك ف ر	كفر	525	77	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;45;46;47;48;49;50;51;52;54;57;58;59;60;61;63;64;65;66;67;68;69;70;71;73;74;76;78;80;83;84;85;86;88;90;98;109	2:6:3;2:19:19;2:24:13;2:26:22;2:28:2;2:34:13;2:39:2;2:41:10	كَفَرُ;كَٰفِرِينَ;تَكْفُرُ;كَافِرٍۭ	كَفَرَ;كَٰفِرُون;كَافِر	ok_source_exact	ok	source_exact	root_001307	root_001307	root_001307	root_001307		0	15	
بين	ب ي ن	ب ي ن	بين	523	71	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;54;55;56;57;58;59;60;61;62;64;65;66;67;71;72;75;78;81;86;98	2:66:4;2:68:5;2:68:19;2:69:5;2:70:5;2:87:13;2:92:4;2:97:14	بَيْنَ;يُبَيِّن;بَيِّنَٰتِ	بَيْن;بَيَّنُ;بَيِّنَة	ok_source_exact	ok	source_exact	root_000170	root_000170	root_000170	root_000170		0	12	
