source_token_id	ayah_ref	source_token_index	surface_ar	word_ids	qac_word_refs	binding_status
t-s034-a000-w001	34:0	1	بِسْمِ	w-s034-a000-w001	1:1:1	one_to_one
t-s034-a000-w002	34:0	2	ٱللَّهِ	w-s034-a000-w002	1:1:2	one_to_one
t-s034-a000-w003	34:0	3	ٱلرَّحْمَٰنِ	w-s034-a000-w003	1:1:3	one_to_one
t-s034-a000-w004	34:0	4	ٱلرَّحِيمِ	w-s034-a000-w004	1:1:4	one_to_one
t-s034-a001-w001	34:1	1	ٱلْحَمْدُ	w-s034-a001-w001	34:1:1	one_to_one
t-s034-a001-w002	34:1	2	لِلَّهِ	w-s034-a001-w002	34:1:2	one_to_one
t-s034-a001-w003	34:1	3	ٱلَّذِى	w-s034-a001-w003	34:1:3	one_to_one
t-s034-a001-w004	34:1	4	لَهُۥ	w-s034-a001-w004	34:1:4	one_to_one
t-s034-a001-w005	34:1	5	مَا	w-s034-a001-w005	34:1:5	one_to_one
t-s034-a001-w006	34:1	6	فِى	w-s034-a001-w006	34:1:6	one_to_one
t-s034-a001-w007	34:1	7	ٱلسَّمَٰوَٰتِ	w-s034-a001-w007	34:1:7	one_to_one
t-s034-a001-w008	34:1	8	وَمَا	w-s034-a001-w008	34:1:8	one_to_one
t-s034-a001-w009	34:1	9	فِى	w-s034-a001-w009	34:1:9	one_to_one
t-s034-a001-w010	34:1	10	ٱلْأَرْضِ	w-s034-a001-w010	34:1:10	one_to_one
t-s034-a001-w011	34:1	11	وَلَهُ	w-s034-a001-w011	34:1:11	one_to_one
t-s034-a001-w012	34:1	12	ٱلْحَمْدُ	w-s034-a001-w012	34:1:12	one_to_one
t-s034-a001-w013	34:1	13	فِى	w-s034-a001-w013	34:1:13	one_to_one
t-s034-a001-w014	34:1	14	ٱلْءَاخِرَةِ	w-s034-a001-w014	34:1:14	one_to_one
t-s034-a001-w015	34:1	15	وَهُوَ	w-s034-a001-w015	34:1:15	one_to_one
t-s034-a001-w016	34:1	16	ٱلْحَكِيمُ	w-s034-a001-w016	34:1:16	one_to_one
t-s034-a001-w017	34:1	17	ٱلْخَبِيرُ	w-s034-a001-w017	34:1:17	one_to_one
t-s034-a002-w001	34:2	1	يَعْلَمُ	w-s034-a002-w001	34:2:1	one_to_one
t-s034-a002-w002	34:2	2	مَا	w-s034-a002-w002	34:2:2	one_to_one
t-s034-a002-w003	34:2	3	يَلِجُ	w-s034-a002-w003	34:2:3	one_to_one
t-s034-a002-w004	34:2	4	فِى	w-s034-a002-w004	34:2:4	one_to_one
t-s034-a002-w005	34:2	5	ٱلْأَرْضِ	w-s034-a002-w005	34:2:5	one_to_one
t-s034-a002-w006	34:2	6	وَمَا	w-s034-a002-w006	34:2:6	one_to_one
t-s034-a002-w007	34:2	7	يَخْرُجُ	w-s034-a002-w007	34:2:7	one_to_one
t-s034-a002-w008	34:2	8	مِنْهَا	w-s034-a002-w008	34:2:8	one_to_one
t-s034-a002-w009	34:2	9	وَمَا	w-s034-a002-w009	34:2:9	one_to_one
t-s034-a002-w010	34:2	10	يَنزِلُ	w-s034-a002-w010	34:2:10	one_to_one
t-s034-a002-w011	34:2	11	مِنَ	w-s034-a002-w011	34:2:11	one_to_one
t-s034-a002-w012	34:2	12	ٱلسَّمَآءِ	w-s034-a002-w012	34:2:12	one_to_one
t-s034-a002-w013	34:2	13	وَمَا	w-s034-a002-w013	34:2:13	one_to_one
t-s034-a002-w014	34:2	14	يَعْرُجُ	w-s034-a002-w014	34:2:14	one_to_one
t-s034-a002-w015	34:2	15	فِيهَا	w-s034-a002-w015	34:2:15	one_to_one
t-s034-a002-w016	34:2	16	وَهُوَ	w-s034-a002-w016	34:2:16	one_to_one
t-s034-a002-w017	34:2	17	ٱلرَّحِيمُ	w-s034-a002-w017	34:2:17	one_to_one
t-s034-a002-w018	34:2	18	ٱلْغَفُورُ	w-s034-a002-w018	34:2:18	one_to_one
t-s034-a003-w001	34:3	1	وَقَالَ	w-s034-a003-w001	34:3:1	one_to_one
t-s034-a003-w002	34:3	2	ٱلَّذِينَ	w-s034-a003-w002	34:3:2	one_to_one
t-s034-a003-w003	34:3	3	كَفَرُوا۟	w-s034-a003-w003	34:3:3	one_to_one
t-s034-a003-w004	34:3	4	لَا	w-s034-a003-w004	34:3:4	one_to_one
t-s034-a003-w005	34:3	5	تَأْتِينَا	w-s034-a003-w005	34:3:5	one_to_one
t-s034-a003-w006	34:3	6	ٱلسَّاعَةُ	w-s034-a003-w006	34:3:6	one_to_one
t-s034-a003-w007	34:3	7	قُلْ	w-s034-a003-w007	34:3:7	one_to_one
t-s034-a003-w008	34:3	8	بَلَىٰ	w-s034-a003-w008	34:3:8	one_to_one
t-s034-a003-w009	34:3	9	وَرَبِّى	w-s034-a003-w009	34:3:9	one_to_one
t-s034-a003-w010	34:3	10	لَتَأْتِيَنَّكُمْ	w-s034-a003-w010	34:3:10	one_to_one
t-s034-a003-w011	34:3	11	عَٰلِمِ	w-s034-a003-w011	34:3:11	one_to_one
t-s034-a003-w012	34:3	12	ٱلْغَيْبِ	w-s034-a003-w012	34:3:12	one_to_one
t-s034-a003-w013	34:3	13	لَا	w-s034-a003-w013	34:3:13	one_to_one
t-s034-a003-w014	34:3	14	يَعْزُبُ	w-s034-a003-w014	34:3:14	one_to_one
t-s034-a003-w015	34:3	15	عَنْهُ	w-s034-a003-w015	34:3:15	one_to_one
t-s034-a003-w016	34:3	16	مِثْقَالُ	w-s034-a003-w016	34:3:16	one_to_one
t-s034-a003-w017	34:3	17	ذَرَّةٍۢ	w-s034-a003-w017	34:3:17	one_to_one
t-s034-a003-w018	34:3	18	فِى	w-s034-a003-w018	34:3:18	one_to_one
t-s034-a003-w019	34:3	19	ٱلسَّمَٰوَٰتِ	w-s034-a003-w019	34:3:19	one_to_one
t-s034-a003-w020	34:3	20	وَلَا	w-s034-a003-w020	34:3:20	one_to_one
t-s034-a003-w021	34:3	21	فِى	w-s034-a003-w021	34:3:21	one_to_one
