syntax_edge_id	attachment_edge_id	ayah_ref	source_word_id	target_word_id	prep_word_id	source_morpheme_id	target_morpheme_id	prep_morpheme_id	source_qac_ref	target_qac_ref	prep_qac_ref	source_attachment_unit_id	target_attachment_unit_id	prep_attachment_unit_id	source_position	target_position	prep_position	relation	status	confidence	source_part	target_part	source_form_tag	target_form_tag	object_type	prep_base	binding_status	evidence	reason	source_pointer
sx-64_0-00001	ae:v3:s001:001:pass1:attach:a1	64:0	w-s064-a000-w001	w-s064-a000-w001	w-s064-a000-w001	m-w-s064-a000-w001-01	m-w-s064-a000-w001-02	m-w-s064-a000-w001-01	1:1:1:1	1:1:1:2	1:1:1:1	q:1:1:1	q:1:1:2	q:1:1:1	1	2	1	prep_complement	strongly_licensed	high			PREP	NOUN_ABSTRACT		بـ	position_morpheme_aligned	case_government;formulaic_construction	سْمِ is governed by the prefixed بِ in the formula بِسْمِ.	resources/attachments.tsv:2
sx-64_0-00002	ae:v3:s001:001:pass1:attach:a2	64:0	w-s064-a000-w001	w-s064-a000-w002		m-w-s064-a000-w001-02	m-w-s064-a000-w002-01		1:1:1:2	1:1:2:1		q:1:1:2	q:1:1:3		2	3		idafa	syntactically_forced	high			NOUN_ABSTRACT	NOUN_PROP			position_morpheme_aligned	case_government;local_syntax	ٱللَّهِ is the genitive muḍāf ilayhi of سْمِ.	resources/attachments.tsv:3
sx-64_0-00003	ae:v3:s001:001:pass1:attach:a3	64:0	w-s064-a000-w002	w-s064-a000-w003		m-w-s064-a000-w002-01	m-w-s064-a000-w003-02		1:1:2:1	1:1:3:2		q:1:1:3	q:1:1:4		3	4		adjective	strongly_licensed	high			NOUN_PROP	NOUN_PROP			position_morpheme_aligned	agreement;local_syntax	ٱلرَّحْمَٰنِ follows ٱللَّهِ in genitive definiteness as an adjectival divine epithet.	resources/attachments.tsv:4
sx-64_0-00004	ae:v3:s001:001:pass1:attach:a4	64:0	w-s064-a000-w002	w-s064-a000-w003		m-w-s064-a000-w002-01	m-w-s064-a000-w003-02		1:1:2:1	1:1:3:2		q:1:1:3	q:1:1:5		3	5		adjective	strongly_licensed	high			NOUN_PROP	NOUN_PROP			fallback_morpheme_aligned	agreement;local_syntax	ٱلرَّحِيمِ follows ٱللَّهِ in the same genitive adjectival series.	resources/attachments.tsv:5
sx-64_1-00005	ae:v3:s064:001:pass1:attach:a1	64:1	w-s064-a001-w001	w-s064-a001-w002	w-s064-a001-w002	m-w-s064-a001-w001-01	m-w-s064-a001-w002-02	m-w-s064-a001-w002-01	64:1:1:1	64:1:2:2	64:1:2:1	q:64:1:1	q:64:1:3	q:64:1:2	1	3	2	prep_complement	syntactically_forced	high			IV	NOUN_PROP		لـ	position_morpheme_aligned	case_government;local_syntax	ٱللَّهِ is governed by لِ and completes يُسَبِّحُ.	resources/attachments.tsv:53867
sx-64_1-00006	ae:v3:s064:001:pass1:attach:a2	64:1	w-s064-a001-w001	w-s064-a001-w003		m-w-s064-a001-w001-01	m-w-s064-a001-w003-01		64:1:1:1	64:1:3:1		q:64:1:1	q:64:1:4		1	4		subject	strongly_licensed	high			IV	REL_PRON			position_morpheme_aligned	word_order;local_syntax	مَا is the overt subject of يُسَبِّحُ.	resources/attachments.tsv:53868
sx-64_1-00007	ae:v3:s064:001:pass1:attach:a3	64:1	w-s064-a001-w003	w-s064-a001-w005	w-s064-a001-w004	m-w-s064-a001-w003-01	m-w-s064-a001-w005-02	m-w-s064-a001-w004-01	64:1:3:1	64:1:5:2	64:1:4:1	q:64:1:4	q:64:1:6	q:64:1:5	4	6	5	prep_complement	syntactically_forced	high			REL_PRON	NOUN_CONCRETE		فِي	position_morpheme_aligned	case_government;local_syntax	ٱلسَّمَٰوَٰتِ is governed by فِى in the phrase مَا فِى ٱلسَّمَٰوَٰتِ.	resources/attachments.tsv:53869
sx-64_1-00008	ae:v3:s064:001:pass1:attach:a4	64:1	w-s064-a001-w003	w-s064-a001-w006		m-w-s064-a001-w003-01	m-w-s064-a001-w006-02		64:1:3:1	64:1:6:2		q:64:1:4	q:64:1:8		4	8		conjoined	strongly_licensed	high			REL_PRON	REL_PRON			position_morpheme_aligned	parallelism;local_syntax	وَمَا فِى ٱلْأَرْضِ is coordinated with مَا فِى ٱلسَّمَٰوَٰتِ.	resources/attachments.tsv:53870
sx-64_1-00009	ae:v3:s064:001:pass1:attach:a5	64:1	w-s064-a001-w006	w-s064-a001-w008	w-s064-a001-w007	m-w-s064-a001-w006-02	m-w-s064-a001-w008-02	m-w-s064-a001-w007-01	64:1:6:2	64:1:8:2	64:1:7:1	q:64:1:8	q:64:1:10	q:64:1:9	8	10	9	prep_complement	syntactically_forced	high			REL_PRON	NOUN_CONCRETE		فِي	position_morpheme_aligned	case_government;local_syntax	ٱلْأَرْضِ is governed by فِى in the coordinated phrase مَا فِى ٱلْأَرْضِ.	resources/attachments.tsv:53871
sx-64_1-00010	ae:v3:s064:001:pass1:attach:a6	64:1	w-s064-a001-w010	w-s064-a001-w008	w-s064-a001-w008	m-w-s064-a001-w010-02	m-w-s064-a001-w008-02	m-w-s064-a001-w008-02	64:1:10:2	64:1:8:2	64:1:8:2	q:64:1:12	q:64:1:11	q:64:1:11	12	11	11	prep_complement	syntactically_forced	high		pronoun_suffix	NOUN_ABSTRACT			لـ	fallback_morpheme_aligned	case_government;local_syntax	The pronoun suffix in لَهُ is governed by the prefixed لَ in the predication with ٱلْمُلْكُ.	resources/attachments.tsv:53872
