family_id	branch_status	node_id	root	branch_id	ayahs	image_ar
F001	core	quranic:root_000047:B001	ء ل ه	B001	1,2	التعبد والمعبود
F001	core	quranic:root_000532:B005	ر ب ب	B005	2	ربيب وربيبة ورابة
F001	core	quranic:root_000552:B003	ر ح م	B003	1,3	رَحِم الأنثى
F001	core	quranic:root_000973:B011	ع ب د	B011	5	العطب والانقطاع
F001	core	quranic:root_001040:B004	ع ل م	B004	2	شق ظاهر في الشفة العليا
F001	core	quranic:root_001092:B007	غ ض ب	B007	7	العبوس والضجر والعظم في وصف الحيوان أو الشخص
F001	core	quranic:root_001119:B004	غ ي ر	B004	7	الغَيْرة على الأهل
F001	core	quranic:root_001273:B001	ق و م	B001	6	جماعة الناس والرجال
F001	core	quranic:root_001273:B002	ق و م	B002	6	انتصاب وقيام بالبدن
F001	optional	quranic:root_000355:B005	ح م د	B005	2	يتحمد بالمنة
F001	optional	quranic:root_000504:B007	د ي ن	B007	4	التصديق والتفويض
F001	optional	quranic:root_000532:B003	ر ب ب	B003	2	علم رباني
F001	optional	quranic:root_000532:B007	ر ب ب	B007	2	لزوم وإقامة ودوام
F001	optional	quranic:root_000532:B009	ر ب ب	B009	2	شاة رُبّى وحداثة
F001	optional	quranic:root_000532:B015	ر ب ب	B015	2	حرف رب وربما
F001	optional	quranic:root_000552:B001	ر ح م	B001	1,3	الرَّحْمَة والرقة
F001	optional	quranic:root_000552:B002	ر ح م	B002	1,3	الرَّحِم والقرابة
F001	optional	quranic:root_000552:B004	ر ح م	B004	1,3	وجع الرَّحِم بعد الولادة
F001	optional	quranic:root_000745:B001	س م و	B001	1	العلو والارتفاع
F001	optional	quranic:root_000913:B001	ض ل ل	B001	7	الضلال عن الهدى والقصد
F001	optional	quranic:root_000913:B003	ض ل ل	B003	7	فقدان الشيء
F001	optional	quranic:root_000973:B008	ع ب د	B008	5	الأنفة والغضب
F001	optional	quranic:root_000973:B012	ع ب د	B012	5	صَلاءة الطيب
F001	optional	quranic:root_001040:B002	ع ل م	B002	2	أثر يميز الشيء ويهدي إليه
F001	optional	quranic:root_001040:B006	ع ل م	B006	2	طائر جارح يسمى العلام
F001	optional	quranic:root_001040:B007	ع ل م	B007	2	ذكر الضباع يسمى العيلام
F001	optional	quranic:root_001064:B005	ع و ن	B005	5	استواء الخلقة وتلاحق القوة
F001	optional	quranic:root_001064:B007	ع و ن	B007	5	عانة الرجل
F001	optional	quranic:root_001092:B005	غ ض ب	B005	7	غلظ الجسم وشدة الحمرة
F001	optional	quranic:root_001092:B006	غ ض ب	B006	7	تورم العين وما حولها
F001	optional	quranic:root_001119:B002	غ ي ر	B002	7	الغَيْر في الدية
F001	optional	quranic:root_001273:B006	ق و م	B006	6	مقام وإقامة في موضع
F001	optional	quranic:root_001273:B011	ق و م	B011	6	قامة وقوام الجسم والطول
F001	optional	quranic:root_001273:B018	ق و م	B018	6	نفاق السوق
F001	optional	quranic:root_001273:B020	ق و م	B020	6	قوام في قوائم الشاة
F001	optional	quranic:root_001444:B004	م ل ك	B004	4	الإملاك والتزويج
F001	optional	quranic:root_001525:B006	ن ع م	B006	7	النعام والنعامة الطائر
F001	optional	quranic:root_001525:B011	ن ع م	B011	7	موافقة المكان وطيب المقام
F001	optional	quranic:root_001583:B006	ه د ي	B006	6	العروس المهدية إلى زوجها
F001	optional	quranic:root_001583:B007	ه د ي	B007	6	هدي الحرمة والأسير
F001	optional	quranic:root_001583:B011	ه د ي	B011	6	إهداء الشعر ومهاداته
F002	core	quranic:root_000504:B002	د ي ن	B002	4	الحساب والجزاء
F002	core	quranic:root_000504:B005	د ي ن	B005	4	العادة والشأن
F002	core	quranic:root_000532:B007	ر ب ب	B007	2	لزوم وإقامة ودوام
F002	core	quranic:root_000973:B006	ع ب د	B006	5	التكريم والتعظيم
F002	core	quranic:root_001273:B006	ق و م	B006	6	مقام وإقامة في موضع
F002	core	quranic:root_001273:B009	ق و م	B009	6	قوام وعماد ومعاش
F002	core	quranic:root_001273:B013	ق و م	B013	6	قيامة وبعث وقيام الساعة
F002	core	quranic:root_001273:B017	ق و م	B017	6	انتصاف النهار وقائم الظهيرة
F002	core	quranic:root_001525:B011	ن ع م	B011	7	موافقة المكان وطيب المقام
F002	core	quranic:root_001700:B001	ي و م	B001	4	وقت النهار المحدود
F002	core	quranic:root_001700:B002	ي و م	B002	4	مدة من الزمان
F002	core	quranic:root_001700:B003	ي و م	B003	4	كائنة اليوم وشدته
F002	optional	quranic:root_000047:B001	ء ل ه	B001	1,2	التعبد والمعبود
F002	optional	quranic:root_000355:B002	ح م د	B002	2	وجود الشيء محمودا
F002	optional	quranic:root_000355:B003	ح م د	B003	2	المحمود كثير الخصال
F002	optional	quranic:root_000355:B005	ح م د	B005	2	يتحمد بالمنة
F002	optional	quranic:root_000504:B001	د ي ن	B001	4	الطاعة والانقياد
F002	optional	quranic:root_000504:B003	د ي ن	B003	4	الدين المالي
F002	optional	quranic:root_000532:B003	ر ب ب	B003	2	علم رباني
F002	optional	quranic:root_000532:B004	ر ب ب	B004	2	ربة وجماعات كثيرة
F002	optional	quranic:root_000532:B016	ر ب ب	B016	2	رُبَى حاجة وعقدة ونعمة
F002	optional	quranic:root_000745:B006	س م و	B006	1	الخروج للصيد
F002	optional	quranic:root_000913:B003	ض ل ل	B003	7	فقدان الشيء
F002	optional	quranic:root_000973:B003	ع ب د	B003	5	العبادة والطاعة الخاضعة
F002	optional	quranic:root_000973:B004	ع ب د	B004	5	التعبيد والاستعباد
F002	optional	quranic:root_000973:B007	ع ب د	B007	5	القوة والصلابة
F002	optional	quranic:root_000973:B008	ع ب د	B008	5	الأنفة والغضب
F002	optional	quranic:root_000973:B011	ع ب د	B011	5	العطب والانقطاع
F002	optional	quranic:root_001040:B005	ع ل م	B005	2	ماء كثير مجتمع في عيلم
F002	optional	quranic:root_001064:B001	ع و ن	B001	5	الإعانة والمظاهرة
F002	optional	quranic:root_001064:B003	ع و ن	B003	5	الحرب العَوان
F002	optional	quranic:root_001064:B006	ع و ن	B006	5	العانة قطيع الحمر
F002	optional	quranic:root_001092:B002	غ ض ب	B002	7	الغضب لشخص حي أو به بعد موته
F002	optional	quranic:root_001092:B003	غ ض ب	B003	7	المراغمة والمخالفة
F002	optional	quranic:root_001273:B002	ق و م	B002	6	انتصاب وقيام بالبدن
F002	optional	quranic:root_001273:B004	ق و م	B004	6	رعاية وحفظ وولاية
F002	optional	quranic:root_001273:B007	ق و م	B007	6	نيابة وقيام مقام غيره
F002	optional	quranic:root_001273:B008	ق و م	B008	6	استقامة واعتدال واستواء
F002	optional	quranic:root_001273:B011	ق و م	B011	6	قامة وقوام الجسم والطول
F002	optional	quranic:root_001273:B016	ق و م	B016	6	جمود ووقوف وكلال
F002	optional	quranic:root_001273:B018	ق و م	B018	6	نفاق السوق
F002	optional	quranic:root_001444:B007	م ل ك	B007	4	الماء مَلَك الأمر
F002	optional	quranic:root_001525:B002	ن ع م	B002	7	اللين والنعومة ورفاه العيش
F002	optional	quranic:root_001525:B008	ن ع م	B008	7	طيران النعامة وتفرق القوم
F002	optional	quranic:root_001583:B001	ه د ي	B001	6	دلالة بلطف إلى الطريق والحق
F002	optional	quranic:root_001583:B004	ه د ي	B004	6	بعثة لطف وهدية إلى ذي مودة
F003	core	quranic:root_000532:B002	ر ب ب	B002	2	إصلاح وتربية وإتمام
F003	core	quranic:root_001525:B011	ن ع م	B011	7	موافقة المكان وطيب المقام
F003	optional	quranic:root_000355:B002	ح م د	B002	2	وجود الشيء محمودا
F003	optional	quranic:root_000532:B006	ر ب ب	B006	2	رُبّ خاثر وإصلاح به
F003	optional	quranic:root_000532:B007	ر ب ب	B007	2	لزوم وإقامة ودوام
F003	optional	quranic:root_000532:B016	ر ب ب	B016	2	رُبَى حاجة وعقدة ونعمة
F003	optional	quranic:root_000552:B001	ر ح م	B001	1,3	الرَّحْمَة والرقة
F003	optional	quranic:root_000745:B008	س م و	B008	1	الصيت الحسن المنتشر
F003	optional	quranic:root_000913:B003	ض ل ل	B003	7	فقدان الشيء
F003	optional	quranic:root_000973:B004	ع ب د	B004	5	التعبيد والاستعباد
F003	optional	quranic:root_000973:B006	ع ب د	B006	5	التكريم والتعظيم
F003	optional	quranic:root_000973:B009	ع ب د	B009	5	قلة اللبث وسرعة العدو
F003	optional	quranic:root_000973:B011	ع ب د	B011	5	العطب والانقطاع
F003	optional	quranic:root_001040:B001	ع ل م	B001	2	انكشاف الشيء للعارف
F003	optional	quranic:root_001119:B001	غ ي ر	B001	7	الصلاح والمنفعة بالميرة والسقي والإصلاح
F003	optional	quranic:root_001119:B003	غ ي ر	B003	7	تغيير الصورة أو إبدال الشيء بغيره
