attachment_unit_id	ayah_ref	qac_ayah_ref	unit_index	word_id	qac_word_ref	morpheme_ids	attachment_surfaces	attachment_roots	prep_bases	binding_method	binding_status
q:1:1:1	27:0	1:1	1	w-s027-a000-w001	1:1:1	m-w-s027-a000-w001-01	بِسْمِ		بـ	position_crosswalk	morpheme_aligned
q:1:1:2	27:0	1:1	2	w-s027-a000-w001	1:1:1	m-w-s027-a000-w001-02	بِسْمِ	س م و	بـ	position_crosswalk	morpheme_aligned
q:1:1:3	27:0	1:1	3	w-s027-a000-w002	1:1:2	m-w-s027-a000-w002-01	اللَّهِ	أ ل ه		position_crosswalk	morpheme_aligned
q:1:1:4	27:0	1:1	4	w-s027-a000-w003	1:1:3	m-w-s027-a000-w003-02	الرَّحْمَنِ	ر ح م		position_crosswalk	morpheme_aligned
q:1:1:5	27:0	1:1	5	w-s027-a000-w003	1:1:3	m-w-s027-a000-w003-02	الرَّحِيمِ	ر ح م		surface_root_sequence_fallback	morpheme_aligned
q:27:1:2	27:1	27:1	2	w-s027-a001-w002	27:1:2	m-w-s027-a001-w002-01	تِلْكَ	ت ل ك		position_crosswalk	morpheme_aligned
q:27:1:3	27:1	27:1	3	w-s027-a001-w003	27:1:3	m-w-s027-a001-w003-01	آيَاتُ	أ ي ي		position_crosswalk	morpheme_aligned
q:27:1:4	27:1	27:1	4	w-s027-a001-w004	27:1:4	m-w-s027-a001-w004-02	الْقُرْآنِ	ق ر ء		position_crosswalk	morpheme_aligned
q:27:1:6	27:1	27:1	6	w-s027-a001-w005	27:1:5	m-w-s027-a001-w005-02	وَكِتَابٍ	ك ت ب		position_crosswalk	morpheme_aligned
q:27:1:7	27:1	27:1	7	w-s027-a001-w006	27:1:6	m-w-s027-a001-w006-01	مُبِينٍ	ب ي ن		position_crosswalk	morpheme_aligned
q:27:2:1	27:2	27:2	1	w-s027-a002-w001	27:2:1	m-w-s027-a002-w001-01	هُدَىً	ه د ي	لـ	position_crosswalk	morpheme_aligned
q:27:2:3	27:2	27:2	3	w-s027-a002-w002	27:2:2	m-w-s027-a002-w002-02	وَبُشْرَى	ب ش ر		position_crosswalk	morpheme_aligned
q:27:2:4	27:2	27:2	4	w-s027-a002-w003	27:2:3	m-w-s027-a002-w003-01			لـ	position_crosswalk	morpheme_aligned
q:27:2:5	27:2	27:2	5	w-s027-a002-w003	27:2:3	m-w-s027-a002-w003-03	لِلْمُؤْمِنِينَ	أ م ن	لـ	position_crosswalk	morpheme_aligned
q:27:3:1	27:3	27:3	1	w-s027-a003-w001	27:3:1	m-w-s027-a003-w001-01	الَّذِينَ	ل ل ذ		position_crosswalk	morpheme_aligned
q:27:3:2	27:3	27:3	2	w-s027-a003-w002	27:3:2	m-w-s027-a003-w002-01	يُقِيمُونَ	ق و م		position_crosswalk	morpheme_aligned
q:27:3:3	27:3	27:3	3	w-s027-a003-w003	27:3:3	m-w-s027-a003-w003-02	الصَّلَاةَ	ص ل و		position_crosswalk	morpheme_aligned
q:27:3:5	27:3	27:3	5	w-s027-a003-w004	27:3:4	m-w-s027-a003-w004-02	وَيُؤْتُونَ	أ ت ي		position_crosswalk	morpheme_aligned
q:27:3:6	27:3	27:3	6	w-s027-a003-w005	27:3:5	m-w-s027-a003-w005-02	الزَّكَاةَ	ز ك و		position_crosswalk	morpheme_aligned
q:27:3:8	27:3	27:3	8	w-s027-a003-w006	27:3:6	m-w-s027-a003-w006-02	وَهُمْ			position_crosswalk	morpheme_aligned
q:27:3:9	27:3	27:3	9	w-s027-a003-w007	27:3:7	m-w-s027-a003-w007-01			بـ	position_crosswalk	morpheme_aligned
q:27:3:10	27:3	27:3	10	w-s027-a003-w007	27:3:7	m-w-s027-a003-w007-03	بِالْآخِرَةِ	أ خ ر	بـ	position_crosswalk	morpheme_aligned
q:27:3:11	27:3	27:3	11	w-s027-a003-w008	27:3:8	m-w-s027-a003-w008-01	هُمْ			position_crosswalk	morpheme_aligned
q:27:3:12	27:3	27:3	12	w-s027-a003-w009	27:3:9	m-w-s027-a003-w009-01	يُوقِنُونَ	ي ق ن	بـ	position_crosswalk	morpheme_aligned
q:27:4:1	27:4	27:4	1	w-s027-a004-w001	27:4:1	m-w-s027-a004-w001-01	إِنَّ			position_crosswalk	morpheme_aligned
q:27:4:2	27:4	27:4	2	w-s027-a004-w002	27:4:2	m-w-s027-a004-w002-01	الَّذِينَ	ل ل ذ		position_crosswalk	morpheme_aligned
q:27:4:4	27:4	27:4	4	w-s027-a004-w004	27:4:4	m-w-s027-a004-w004-01	يُؤْمِنُونَ	أ م ن	بـ	position_crosswalk	morpheme_aligned
q:27:4:5	27:4	27:4	5	w-s027-a004-w005	27:4:5	m-w-s027-a004-w005-01			بـ	position_crosswalk	morpheme_aligned
q:27:4:6	27:4	27:4	6	w-s027-a004-w005	27:4:5	m-w-s027-a004-w005-03	بِالْآخِرَةِ	أ خ ر	بـ	position_crosswalk	morpheme_aligned
q:27:4:7	27:4	27:4	7	w-s027-a004-w006	27:4:6	m-w-s027-a004-w006-01	زَيَّنَّا	ز ي ن	لـ	position_crosswalk	morpheme_aligned
q:27:4:8	27:4	27:4	8	w-s027-a004-w007	27:4:7	m-w-s027-a004-w007-01			لـ	position_crosswalk	morpheme_aligned
