edge_id	source_position	target_position	edge_type	direction	confidence	exact_surface_span	evidence	reason
ae:v3:s101:002:pass1:attach:a1	q:101:2:1	q:101:2:2	predication	head-to-dependent	high	مَا | الْقَارِعَةُ	local_syntax	ٱلْقَارِعَةُ supplies the nominal predicate with the interrogative مَا.
ae:v3:s101:003:pass1:attach:a1	q:101:3:3	q:101:3:2	subject	head-to-dependent	high	أَدْرَاكَ | وَمَا	word_order;local_syntax	مَآ is the explicit interrogative subject of أَدْرَىٰكَ.
ae:v3:s101:003:pass1:attach:a2	q:101:3:3	q:101:3:3	direct_object	head-to-dependent	high	أَدْرَاكَ	morphology	The suffix كَ in أَدْرَىٰكَ is the second-person object of أَدْرَىٰ.
ae:v3:s101:003:pass1:attach:a3	q:101:3:3	q:101:3:4	clausal_complement	head-to-dependent	high	أَدْرَاكَ | مَا	local_syntax;formulaic_construction	The embedded question مَا ٱلْقَارِعَةُ is the content made known by أَدْرَىٰكَ.
ae:v3:s101:003:pass1:attach:a4	q:101:3:4	q:101:3:5	predication	head-to-dependent	high	مَا | الْقَارِعَةُ	local_syntax	ٱلْقَارِعَةُ completes the nominal question opened by مَا.
ae:v3:s101:004:pass1:attach:a1	q:101:4:2	q:101:4:1	adverbial	head-to-dependent	high	يَكُونُ | يَوْمَ	case_government;local_syntax	يَوْمَ is the temporal accusative for the event expressed by يَكُونُ.
ae:v3:s101:004:pass1:attach:a2	q:101:4:2	q:101:4:3	subject	head-to-dependent	high	يَكُونُ | النَّاسُ	agreement;word_order	ٱلنَّاسُ is the nominative subject of يَكُونُ.
ae:v3:s101:004:pass1:attach:a3	q:101:4:2	q:101:4:5	prep_complement	head-to-dependent	high	يَكُونُ | كَالْفَرَاشِ	case_government;local_syntax	ٱلْفَرَاشِ is governed by كَ as the simile complement of يَكُونُ.
ae:v3:s101:004:pass1:attach:a4	q:101:4:2	q:101:4:5	kana_predicate	head-to-dependent	high	يَكُونُ | كَالْفَرَاشِ	local_syntax	كَٱلْفَرَاشِ ٱلْمَبْثُوثِ is the predicate of يَكُونُ for ٱلنَّاسُ.
ae:v3:s101:004:pass1:attach:a5	q:101:4:5	q:101:4:6	adjective	head-to-dependent	high	كَالْفَرَاشِ | الْمَبْثُوثِ	agreement;case_government	ٱلْمَبْثُوثِ agrees with ٱلْفَرَاشِ and modifies it.
