finding_id	ayah_ref	finding_ordinal	grade	anchor_ordinal	branch_ordinal	qac_word_ref	root_id	branch_id	word_id
f-1_0-001	1:0	1	strong	1	1	1:1:1	root_000745	B001	w-s001-a000-w001
f-1_0-001	1:0	1	strong	1	2	1:1:1	root_000745	B005	w-s001-a000-w001
f-1_0-001	1:0	1	strong	1	3	1:1:1	root_000745	B008	w-s001-a000-w001
f-1_0-001	1:0	1	strong	2	1	1:1:2	root_000047	B001	w-s001-a000-w002
f-1_0-001	1:0	1	strong	2	2	1:1:2	root_000047	B002	w-s001-a000-w002
f-1_0-002	1:0	2	strong	1	1	1:1:3	root_000552	B001	w-s001-a000-w003
f-1_0-002	1:0	2	strong	1	2	1:1:3	root_000552	B002	w-s001-a000-w003
f-1_0-002	1:0	2	strong	1	3	1:1:3	root_000552	B003	w-s001-a000-w003
f-1_0-002	1:0	2	strong	2	1	1:1:4	root_000552	B001	w-s001-a000-w004
f-1_0-002	1:0	2	strong	2	2	1:1:4	root_000552	B002	w-s001-a000-w004
f-1_0-002	1:0	2	strong	2	3	1:1:4	root_000552	B003	w-s001-a000-w004
f-1_2-001	1:2	1	strong	1	1	1:2:1	root_000355	B001	w-s001-a002-w001
f-1_2-001	1:2	1	strong	1	2	1:2:1	root_000355	B002	w-s001-a002-w001
f-1_2-002	1:2	2	strong	1	1	1:2:3	root_000532	B002	w-s001-a002-w003
f-1_2-002	1:2	2	strong	2	1	1:2:4	root_001040	B002	w-s001-a002-w004
f-1_2-003	1:2	3	strong	1	1	1:2:2	root_000047	B001	w-s001-a002-w002
f-1_2-003	1:2	3	strong	2	1	1:2:3	root_000532	B001	w-s001-a002-w003
f-1_2-003	1:2	3	strong	2	2	1:2:3	root_000532	B011	w-s001-a002-w003
f-1_3-001	1:3	1	strong	1	1	1:3:1	root_000552	B001	w-s001-a003-w001
f-1_3-001	1:3	1	strong	2	1	1:3:2	root_000552	B001	w-s001-a003-w002
f-1_3-002	1:3	2	strong	1	1	1:3:1	root_000552	B001	w-s001-a003-w001
f-1_3-002	1:3	2	strong	1	2	1:3:1	root_000552	B003	w-s001-a003-w001
f-1_3-002	1:3	2	strong	2	1	1:3:2	root_000552	B001	w-s001-a003-w002
f-1_3-002	1:3	2	strong	2	2	1:3:2	root_000552	B003	w-s001-a003-w002
f-1_3-003	1:3	3	strong	1	1	1:3:1	root_000552	B002	w-s001-a003-w001
f-1_3-003	1:3	3	strong	1	2	1:3:1	root_000552	B003	w-s001-a003-w001
f-1_3-003	1:3	3	strong	2	1	1:3:2	root_000552	B002	w-s001-a003-w002
f-1_3-003	1:3	3	strong	2	2	1:3:2	root_000552	B003	w-s001-a003-w002
f-1_3-004	1:3	4	weak	1	1	1:3:1	root_000552	B004	w-s001-a003-w001
f-1_3-004	1:3	4	weak	2	1	1:3:2	root_000552	B004	w-s001-a003-w002
f-1_4-001	1:4	1	strong	1	1	1:4:1	root_001444	B003	w-s001-a004-w001
f-1_4-001	1:4	1	strong	2	1	1:4:2	root_001700	B003	w-s001-a004-w002
