edge_id	source_position	target_position	edge_type	direction	confidence	exact_surface_span	evidence	reason
ae:v3:s103:001:pass1:attach:a1	q:103:1:1	q:103:1:2	particle_complement	head-to-dependent	high	وَالْعَصْرِ | وَالْعَصْرِ	case_government;formulaic_construction	وَ functions as the oath particle and governs ٱلْعَصْرِ in the oath phrase.
ae:v3:s103:002:pass1:attach:a1	q:103:2:1	q:103:2:2	particle_complement	head-to-dependent	high	إِنَّ | الْإِنْسَانَ	case_government;local_syntax	ٱلْإِنسَٰنَ is the governed ism of إِنَّ.
ae:v3:s103:002:pass1:attach:a2	q:103:2:1	q:103:2:4	prep_complement	head-to-dependent	high	إِنَّ | خُسْرٍ	case_government;local_syntax	خُسْرٍ is governed by فِى inside the khabar of إِنَّ.
ae:v3:s103:002:pass1:attach:a3	q:103:2:1	q:103:2:4	predication	head-to-dependent	high	إِنَّ | خُسْرٍ	local_syntax	لَفِى خُسْرٍ supplies the khabar predication for إِنَّ.
ae:v3:s103:003:pass1:attach:a1	q:103:3:1	q:103:3:2	exception	head-to-dependent	high	إِلَّا | الَّذِينَ	local_syntax	إِلَّا marks ٱلَّذِينَ as the excepted group, with ءَامَنُوا through بِٱلصَّبْرِ completing its scope.
ae:v3:s103:003:pass1:attach:a2	q:103:3:3	q:103:3:5	conjoined	head-to-dependent	high	آمَنُوا | وَعَمِلُوا	local_syntax;parallelism	وَ links عَمِلُوا as a coordinated predicate after ءَامَنُوا.
ae:v3:s103:003:pass1:attach:a3	q:103:3:5	q:103:3:6	direct_object	head-to-dependent	high	وَعَمِلُوا | الصَّالِحَاتِ	case_government;local_syntax	ٱلصَّٰلِحَٰتِ is the explicit object of عَمِلُوا.
ae:v3:s103:003:pass1:attach:a4	q:103:3:5	q:103:3:8	conjoined	head-to-dependent	high	وَعَمِلُوا | وَتَوَاصَوْا	local_syntax;parallelism	وَ links تَوَاصَوْا as a coordinated predicate after عَمِلُوا.
ae:v3:s103:003:pass1:attach:a5	q:103:3:8	q:103:3:9	prep_complement	head-to-dependent	high	وَتَوَاصَوْا | بِالْحَقِّ	case_government;local_syntax	بِ governs ٱلْحَقِّ as the content complement of تَوَاصَوْا.
ae:v3:s103:003:pass1:attach:a6	q:103:3:8	q:103:3:11	conjoined	head-to-dependent	high	وَتَوَاصَوْا | وَتَوَاصَوْا	local_syntax;parallelism	وَ links the second تَوَاصَوْا as a coordinated predicate after تَوَاصَوْا بِٱلْحَقِّ.
ae:v3:s103:003:pass1:attach:a7	q:103:3:11	q:103:3:12	prep_complement	head-to-dependent	high	وَتَوَاصَوْا | بِالصَّبْرِ	case_government;local_syntax	بِ governs ٱلصَّبْرِ as the content complement of تَوَاصَوْا.
