surah	ayah	word_index	morpheme_index	qac_ref	surface_ar	lemma_ar	root_ar	root_norm	root_key	pos	morpheme_role	morph_features	aspect	mood	voice	measure	person	number	gender	context_role	source_ref	data_quality
100	1	1	1	100:1:1:1	وَ					P	PREFIX	PREFIX|w:P+								in-scope	raw-qac-database:row:1	full-morpheme-database
100	1	1	2	100:1:1:2	ٱلْ					DET	PREFIX	PREFIX|Al+								in-scope	raw-qac-database:row:2	full-morpheme-database
100	1	1	3	100:1:1:3	عَٰدِيَٰتِ	عَٰدِيَٰت	ع د و	ع د و	عدو	N	STEM	STEM|POS:N|ACT|PCPL|LEM:Ea`diya`t|ROOT:Edw|FP|GEN			ACT					in-scope	raw-qac-database:row:3	full-morpheme-database
100	1	2	1	100:1:2:1	ضَبْحًا	ضَبْح	ض ب ح	ض ب ح	ضبح	N	STEM	STEM|POS:N|LEM:DaboH|ROOT:DbH|M|INDEF|ACC								in-scope	raw-qac-database:row:4	full-morpheme-database
100	2	1	1	100:2:1:1	فَ					CONJ	PREFIX	PREFIX|f:CONJ+								in-scope	raw-qac-database:row:5	full-morpheme-database
100	2	1	2	100:2:1:2	ٱلْ					DET	PREFIX	PREFIX|Al+								in-scope	raw-qac-database:row:6	full-morpheme-database
100	2	1	3	100:2:1:3	مُورِيَٰتِ	مُورِيَٰت	و ر ي	و ر ي	وري	N	STEM	STEM|POS:N|ACT|PCPL|(IV)|LEM:muwriya`t|ROOT:wry|FP|GEN			ACT	IV				in-scope	raw-qac-database:row:7	full-morpheme-database
100	2	2	1	100:2:2:1	قَدْحًا	قَدْح	ق د ح	ق د ح	قدح	N	STEM	STEM|POS:N|LEM:qadoH|ROOT:qdH|M|INDEF|ACC								in-scope	raw-qac-database:row:8	full-morpheme-database
100	3	1	1	100:3:1:1	فَ					CONJ	PREFIX	PREFIX|f:CONJ+								in-scope	raw-qac-database:row:9	full-morpheme-database
100	3	1	2	100:3:1:2	ٱلْ					DET	PREFIX	PREFIX|Al+								in-scope	raw-qac-database:row:10	full-morpheme-database
100	3	1	3	100:3:1:3	مُغِيرَٰتِ	مُغِيرَٰت	غ ي ر	غ ي ر	غير	N	STEM	STEM|POS:N|ACT|PCPL|(IV)|LEM:mugiyra`t|ROOT:gyr|FP|GEN			ACT	IV				in-scope	raw-qac-database:row:11	full-morpheme-database
100	3	2	1	100:3:2:1	صُبْحًا	صُبْح	ص ب ح	ص ب ح	صبح	T	STEM	STEM|POS:T|LEM:SuboH|ROOT:SbH|M|INDEF|ACC								in-scope	raw-qac-database:row:12	full-morpheme-database
100	4	1	1	100:4:1:1	فَ					CONJ	PREFIX	PREFIX|f:CONJ+								in-scope	raw-qac-database:row:13	full-morpheme-database
100	4	1	2	100:4:1:2	أَثَرْ	أَثَارُ	ث و ر	ث و ر	ثور	V	STEM	STEM|POS:V|PERF|(IV)|LEM:>avaAru|ROOT:vwr|3FP	PERF			IV				in-scope	raw-qac-database:row:14	full-morpheme-database
100	4	1	3	100:4:1:3	نَ					PRON	SUFFIX	SUFFIX|PRON:3FP								in-scope	raw-qac-database:row:15	full-morpheme-database
100	4	2	1	100:4:2:1	بِ					P	PREFIX	PREFIX|bi+								in-scope	raw-qac-database:row:16	full-morpheme-database
100	4	2	2	100:4:2:2	هِۦ					PRON	STEM	STEM|POS:PRON|3MS								in-scope	raw-qac-database:row:17	full-morpheme-database
