focus_ayah_ref	occurrence_ref	word_id	morpheme_id	surface_ar	root	branch	evidence_id	evidence_role	lexical_status	resonance_strength	translation_role	linguistic_support_ids	claim_id	publication_role	claim_disposition	mechanism
1:6	1:6	w-s001-a006-w001	m-w-s001-a006-w001-01	ٱهْدِ	ه د ي	B001	e-s001-1_6-001	lexical_anchor	direct	none	governing		s001-1_6-enabled-orientation	primary	accepted	The petition asks for enabled movement toward a road whose defining form is straightness.
1:6	1:6	w-s001-a006-w002	m-w-s001-a006-w002-02	صِّرَٰطَ	ص ر ط	B001	e-s001-1_6-002	lexical_anchor	direct	none	governing		s001-1_6-enabled-orientation	primary	accepted	The petition asks for enabled movement toward a road whose defining form is straightness.
1:6	1:6	w-s001-a006-w003	m-w-s001-a006-w003-02	مُسْتَقِيمَ	ق و م	B008	e-s001-1_6-003	lexical_anchor	direct	none	governing		s001-1_6-enabled-orientation	primary	accepted	The petition asks for enabled movement toward a road whose defining form is straightness.
1:6	1:5	w-s001-a005-w004	m-w-s001-a005-w004-01	نَسْتَعِينُ	ع و ن	B001	e-s001-1_6-004	context_support	direct	none	none		s001-1_6-enabled-orientation	primary	accepted	The petition asks for enabled movement toward a road whose defining form is straightness.
1:6	1:6	w-s001-a006-w003	m-w-s001-a006-w003-02	مُسْتَقِيمَ	ق و م	B008	e-s001-1_6-005	lexical_anchor	direct	none	governing		s001-1_6-sustained-straightness	primary	accepted	The path's straightness is understood as an upheld and sustaining order.
1:6	1:6	w-s001-a006-w003	m-w-s001-a006-w003-02	مُسْتَقِيمَ	ق و م	B004	e-s001-1_6-006	target_root_resonance	analogical_resonance	strong	none		s001-1_6-sustained-straightness	primary	accepted	The path's straightness is understood as an upheld and sustaining order.
1:6	1:6	w-s001-a006-w003	m-w-s001-a006-w003-02	مُسْتَقِيمَ	ق و م	B009	e-s001-1_6-007	target_root_resonance	analogical_resonance	strong	none		s001-1_6-sustained-straightness	primary	accepted	The path's straightness is understood as an upheld and sustaining order.
1:6	1:2	w-s001-a002-w003	m-w-s001-a002-w003-01	رَبِّ	ر ب ب	B002	e-s001-1_6-008	context_support	contextually_activated	none	none		s001-1_6-sustained-straightness	primary	accepted	The path's straightness is understood as an upheld and sustaining order.
1:6	1:5	w-s001-a005-w004	m-w-s001-a005-w004-01	نَسْتَعِينُ	ع و ن	B001	e-s001-1_6-009	context_support	direct	none	none		s001-1_6-sustained-straightness	primary	accepted	The path's straightness is understood as an upheld and sustaining order.
1:6	1:6	w-s001-a006-w001	m-w-s001-a006-w001-01	ٱهْدِ	ه د ي	B001	e-s001-1_6-010	lexical_anchor	direct	none	governing		s001-1_6-guidance-as-favor	secondary	accepted	Guidance is received as favor granting access to the path rather than as self-produced entitlement.
