surah	ayah	word_index	morpheme_index	qac_ref	surface_ar	lemma_ar	root_ar	root_norm	root_key	pos	morpheme_role	morph_features	aspect	mood	voice	measure	person	number	gender	context_role	source_ref	data_quality
1	1	1	1	1:1:1:1	بِ					P	PREFIX	PREFIX|bi+								in-scope	raw-qac-database:row:1	full-morpheme-database
1	1	1	2	1:1:1:2	سْمِ	ٱسْم	س م و	س م و	سمو	N	STEM	STEM|POS:N|LEM:{som|ROOT:smw|M|GEN								in-scope	raw-qac-database:row:2	full-morpheme-database
1	1	2	1	1:1:2:1	ٱللَّهِ	ٱللَّه	ء ل ه	ء ل ه	ءله	PN	STEM	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN								in-scope	raw-qac-database:row:3	full-morpheme-database
1	1	3	1	1:1:3:1	ٱل					DET	PREFIX	PREFIX|Al+								in-scope	raw-qac-database:row:4	full-morpheme-database
1	1	3	2	1:1:3:2	رَّحْمَٰنِ	رَّحْمَٰن	ر ح م	ر ح م	رحم	ADJ	STEM	STEM|POS:ADJ|LEM:r~aHoma`n|ROOT:rHm|MS|GEN								in-scope	raw-qac-database:row:5	full-morpheme-database
1	1	4	1	1:1:4:1	ٱل					DET	PREFIX	PREFIX|Al+								in-scope	raw-qac-database:row:6	full-morpheme-database
1	1	4	2	1:1:4:2	رَّحِيمِ	رَّحِيم	ر ح م	ر ح م	رحم	ADJ	STEM	STEM|POS:ADJ|LEM:r~aHiym|ROOT:rHm|MS|GEN								in-scope	raw-qac-database:row:7	full-morpheme-database
1	2	1	1	1:2:1:1	ٱلْ					DET	PREFIX	PREFIX|Al+								in-scope	raw-qac-database:row:8	full-morpheme-database
1	2	1	2	1:2:1:2	حَمْدُ	حَمْد	ح م د	ح م د	حمد	N	STEM	STEM|POS:N|LEM:Hamod|ROOT:Hmd|M|NOM								in-scope	raw-qac-database:row:9	full-morpheme-database
1	2	2	1	1:2:2:1	لِ					P	PREFIX	PREFIX|l:P+								in-scope	raw-qac-database:row:10	full-morpheme-database
1	2	2	2	1:2:2:2	لَّهِ	ٱللَّه	ء ل ه	ء ل ه	ءله	PN	STEM	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN								in-scope	raw-qac-database:row:11	full-morpheme-database
