claim_id	source_finding_id	source_relation	notes
s001-1_0-mercy-formative-enclosure	p5-a-a003	refines	Adds protected growth and an explicit enabling relation to nurture, aid, and guidance; source run is reconstructed_unverified.
s001-1_0-mercy-formative-enclosure	p5-a-r002	reinforces	Retrospectively restates womb imagery as a functional enabling enclosure; source run is reconstructed_unverified.
s001-1_0-mercy-formative-enclosure	std-b-a002	split_component	Formative-enclosure component: the mercy and womb material surrounds the move through nurture.
s001-1_0-mercy-frames-reckoning	std-b-a002	split_component	Judgment-framing component: the later tribunal enters through an already named merciful enclosure.
s001-1_0-mercy-frames-reckoning	std-b-r002	reinforces	Retrospectively sharpens the same topology as mercy framing ownership, reckoning, and recompense.
s001-1_0-name-precedes-path-sign	std-b-r001	supports	The standard run alone explicitly activates the later path material as a road-sign topology.
s001-1_0-name-relational-threshold	p5-a-a001	supports	Supplies the performative-entry and enacted-alignment formulation from the reconstructed_unverified eleven-ayah run.
s001-1_0-name-relational-threshold	p5-a-r001	reinforces	Retrospectively states that the opening name develops into the exclusive addressee in 1:5; source run is reconstructed_unverified.
s001-1_0-name-relational-threshold	std-b-a001	split_component	Organizing-banner component: the raised named agent stands over the later acts of praise, worship, help-seeking, and guidance.
s001-1_0-name-relational-threshold	std-b-a003	supports	Directly supplies invocation as relation before demand and the transition from divine name to worship and help-seeking.
s001-1_0-naming-raises-mention	p5-a-a002	supports	Supplies praise and exact recurrence as enactments of raised mention in the reconstructed_unverified eleven-ayah run.
s001-1_0-naming-raises-mention	std-b-a001	split_component	Public-elevation component: later praise confirms the initially raised designation and its repute.
s001-1_2-cultivated-legible-worlds	p5-a-a005	supports	Supports the shared care-to-legibility topology and specifies preservation of meaningful distinctions as the basis of navigability.
s001-1_2-cultivated-legible-worlds	p5-a-r004	reinforces	Retrospectively reinforces route and outcome distinctions as the mechanism making cultivated worlds legible.
s001-1_2-cultivated-legible-worlds	std-b-a005	supports	Supports the shared care-to-legibility topology through nurture, marks, guidance, and straightness.
s001-1_2-cultivated-legible-worlds	std-b-r003	reinforces	Retrospectively reinforces worlds as marked terrain whose signs require guidance.
s001-1_2-lordship-entails-allegiance	p5-a-a006	supports	Supports the shared authority-to-service topology and additionally supplies the worshipped-one title and exclusive-object sequence.
s001-1_2-lordship-entails-allegiance	p5-a-r005	reinforces	Retrospectively reinforces the development from lordship into allegiance rather than scale alone.
s001-1_2-lordship-entails-allegiance	std-b-a006	supports	Supports the shared authority-to-service topology and additionally supplies covenant or protection and reckoning.
s001-1_2-praise-as-tested-gratitude	p5-a-a004	supports	Supports the shared verdict topology and supplies favor, mercy, and aid as benefit-bearing grounds whose effects are evaluated.
s001-1_2-praise-as-tested-gratitude	p5-a-r003	reinforces	Retrospectively reinforces favor as the concrete benefaction answered by praise.
s001-1_2-praise-as-tested-gratitude	std-b-a004	supports	Supports the shared verdict topology and supplies the anger-and-loss alternatives as the negative side of the test.
s001-1_2-praise-as-tested-gratitude	std-b-r004	reinforces	Retrospectively reinforces gratitude for favor and evaluation against divergent outcomes.
s001-1_5-aid-backs-dependent-service	p5-a-a013	split_component	Preserves the finding's enabling-aid component separately from its exclusive-allegiance component.
s001-1_5-aid-backs-dependent-service	std-b-a015	refines	Adds the ownership, subjugation, supported-dependence, and preserved-agency layer.
s001-1_5-aid-stabilizes-path-movement	p5-a-a015	refines	Adds the settled-strength and upright-alignment material account of how aid enables movement.
s001-1_5-aid-stabilizes-path-movement	p5-a-r012	reinforces	Retrospectively identifies the straight path as activating aid's settled-strength image.
s001-1_5-aid-stabilizes-path-movement	std-b-a016	split_component	Preserves the finding's aid-for-movement component separately from its road-smoothing service component.
s001-1_5-exclusive-service-to-named-addressee	p5-a-a013	split_component	Preserves the finding's exclusive-allegiance component separately from its enabling-aid component.
s001-1_5-exclusive-service-to-named-addressee	std-b-a014	supports	Supplies the invoked-name, obedience, fronting, and praise-to-practice topology.
s001-1_5-service-smooths-straight-path	p5-a-a014	supports	Supplies the material analogy of repeated service as bodily inhabiting and treading a passable road.
s001-1_5-service-smooths-straight-path	p5-a-r011	reinforces	Retrospectively identifies the straight path as the decisive activator of service as road-smoothing.
s001-1_5-service-smooths-straight-path	std-b-a016	split_component	Preserves the road-smoothing component separately from the finding's claim that aid supplies power to move.
s001-1_5-service-smooths-straight-path	std-b-r009	reinforces	Retrospectively identifies the straight path as the activator of the road-smoothing branch.
s001-1_5-worship-reverses-prideful-anger	std-b-a017	supports	Supplies the inner reversal from offended pride and anger to submissive service.
s001-1_5-worship-reverses-prideful-anger	std-b-r010	reinforces	Retrospectively identifies 1:7's anger contrast as the activator of the pride-aversion branch.
s001-1_6-contained-transit	p5-a-a019	supports	Explicitly exploratory contained-passage contrast.
s001-1_6-contained-transit	p5-a-r015	reinforces	Retrospective disappearance contrast.
s001-1_6-contained-transit	std-b-a020	split_component	Swallowing and disappearance component.
s001-1_6-contained-transit	std-b-r012	reinforces	Straightness becomes protective.
s001-1_6-cutting-through-resistance	std-b-a020	split_component	Cutting and hardened-resistance component.
s001-1_6-devotional-offering	std-b-a021	split_component	Offering component separated from gift/favor.
s001-1_6-enabled-orientation	p5-a-a017	refines	Adds accompanied and supported movement.
s001-1_6-enabled-orientation	p5-a-a018	refines	Adds maintained straightness.
s001-1_6-enabled-orientation	std-b-a018	split_component	Direct lexical baseline.
s001-1_6-guidance-as-favor	p5-a-a016	supports	Explicit bestowed-gift mechanism.
s001-1_6-guidance-as-favor	p5-a-r013	reinforces	Retrospective activation from favor in 1:7.
s001-1_6-guidance-as-favor	std-b-a021	split_component	Gift component retained separately from offering.
s001-1_6-supported-procession	p5-a-a017	supports	Supported-procession mechanism.
s001-1_6-supported-procession	p5-a-r014	reinforces	Favored predecessors supply the human front.
s001-1_6-supported-procession	std-b-a019	supports	Leading-front mechanism.
s001-1_6-supported-procession	std-b-r011	refines	Makes the path social and historical.
s001-1_6-sustained-straightness	p5-a-a018	supports	Explicit infrastructure mechanism.
s001-1_6-sustained-straightness	std-b-a018	split_component	The standard abductive move says the indicated path must be sustained.
