edge_id	source_position	target_position	edge_type	direction	confidence	exact_surface_span	evidence	reason
ae:v3:s018:083:pass1:attach:a1	q:18:83:2	q:18:83:2	direct_object	head-to-dependent	high	وَيَسْأَلُونَكَ	morphology;local_syntax	The suffix كَ in يَسْـَٔلُونَكَ is the object of يَسْـَٔلُونَ.
ae:v3:s018:083:pass1:attach:a2	q:18:83:2	q:18:83:4	prep_complement	head-to-dependent	high	وَيَسْأَلُونَكَ | ذِي	case_government;local_syntax	عَن ذِى ٱلْقَرْنَيْنِ marks the topic asked about by يَسْـَٔلُونَكَ.
ae:v3:s018:083:pass1:attach:a3	q:18:83:4	q:18:83:5	idafa	head-to-dependent	high	ذِي | الْقَرْنَيْنِ	morphology	ٱلْقَرْنَيْنِ is the genitive complement of the construct ذِى.
ae:v3:s018:083:pass1:attach:a4	q:18:83:6	q:18:83:7	quoted_complement	head-to-dependent	high	قُلْ | سَأَتْلُو	local_syntax	سَأَتْلُوا عَلَيْكُم مِّنْهُ ذِكْرًا is the quoted content governed by قُلْ.
ae:v3:s018:083:pass1:attach:a5	q:18:83:7	q:18:83:8	prep_complement	head-to-dependent	high	سَأَتْلُو	case_government;local_syntax	عَلَيْكُم marks the recipients of سَأَتْلُوا.
ae:v3:s018:083:pass1:attach:a6	q:18:83:7	q:18:83:9	prep_complement	head-to-dependent	high	سَأَتْلُو	case_government;local_syntax	مِّنْهُ gives the source or partitive complement for سَأَتْلُوا.
ae:v3:s018:083:pass1:attach:a7	q:18:83:7	q:18:83:10	direct_object	head-to-dependent	high	سَأَتْلُو | ذِكْرَاً	case_government;local_syntax	ذِكْرًا is the accusative object of سَأَتْلُوا.
ae:v3:s018:084:pass1:attach:a1	q:18:84:1	q:18:84:1	particle_complement	head-to-dependent	high		morphology;local_syntax	The suffix نَا in إِنَّا is the governed ism of إِنَّ.
ae:v3:s018:084:pass1:attach:a2	q:18:84:1	q:18:84:2	predication	head-to-dependent	high	إِنَّا | مَكَّنَّا	local_syntax	مَكَّنَّا لَهُ فِى ٱلْأَرْضِ is the verbal predicate under إِنَّ.
ae:v3:s018:084:pass1:attach:a3	q:18:84:2	q:18:84:3	prep_complement	head-to-dependent	high	مَكَّنَّا	case_government;local_syntax	لَهُ supplies the dative complement of مَكَّنَّا.
