edge_id	source_position	target_position	edge_type	direction	confidence	annotation_source	exact_surface_span	evidence	reason	source_ref
ae:v3:s103:001:pass1:attach:a1	q:103:1:1	q:103:1:2	particle_complement	head-to-dependent	high	attachments:pass1:ATTACH	وَالْعَصْرِ | وَالْعَصْرِ	case_government;formulaic_construction	وَ functions as the oath particle and governs ٱلْعَصْرِ in the oath phrase.	raw-attachments:line:58241
ae:v3:s103:002:pass1:attach:a1	q:103:2:1	q:103:2:2	particle_complement	head-to-dependent	high	attachments:pass1:ATTACH	إِنَّ | الْإِنْسَانَ	case_government;local_syntax	ٱلْإِنسَٰنَ is the governed ism of إِنَّ.	raw-attachments:line:58242
ae:v3:s103:002:pass1:attach:a2	q:103:2:1	q:103:2:4	prep_complement	head-to-dependent	high	attachments:pass1:ATTACH	إِنَّ | خُسْرٍ	case_government;local_syntax	خُسْرٍ is governed by فِى inside the khabar of إِنَّ.	raw-attachments:line:58243
ae:v3:s103:002:pass1:attach:a3	q:103:2:1	q:103:2:4	predication	head-to-dependent	high	attachments:pass1:ATTACH	إِنَّ | خُسْرٍ	local_syntax	لَفِى خُسْرٍ supplies the khabar predication for إِنَّ.	raw-attachments:line:58244
ae:v3:s103:003:pass1:attach:a1	q:103:3:1	q:103:3:2	exception	head-to-dependent	high	attachments:pass1:ATTACH	إِلَّا | الَّذِينَ	local_syntax	إِلَّا marks ٱلَّذِينَ as the excepted group, with ءَامَنُوا through بِٱلصَّبْرِ completing its scope.	raw-attachments:line:58245
ae:v3:s103:003:pass1:attach:a2	q:103:3:3	q:103:3:5	conjoined	head-to-dependent	high	attachments:pass1:ATTACH	آمَنُوا | وَعَمِلُوا	local_syntax;parallelism	وَ links عَمِلُوا as a coordinated predicate after ءَامَنُوا.	raw-attachments:line:58246
ae:v3:s103:003:pass1:attach:a3	q:103:3:5	q:103:3:6	direct_object	head-to-dependent	high	attachments:pass1:ATTACH	وَعَمِلُوا | الصَّالِحَاتِ	case_government;local_syntax	ٱلصَّٰلِحَٰتِ is the explicit object of عَمِلُوا.	raw-attachments:line:58247
ae:v3:s103:003:pass1:attach:a4	q:103:3:5	q:103:3:8	conjoined	head-to-dependent	high	attachments:pass1:ATTACH	وَعَمِلُوا | وَتَوَاصَوْا	local_syntax;parallelism	وَ links تَوَاصَوْا as a coordinated predicate after عَمِلُوا.	raw-attachments:line:58248
ae:v3:s103:003:pass1:attach:a5	q:103:3:8	q:103:3:9	prep_complement	head-to-dependent	high	attachments:pass1:ATTACH	وَتَوَاصَوْا | بِالْحَقِّ	case_government;local_syntax	بِ governs ٱلْحَقِّ as the content complement of تَوَاصَوْا.	raw-attachments:line:58249
ae:v3:s103:003:pass1:attach:a6	q:103:3:8	q:103:3:11	conjoined	head-to-dependent	high	attachments:pass1:ATTACH	وَتَوَاصَوْا | وَتَوَاصَوْا	local_syntax;parallelism	وَ links the second تَوَاصَوْا as a coordinated predicate after تَوَاصَوْا بِٱلْحَقِّ.	raw-attachments:line:58250
ae:v3:s103:003:pass1:attach:a7	q:103:3:11	q:103:3:12	prep_complement	head-to-dependent	high	attachments:pass1:ATTACH	وَتَوَاصَوْا | بِالصَّبْرِ	case_government;local_syntax	بِ governs ٱلصَّبْرِ as the content complement of تَوَاصَوْا.	raw-attachments:line:58251
