edge_id	source_position	target_position	edge_type	direction	confidence	exact_surface_span	evidence	reason
ae:v3:s001:001:pass1:attach:a1	q:1:1:1	q:1:1:2	prep_complement	head-to-dependent	high	بِسْمِ | بِسْمِ	case_government;formulaic_construction	سْمِ is governed by the prefixed بِ in the formula بِسْمِ.
ae:v3:s001:001:pass1:attach:a2	q:1:1:2	q:1:1:3	idafa	head-to-dependent	high	بِسْمِ | اللَّهِ	case_government;local_syntax	ٱللَّهِ is the genitive muḍāf ilayhi of سْمِ.
ae:v3:s001:001:pass1:attach:a3	q:1:1:3	q:1:1:4	adjective	head-to-dependent	high	اللَّهِ | الرَّحْمَنِ	agreement;local_syntax	ٱلرَّحْمَٰنِ follows ٱللَّهِ in genitive definiteness as an adjectival divine epithet.
ae:v3:s001:001:pass1:attach:a4	q:1:1:3	q:1:1:5	adjective	head-to-dependent	high	اللَّهِ | الرَّحِيمِ	agreement;local_syntax	ٱلرَّحِيمِ follows ٱللَّهِ in the same genitive adjectival series.
ae:v3:s001:002:pass1:attach:a1	q:1:2:1	q:1:2:3	prep_complement	head-to-dependent	high	الْحَمْدُ | لِلَّهِ	case_government;local_syntax	ٱللَّهِ is governed by لِ, and the prepositional phrase لِلَّهِ completes the predicate relation with ٱلْحَمْدُ.
ae:v3:s001:002:pass1:attach:a2	q:1:2:1	q:1:2:3	predication	head-to-dependent	high	الْحَمْدُ | لِلَّهِ	local_syntax;word_order	لِلَّهِ is the khabar of ٱلْحَمْدُ in the nominal sentence.
ae:v3:s001:002:pass1:attach:a3	q:1:2:3	q:1:2:4	apposition	head-to-dependent	high	لِلَّهِ | رَبِّ	case_government;local_syntax	رَبِّ is genitive and stands in apposition to ٱللَّهِ.
ae:v3:s001:002:pass1:attach:a4	q:1:2:4	q:1:2:5	idafa	head-to-dependent	high	رَبِّ | الْعَالَمِينَ	case_government;local_syntax	ٱلْعَٰلَمِينَ is the genitive muḍāf ilayhi of رَبِّ.
ae:v3:s001:003:pass1:attach:a1	q:1:3:1	q:1:3:2	apposition	head-to-dependent	medium	الرَّحْمَنِ | الرَّحِيمِ	local_syntax;parallelism	ٱلرَّحِيمِ follows ٱلرَّحْمَٰنِ as a paired genitive divine epithet within the ayah.
ae:v3:s001:004:pass1:attach:a1	q:1:4:1	q:1:4:2	idafa	head-to-dependent	high	مَالِكِ | يَوْمِ	case_government;local_syntax	يَوْمِ is the genitive complement of مَٰلِكِ in an iḍāfa construction.
ae:v3:s001:004:pass1:attach:a2	q:1:4:2	q:1:4:3	idafa	head-to-dependent	high	يَوْمِ | الدِّينِ	case_government;local_syntax	ٱلدِّينِ is the genitive muḍāf ilayhi of يَوْمِ.
ae:v3:s001:005:pass1:attach:a1	q:1:5:2	q:1:5:1	direct_object	head-to-dependent	high	نَعْبُدُ | إِيَّاكَ	case_government;word_order	إِيَّاكَ is the fronted explicit object of نَعْبُدُ.
ae:v3:s001:005:pass1:attach:a2	q:1:5:5	q:1:5:4	direct_object	head-to-dependent	high	نَسْتَعِينُ | وَإِيَّاكَ	case_government;word_order	إِيَّاكَ is the fronted explicit object of نَسْتَعِينُ.
ae:v3:s001:005:pass1:attach:a3	q:1:5:2	q:1:5:5	conjoined	head-to-dependent	high	نَعْبُدُ | نَسْتَعِينُ	parallelism;local_syntax	نَسْتَعِينُ is coordinated with نَعْبُدُ by وَ in the parallel construction.
ae:v3:s001:006:pass1:attach:a1	q:1:6:1	q:1:6:1	direct_object	head-to-dependent	high	اهْدِنَا	morphology;local_syntax	The نَا suffix in ٱهْدِنَا is the first-person plural object of ٱهْدِ.
ae:v3:s001:006:pass1:attach:a2	q:1:6:1	q:1:6:2	direct_object	head-to-dependent	high	اهْدِنَا | الصِّرَاطَ	case_government;local_syntax	ٱلصِّرَٰطَ is the explicit accusative object governed by ٱهْدِنَا.
ae:v3:s001:006:pass1:attach:a3	q:1:6:2	q:1:6:3	adjective	head-to-dependent	high	الصِّرَاطَ | الْمُسْتَقِيمَ	agreement;case_government	ٱلْمُسْتَقِيمَ agrees with ٱلصِّرَٰطَ and qualifies it.
ae:v3:s001:007:pass1:attach:a1	q:1:7:1	q:1:7:2	idafa	head-to-dependent	high	صِرَاطَ | الَّذِينَ	case_government;local_syntax	ٱلَّذِينَ is the genitive complement of صِرَٰطَ in iḍāfa.
ae:v3:s001:007:pass1:attach:a2	q:1:7:3	q:1:7:4	prep_complement	head-to-dependent	high	أَنْعَمْتَ	case_government;local_syntax	The pronoun suffix هِمْ in عَلَيْهِمْ is governed by عَلَى as the complement of أَنْعَمْتَ.
ae:v3:s001:007:pass1:attach:a3	q:1:7:2	q:1:7:5	apposition	head-to-dependent	medium	الَّذِينَ | غَيْرِ	case_government;local_syntax	غَيْرِ is genitive and qualifies ٱلَّذِينَ by excluding the contrasting class.
ae:v3:s001:007:pass1:attach:a4	q:1:7:5	q:1:7:6	idafa	head-to-dependent	high	غَيْرِ | الْمَغْضُوبِ	case_government;local_syntax	ٱلْمَغْضُوبِ is the genitive complement of غَيْرِ.
ae:v3:s001:007:pass1:attach:a5	q:1:7:6	q:1:7:7	prep_complement	head-to-dependent	high	الْمَغْضُوبِ	case_government;local_syntax	The pronoun suffix هِمْ in عَلَيْهِمْ completes the prepositional phrase governed by ٱلْمَغْضُوبِ.
ae:v3:s001:007:pass1:attach:a6	q:1:7:6	q:1:7:10	conjoined	head-to-dependent	high	الْمَغْضُوبِ | الضَّالِّينَ	parallelism;local_syntax	ٱلضَّآلِّينَ is coordinated with ٱلْمَغْضُوبِ after وَلَا within the excluded group.
