review_id	candidate_count	path_count_total	ayahs	theme_signature	representative_roots	representative_branches	theme_set_sample	keyword_sample
QR0001	3	3424	1,2,3,4,5,6,7	kinship_society/hierarchy_status → emotion_ethics/ethics_morality → ritual_belief/religion_worship → body_health_life/health_medicine → emotion_ethics/ethics_morality → ritual_belief/religion_worship → kinship_society/hospitality_welfare	س م و → ح م د → ء ل ه → ر ب ب → ر ح م → د ي ن → ن ع م	س م و:B001:العلو والارتفاع | ح م د:B001:الحمد خلاف الذم | ء ل ه:B001:التعبد والمعبود | ر ب ب:B006:رُبّ خاثر وإصلاح به | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ن ع م:B001:حسن الحال والنعمة	body_health_life/health_medicine; condition_force_change/abundance_scarcity; craft_material_built/material; craft_material_built/substance_texture; economy_property/commerce_exchange; emotion_ethics/emotion; emotion_ethics/ethics_morality; emotion_ethics/honor_shame; emotion_ethics/trust_loyalty; kinship_society/hierarchy_status; kinship_society/hospitality_welfare; language_communication/language_speech	abundance, adoration, affection, allegiance, approval, ascent, authority, benefaction, benefit, bestowal, blessing, bounty, care, charity, coating, commendation, commerce, community, compassion, condiment
QR0002	3	2216	1,2,3,4,5,6,7	craft_material_built/architecture_construction → ritual_belief/religion_worship → emotion_ethics/ethics_morality → kinship_society/household_community → emotion_ethics/ethics_morality → ritual_belief/religion_worship → kinship_society/hospitality_welfare	س م و → ء ل ه → ح م د → ر ب ب → ر ح م → د ي ن → ن ع م	س م و:B004:السماء وما علا فأظل | ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B004:ربة وجماعات كثيرة | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ن ع م:B001:حسن الحال والنعمة	condition_force_change/abundance_scarcity; craft_material_built/architecture_construction; economy_property/commerce_exchange; emotion_ethics/emotion; emotion_ethics/ethics_morality; emotion_ethics/trust_loyalty; kinship_society/hospitality_welfare; kinship_society/household_community; kinship_society/kinship; land_water_sky/sky_astronomy; land_water_sky/weather_climate; language_communication/language_speech	abundance, adoration, affection, agriculture, allegiance, anatomy, approval, architecture, army, assembly, authority, benefaction, benefit, bestowal, blessing, bounty, canopy, care, ceiling, charity
QR0003	2	6118	1,2,3,4,5,6	kinship_society/hierarchy_status → emotion_ethics/ethics_morality → ritual_belief/religion_worship → body_health_life/health_medicine → emotion_ethics/ethics_morality → ritual_belief/religion_worship → kinship_society/social_relations	س م و → ح م د → ء ل ه → ر ب ب → ر ح م → د ي ن → ق و م	س م و:B001:العلو والارتفاع | ح م د:B001:الحمد خلاف الذم | ء ل ه:B001:التعبد والمعبود | ر ب ب:B006:رُبّ خاثر وإصلاح به | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ق و م:B001:جماعة الناس والرجال	body_health_life/health_medicine; craft_material_built/material; craft_material_built/substance_texture; emotion_ethics/ethics_morality; emotion_ethics/honor_shame; emotion_ethics/trust_loyalty; kinship_society/hierarchy_status; kinship_society/hospitality_welfare; kinship_society/kinship; kinship_society/marriage_genealogy; kinship_society/social_relations; language_communication/language_speech	adoration, affiliation, allegiance, approval, ascent, authority, blessing, care, charity, clan, coating, commendation, community, compassion, condiment, creed, cult, deity, devotion, divinity
QR0004	2	4520	1,2,3,4,5,6	craft_material_built/architecture_construction → ritual_belief/religion_worship → emotion_ethics/ethics_morality → kinship_society/household_community → emotion_ethics/ethics_morality → ritual_belief/religion_worship → kinship_society/social_relations	س م و → ء ل ه → ح م د → ر ب ب → ر ح م → د ي ن → ق و م	س م و:B004:السماء وما علا فأظل | ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B004:ربة وجماعات كثيرة | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ق و م:B001:جماعة الناس والرجال	craft_material_built/architecture_construction; emotion_ethics/ethics_morality; emotion_ethics/trust_loyalty; kinship_society/hospitality_welfare; kinship_society/household_community; kinship_society/kinship; kinship_society/marriage_genealogy; kinship_society/social_relations; land_water_sky/sky_astronomy; land_water_sky/weather_climate; language_communication/language_speech; law_governance/obligation_contract	adoration, affiliation, agriculture, allegiance, anatomy, approval, architecture, army, assembly, authority, blessing, canopy, care, ceiling, charity, clan, coalition, commendation, community, compassion
QR0005	2	1600	1,2,3,4,5,6	language_communication/communication → ritual_belief/prayer_supplication → cognition_perception/knowledge_learning → space_form_boundary/pattern_marking → emotion_ethics/ethics_morality → ritual_belief/religion_worship → kinship_society/social_relations	س م و → ء ل ه → ر ب ب → ع ل م → ر ح م → د ي ن → ق و م	س م و:B005:الاسم تنويه ودلالة | ء ل ه:B002:اسم الله في القسم والنداء | ر ب ب:B003:علم رباني | ع ل م:B002:أثر يميز الشيء ويهدي إليه | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ق و م:B001:جماعة الناس والرجال	cognition_perception/cognition; cognition_perception/knowledge_learning; craft_material_built/ornament_beauty; emotion_ethics/ethics_morality; emotion_ethics/trust_loyalty; kinship_society/hospitality_welfare; kinship_society/identity_personhood; kinship_society/kinship; kinship_society/marriage_genealogy; kinship_society/social_relations; land_water_sky/geography_landscape; language_communication/communication	address, affiliation, allah, allegiance, analogy, appellation, authority, banner, care, cartography, charity, clan, classification, clergy, community, compassion, creed, designation, devotion, divinity
QR0006	2	1036	1,2,4,5,7	craft_material_built/architecture_construction → ritual_belief/religion_worship → emotion_ethics/ethics_morality → cognition_perception/knowledge_learning → ritual_belief/religion_worship → emotion_ethics/emotion → law_governance/punishment_sanction	س م و → ء ل ه → ح م د → ر ب ب → د ي ن → ع ب د → غ ض ب	س م و:B004:السماء وما علا فأظل | ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B003:علم رباني | د ي ن:B001:الطاعة والانقياد | ع ب د:B008:الأنفة والغضب | غ ض ب:B001:اشتداد السخط وثورانه للانتقام	cognition_perception/cognition; cognition_perception/knowledge_learning; cognition_perception/reasoning_decision; conflict_security/conflict; craft_material_built/architecture_construction; emotion_ethics/desire_appetite; emotion_ethics/emotion; emotion_ethics/ethics_morality; emotion_ethics/fear_grief; land_water_sky/sky_astronomy; land_water_sky/weather_climate; language_communication/communication	adoration, affect, agriculture, anatomy, anger, approval, architecture, authority, awareness, blessing, canopy, ceiling, clergy, cognition, commendation, communication, community, comprehension, conflict, cosmology
QR0007	2	992	1,2,4,5,6	craft_material_built/architecture_construction → ritual_belief/religion_worship → emotion_ethics/ethics_morality → cognition_perception/knowledge_learning → ritual_belief/religion_worship → ritual_belief/religion_worship → kinship_society/social_relations	س م و → ء ل ه → ح م د → ر ب ب → د ي ن → ع ب د → ق و م	س م و:B004:السماء وما علا فأظل | ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B003:علم رباني | د ي ن:B001:الطاعة والانقياد | ع ب د:B003:العبادة والطاعة الخاضعة | ق و م:B001:جماعة الناس والرجال	cognition_perception/cognition; cognition_perception/knowledge_learning; cognition_perception/reasoning_decision; craft_material_built/architecture_construction; emotion_ethics/ethics_morality; emotion_ethics/trust_loyalty; kinship_society/kinship; kinship_society/marriage_genealogy; kinship_society/social_relations; land_water_sky/sky_astronomy; land_water_sky/weather_climate; language_communication/communication	adoration, affiliation, agriculture, allegiance, anatomy, approval, architecture, authority, awareness, blessing, canopy, ceiling, clan, clergy, cognition, commendation, communication, community, comprehension, cosmology
QR0008	2	840	1,2,3,4,5,7	language_communication/communication → ritual_belief/prayer_supplication → cognition_perception/knowledge_learning → space_form_boundary/pattern_marking → emotion_ethics/ethics_morality → ritual_belief/religion_worship → kinship_society/hospitality_welfare	س م و → ء ل ه → ر ب ب → ع ل م → ر ح م → د ي ن → ن ع م	س م و:B005:الاسم تنويه ودلالة | ء ل ه:B002:اسم الله في القسم والنداء | ر ب ب:B003:علم رباني | ع ل م:B002:أثر يميز الشيء ويهدي إليه | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ن ع م:B001:حسن الحال والنعمة	cognition_perception/cognition; cognition_perception/knowledge_learning; condition_force_change/abundance_scarcity; craft_material_built/ornament_beauty; emotion_ethics/ethics_morality; emotion_ethics/trust_loyalty; kinship_society/hospitality_welfare; kinship_society/identity_personhood; kinship_society/kinship; land_water_sky/geography_landscape; language_communication/communication; language_communication/naming_classification	abundance, address, allah, allegiance, analogy, appellation, authority, banner, benefaction, benefit, blessing, bounty, care, cartography, charity, classification, clergy, community, compassion, creed
QR0009	2	800	1,2,3,4,5,6	kinship_society/hierarchy_status → emotion_ethics/ethics_morality → ritual_belief/religion_worship → animal_life/wildlife → emotion_ethics/ethics_morality → ritual_belief/religion_worship → kinship_society/social_relations	س م و → ح م د → ء ل ه → ع ل م → ر ح م → د ي ن → ق و م	س م و:B001:العلو والارتفاع | ح م د:B001:الحمد خلاف الذم | ء ل ه:B001:التعبد والمعبود | ع ل م:B006:طائر جارح يسمى العلام | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ق و م:B001:جماعة الناس والرجال	animal_life/wildlife; emotion_ethics/ethics_morality; emotion_ethics/honor_shame; emotion_ethics/trust_loyalty; kinship_society/hierarchy_status; kinship_society/hospitality_welfare; kinship_society/kinship; kinship_society/marriage_genealogy; kinship_society/social_relations; language_communication/language_speech; language_communication/naming_classification; law_governance/obligation_contract	adoration, affiliation, allegiance, approval, ascent, authority, bird, blessing, care, charity, clan, commendation, community, compassion, creed, cult, deity, devotion, divinity, elevation
QR0010	2	760	1,2,3,4,5,6,7	craft_material_built/architecture_construction → ritual_belief/religion_worship → body_health_life/health_medicine → emotion_ethics/ethics_morality → law_governance/politics_order → ritual_belief/religion_worship → kinship_society/hospitality_welfare	س م و → ء ل ه → ر ب ب → ر ح م → م ل ك → د ي ن → ن ع م	س م و:B004:السماء وما علا فأظل | ء ل ه:B001:التعبد والمعبود | ر ب ب:B006:رُبّ خاثر وإصلاح به | ر ح م:B001:الرَّحْمَة والرقة | م ل ك:B003:المُلك والسلطان | د ي ن:B001:الطاعة والانقياد | ن ع م:B001:حسن الحال والنعمة	body_health_life/health_medicine; condition_force_change/abundance_scarcity; craft_material_built/architecture_construction; craft_material_built/material; craft_material_built/substance_texture; economy_property/commerce_exchange; emotion_ethics/emotion; emotion_ethics/ethics_morality; emotion_ethics/trust_loyalty; kinship_society/hierarchy_status; kinship_society/hospitality_welfare; land_water_sky/sky_astronomy	abundance, adoration, affection, agriculture, allegiance, anatomy, architecture, authority, benefaction, benefit, bestowal, blessing, bounty, canopy, care, ceiling, charity, coating, commerce, community
