word_id	ayah_ref	qac_ayah_ref	word_index	qac_word_ref	surface_ar	lemma_ar	root	pos	aspect	mood	voice	measure	morphology_summary
w-s015-a000-w001	15:0	1:1	1	1:1:1	بِسْمِ	ٱسْم	س م و	N					PREFIX|bi+ | STEM|POS:N|LEM:{som|ROOT:smw|M|GEN
w-s015-a000-w002	15:0	1:1	2	1:1:2	ٱللَّهِ	ٱللَّه	ء ل ه	PN					STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN
w-s015-a000-w003	15:0	1:1	3	1:1:3	ٱلرَّحْمَٰنِ	رَّحْمَٰن	ر ح م	ADJ					PREFIX|Al+ | STEM|POS:ADJ|LEM:r~aHoma`n|ROOT:rHm|MS|GEN
w-s015-a000-w004	15:0	1:1	4	1:1:4	ٱلرَّحِيمِ	رَّحِيم	ر ح م	ADJ					PREFIX|Al+ | STEM|POS:ADJ|LEM:r~aHiym|ROOT:rHm|MS|GEN
w-s015-a001-w001	15:1	15:1	1	15:1:1	الٓر			INL					STEM|POS:INL
w-s015-a001-w002	15:1	15:1	2	15:1:2	تِلْكَ	ذَٰلِك		DEM					STEM|POS:DEM|LEM:*a`lik|FS
w-s015-a001-w003	15:1	15:1	3	15:1:3	ءَايَٰتُ	ءَايَة	ء ي ي	N					STEM|POS:N|LEM:'aAyap|ROOT:Ayy|FP|NOM
w-s015-a001-w004	15:1	15:1	4	15:1:4	ٱلْكِتَٰبِ	كِتَٰب	ك ت ب	N					PREFIX|Al+ | STEM|POS:N|LEM:kita`b|ROOT:ktb|M|GEN
w-s015-a001-w005	15:1	15:1	5	15:1:5	وَقُرْءَانٍ	قُرْءَان	ق ر ء	PN					PREFIX|w:CONJ+ | STEM|POS:PN|LEM:quro'aAn|ROOT:qrA|M|INDEF|GEN
w-s015-a001-w006	15:1	15:1	6	15:1:6	مُّبِينٍ	مُّبِين	ب ي ن	N			ACT	IV	STEM|POS:N|ACT|PCPL|(IV)|LEM:m~ubiyn|ROOT:byn|M|INDEF|GEN
w-s015-a002-w001	15:2	15:2	1	15:2:1	رُّبَمَا	رُّب;مَا		N;PREV					STEM|POS:N|LEM:r~ub|NOM | STEM|POS:PREV|LEM:maA
w-s015-a002-w002	15:2	15:2	2	15:2:2	يَوَدُّ	وَدَّ	و د د	V	IMPF				STEM|POS:V|IMPF|LEM:wad~a|ROOT:wdd|3MS
w-s015-a002-w003	15:2	15:2	3	15:2:3	ٱلَّذِينَ	ٱلَّذِى		REL					STEM|POS:REL|LEM:{l~a*iY|MP
w-s015-a002-w004	15:2	15:2	4	15:2:4	كَفَرُوا۟	كَفَرَ	ك ف ر	V	PERF				STEM|POS:V|PERF|LEM:kafara|ROOT:kfr|3MP | SUFFIX|PRON:3MP
w-s015-a002-w005	15:2	15:2	5	15:2:5	لَوْ	لَو		COND					STEM|POS:COND|LEM:law
w-s015-a002-w006	15:2	15:2	6	15:2:6	كَانُوا۟	كَانَ	ك و ن	V	PERF				STEM|POS:V|PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|3MP | SUFFIX|PRON:3MP
w-s015-a002-w007	15:2	15:2	7	15:2:7	مُسْلِمِينَ	مُسْلِم	س ل م	N			ACT	IV	STEM|POS:N|ACT|PCPL|(IV)|LEM:musolim|ROOT:slm|MP|ACC
w-s015-a003-w001	15:3	15:3	1	15:3:1	ذَرْهُمْ	يَذَرَ	و ذ ر	V	IMPV				STEM|POS:V|IMPV|LEM:ya*ara|ROOT:w*r|2MS | SUFFIX|PRON:3MP
w-s015-a003-w002	15:3	15:3	2	15:3:2	يَأْكُلُوا۟	أَكَلَ	ء ك ل	V	IMPF	SUBJ			STEM|POS:V|IMPF|LEM:>akala|ROOT:Akl|3MP|MOOD:SUBJ | SUFFIX|PRON:3MP
w-s015-a003-w003	15:3	15:3	3	15:3:3	وَيَتَمَتَّعُوا۟	تَمَتَّعَ	م ت ع	V	IMPF	SUBJ		V	PREFIX|w:CONJ+ | STEM|POS:V|IMPF|(V)|LEM:tamat~aEa|ROOT:mtE|3MP|MOOD:SUBJ | SUFFIX|PRON:3MP
w-s015-a003-w004	15:3	15:3	4	15:3:4	وَيُلْهِهِمُ	أَلْهَىٰ	ل ه و	V	IMPF	JUS		IV	PREFIX|w:CONJ+ | STEM|POS:V|IMPF|(IV)|LEM:>alohaY`|ROOT:lhw|3MS|MOOD:JUS | SUFFIX|PRON:3MP
w-s015-a003-w005	15:3	15:3	5	15:3:5	ٱلْأَمَلُ	أَمَل	ء م ل	N					PREFIX|Al+ | STEM|POS:N|LEM:>amal|ROOT:Aml|M|NOM
w-s015-a003-w006	15:3	15:3	6	15:3:6	فَسَوْفَ	سَوْف		FUT					PREFIX|f:REM+ | STEM|POS:FUT|LEM:sawof
w-s015-a003-w007	15:3	15:3	7	15:3:7	يَعْلَمُونَ	عَلِمَ	ع ل م	V	IMPF				STEM|POS:V|IMPF|LEM:Ealima|ROOT:Elm|3MP | SUFFIX|PRON:3MP
w-s015-a004-w001	15:4	15:4	1	15:4:1	وَمَآ	مَا		NEG					PREFIX|w:CONJ+ | STEM|POS:NEG|LEM:maA
w-s015-a004-w002	15:4	15:4	2	15:4:2	أَهْلَكْنَا	أَهْلَكَ	ه ل ك	V	PERF			IV	STEM|POS:V|PERF|(IV)|LEM:>aholaka|ROOT:hlk|1P | SUFFIX|PRON:1P
w-s015-a004-w003	15:4	15:4	3	15:4:3	مِن	مِن		P					STEM|POS:P|LEM:min
w-s015-a004-w004	15:4	15:4	4	15:4:4	قَرْيَةٍ	قَرْيَة	ق ر ي	N					STEM|POS:N|LEM:qaroyap|ROOT:qry|F|INDEF|GEN
w-s015-a004-w005	15:4	15:4	5	15:4:5	إِلَّا	إِلَّا		RES					STEM|POS:RES|LEM:<il~aA
w-s015-a004-w006	15:4	15:4	6	15:4:6	وَلَهَا			PRON					PREFIX|w:CONJ+ | PREFIX|l:P+ | STEM|POS:PRON|3FS
w-s015-a004-w007	15:4	15:4	7	15:4:7	كِتَابٌ	كِتَٰب	ك ت ب	N					STEM|POS:N|LEM:kita`b|ROOT:ktb|M|INDEF|NOM
w-s015-a004-w008	15:4	15:4	8	15:4:8	مَّعْلُومٌ	مَّعْلُوم	ع ل م	N			PASS		STEM|POS:N|PASS|PCPL|LEM:m~aEoluwm|ROOT:Elm|M|INDEF|NOM
w-s015-a005-w001	15:5	15:5	1	15:5:1	مَّا	مَا		NEG					STEM|POS:NEG|LEM:maA
w-s015-a005-w002	15:5	15:5	2	15:5:2	تَسْبِقُ	سَبَقَ	س ب ق	V	IMPF				STEM|POS:V|IMPF|LEM:sabaqa|ROOT:sbq|3FS
w-s015-a005-w003	15:5	15:5	3	15:5:3	مِنْ	مِن		P					STEM|POS:P|LEM:min
w-s015-a005-w004	15:5	15:5	4	15:5:4	أُمَّةٍ	أُمَّة	ء م م	N					STEM|POS:N|LEM:>um~ap|ROOT:Amm|FS|INDEF|GEN
w-s015-a005-w005	15:5	15:5	5	15:5:5	أَجَلَهَا	أَجَل	ء ج ل	N					STEM|POS:N|LEM:>ajal|ROOT:Ajl|M|ACC | SUFFIX|PRON:3FS
w-s015-a005-w006	15:5	15:5	6	15:5:6	وَمَا	مَا		NEG					PREFIX|w:CONJ+ | STEM|POS:NEG|LEM:maA
w-s015-a005-w007	15:5	15:5	7	15:5:7	يَسْتَـْٔخِرُونَ	يَسْتَأْخِرُ	ء خ ر	V	IMPF			X	STEM|POS:V|IMPF|(X)|LEM:yasota>oxiru|ROOT:Axr|3MP | SUFFIX|PRON:3MP
