edge_id	source_position	target_position	edge_type	direction	confidence	annotation_source	exact_surface_span	evidence	reason	source_ref
ae:v3:s001:001:pass1:attach:a1	q:1:1:1	q:1:1:2	prep_complement	head-to-dependent	high	attachments:pass1:ATTACH	بِسْمِ | بِسْمِ	case_government;formulaic_construction	سْمِ is governed by the prefixed بِ in the formula بِسْمِ.	raw-attachments:line:2
ae:v3:s001:001:pass1:attach:a2	q:1:1:2	q:1:1:3	idafa	head-to-dependent	high	attachments:pass1:ATTACH	بِسْمِ | اللَّهِ	case_government;local_syntax	ٱللَّهِ is the genitive muḍāf ilayhi of سْمِ.	raw-attachments:line:3
ae:v3:s001:001:pass1:attach:a3	q:1:1:3	q:1:1:4	adjective	head-to-dependent	high	attachments:pass1:ATTACH	اللَّهِ | الرَّحْمَنِ	agreement;local_syntax	ٱلرَّحْمَٰنِ follows ٱللَّهِ in genitive definiteness as an adjectival divine epithet.	raw-attachments:line:4
ae:v3:s001:001:pass1:attach:a4	q:1:1:3	q:1:1:5	adjective	head-to-dependent	high	attachments:pass1:ATTACH	اللَّهِ | الرَّحِيمِ	agreement;local_syntax	ٱلرَّحِيمِ follows ٱللَّهِ in the same genitive adjectival series.	raw-attachments:line:5
ae:v3:s001:002:pass1:attach:a1	q:1:2:1	q:1:2:3	prep_complement	head-to-dependent	high	attachments:pass1:ATTACH	الْحَمْدُ | لِلَّهِ	case_government;local_syntax	ٱللَّهِ is governed by لِ, and the prepositional phrase لِلَّهِ completes the predicate relation with ٱلْحَمْدُ.	raw-attachments:line:6
ae:v3:s001:002:pass1:attach:a2	q:1:2:1	q:1:2:3	predication	head-to-dependent	high	attachments:pass1:ATTACH	الْحَمْدُ | لِلَّهِ	local_syntax;word_order	لِلَّهِ is the khabar of ٱلْحَمْدُ in the nominal sentence.	raw-attachments:line:7
ae:v3:s001:002:pass1:attach:a3	q:1:2:3	q:1:2:4	apposition	head-to-dependent	high	attachments:pass1:ATTACH	لِلَّهِ | رَبِّ	case_government;local_syntax	رَبِّ is genitive and stands in apposition to ٱللَّهِ.	raw-attachments:line:8
ae:v3:s001:002:pass1:attach:a4	q:1:2:4	q:1:2:5	idafa	head-to-dependent	high	attachments:pass1:ATTACH	رَبِّ | الْعَالَمِينَ	case_government;local_syntax	ٱلْعَٰلَمِينَ is the genitive muḍāf ilayhi of رَبِّ.	raw-attachments:line:9
ae:v3:s001:003:pass1:attach:a1	q:1:3:1	q:1:3:2	apposition	head-to-dependent	medium	attachments:pass1:ATTACH	الرَّحْمَنِ | الرَّحِيمِ	local_syntax;parallelism	ٱلرَّحِيمِ follows ٱلرَّحْمَٰنِ as a paired genitive divine epithet within the ayah.	raw-attachments:line:10
ae:v3:s001:004:pass1:attach:a1	q:1:4:1	q:1:4:2	idafa	head-to-dependent	high	attachments:pass1:ATTACH	مَالِكِ | يَوْمِ	case_government;local_syntax	يَوْمِ is the genitive complement of مَٰلِكِ in an iḍāfa construction.	raw-attachments:line:11
ae:v3:s001:004:pass1:attach:a2	q:1:4:2	q:1:4:3	idafa	head-to-dependent	high	attachments:pass1:ATTACH	يَوْمِ | الدِّينِ	case_government;local_syntax	ٱلدِّينِ is the genitive muḍāf ilayhi of يَوْمِ.	raw-attachments:line:12
ae:v3:s001:005:pass1:attach:a1	q:1:5:2	q:1:5:1	direct_object	head-to-dependent	high	attachments:pass1:ATTACH	نَعْبُدُ | إِيَّاكَ	case_government;word_order	إِيَّاكَ is the fronted explicit object of نَعْبُدُ.	raw-attachments:line:13
ae:v3:s001:005:pass1:attach:a2	q:1:5:5	q:1:5:4	direct_object	head-to-dependent	high	attachments:pass1:ATTACH	نَسْتَعِينُ | وَإِيَّاكَ	case_government;word_order	إِيَّاكَ is the fronted explicit object of نَسْتَعِينُ.	raw-attachments:line:14
