qac_root_norm	frozen_root_norm	furuq_root_id	furuq_root_norm	furuq_source_root_norm	furuq_resolution	occurrences	statuses	root_correction_statuses	qac_match_modes	sample_refs	sample_surfaces	sample_qac_lemmas
(none)	ء ب و	root_000007	ء ب و	أ ب و	root_norm_unique	48	no_qac_root_at_word:48	disputed:48	no_surface_or_stem_match_in_ayah:48	2:133:21|2:170:19|4:11:31|4:11:51|4:11:72|4:22:6|5:104:22|6:87:3	آبَائِكَ|ءَابَآؤُهُمْ|أَبَوَيْهِ|أَبَوَاهُ|ءَابَآؤُكُمْ|آبَاؤُكُمْ|ءَابَآئِهِمْ|ءَابَآؤُنَا	
(none)	ء ت ي	root_000009	ء ت ي	أ ت ي	root_norm_unique	184	no_qac_root_at_word:184	unchanged:184	no_surface_or_stem_match_in_ayah:184	2:43:5|2:83:31|2:85:20|2:110:5|2:200:20|2:201:6|2:214:8|2:251:11	ءَاتُوا|ءَاتُوا۟|يَأْتُوكُمْ|آتُوا|ءَاتِنَا|آتِنَا|يَأْتِكُمْ|ءَاتَىٰهُ	
(none)	ء ث ث	root_000010	ء ث ث	أ ث ث	root_norm_unique	1	no_qac_root_at_word:1	unchanged:1	no_surface_or_stem_match_in_ayah:1	19:74:9	أَثَاثًۭا	
(none)	ء ث ر	root_000011	ء ث ر	أ ث ر	root_norm_unique	10	no_qac_root_at_word:10	unchanged:10	no_surface_or_stem_match_in_ayah:10	18:6:6|18:64:9|20:72:3|36:12:10|37:70:4|43:22:11|43:23:23|57:27:4	ءَاثَٰرِهِمْ|ءَاثَارِهِمَا|نُّؤْثِرَكَ|ءَاثَٰرَهُمْ|ءَاثَٰرِهِم|يُؤْثِرُونَ|تُؤْثِرُونَ	
(none)	ء ج ر	root_000015	ء ج ر	أ ج ر	root_norm_unique	3	no_qac_root_at_word:3	unchanged:3	no_surface_or_stem_match_in_ayah:3	28:26:5|28:26:9|28:27:11	ٱسْتَـْٔجِرْهُ|ٱسْتَـْٔجَرْتَ|تَأْجُرَنِى	
(none)	ء خ ذ	root_000018	ء خ ذ	أ خ ذ	root_norm_unique	41	no_qac_root_at_word:41	unchanged:41	no_surface_or_stem_match_in_ayah:41	2:67:14|2:225:2|2:225:10|2:231:32|2:286:17|3:80:5|3:118:6|4:89:12	أَتَتَّخِذُنَا|يُؤَاخِذُكُمُ|يُؤَاخِذُكُمْ|تَتَّخِذُوا|تُؤَاخِذْنَآ|تَتَّخِذُوا۟|أَتَّخِذَنَّ|يَتَّخِذُونَ	
(none)	ء خ ر	root_000019	ء خ ر	أ خ ر	root_norm_unique	16	no_qac_root_at_word:16	unchanged:16	no_surface_or_stem_match_in_ayah:16	3:153:12|7:34:11|7:38:26|7:39:5|10:49:23|11:104:3|14:10:17|14:42:10	أُخْرَىٰكُمْ|يَسْتَأْخِرُونَ|أُخْرَىٰهُمْ|نُؤَخِّرُهُۥٓ|يُؤَخِّرَكُمْ|يُؤَخِّرُهُمْ|يَسْتَـْٔخِرُونَ|ٱلْمُسْتَـْٔخِرِينَ	
(none)	ء خ و	root_000020	ء خ و	أ خ و	root_norm_unique	28	no_qac_root_at_word:28	disputed:28	no_surface_or_stem_match_in_ayah:28	2:220:18|3:156:13|3:168:4|4:23:7|4:23:23|6:87:7|7:202:2|9:11:11	إِخْوَٰنُكُمْ|إِخْوَٰنِهِمْ|أَخَوَاتُكُمْ|إِخْوَٰنُهُمْ|إِخْوَٰنَكُمْ|إِخْوَانُكُمْ|إِخْوَتِكَ|إِخْوَتِهِ	
(none)	ء د ي	root_000021	ء د ي	أ د ي	root_norm_unique	1	no_qac_root_at_word:1	unchanged:1	no_surface_or_stem_match_in_ayah:1	4:58:5	تُؤَدُّوا	
(none)	ء ذ ن	root_000022	ء ذ ن	أ ذ ن	root_norm_unique	20	no_qac_root_at_word:20	unchanged:20	no_surface_or_stem_match_in_ayah:20	2:19:15|6:25:15|9:44:2|9:45:2|9:83:9|9:86:13|9:93:5|17:46:10	ءَاذَانِهِم|ءَاذَانِهِمْ|يَسْتَـْٔذِنُكَ|ٱسْتَـْٔذَنُوكَ|ٱسْتَـْٔذَنَكَ|يَسْتَـْٔذِنُونَكَ|آذَانِهِمْ|ءَاذَنتُكُمْ	
