policy	surah	top_k	channel_id	status	score	anchor_edges	bridge_edges	ayah_count	root_count	branch_count	label
k005	1	5	D03	stable	0.8759	83	287	7	14	25	conflict / redress / judgment / restraint
k005	1	5	D04	stable	0.8548	26	190	6	11	18	favor / wealth / attachment / ingratitude
k005	1	5	D08	stable	0.8115	29	162	5	6	12	authority / obedience / hierarchy
k005	1	5	D07	stable	0.7995	15	107	5	7	8	guidance / road / direction
k005	1	5	D01	stable	0.7682	25	185	5	7	16	motion / force / incursion / center
k005	1	5	D06	stable	0.7669	17	158	5	7	14	water / growth / fertility / barrenness
k005	1	5	D05	mixed	0.483	2	57	3	4	5	concealment / extraction / knowledge / testimony
k005	1	5	D02	mixed	0.4597	2	48	3	3	4	fire / ignition / light / daybreak
k005	48	5	D04	stable	0.9382	519	2923	29	97	136	favor / wealth / attachment / ingratitude
k005	48	5	D06	stable	0.9306	1126	2957	29	84	165	water / growth / fertility / barrenness
k005	48	5	D03	stable	0.9295	2039	5184	29	133	260	conflict / redress / judgment / restraint
k005	48	5	D01	stable	0.9293	602	3729	29	100	179	motion / force / incursion / center
k005	48	5	D05	stable	0.916	279	2006	28	47	72	concealment / extraction / knowledge / testimony
k005	48	5	D08	stable	0.9134	362	2680	27	62	85	authority / obedience / hierarchy
k005	48	5	D07	stable	0.9078	133	1536	25	48	64	guidance / road / direction
k005	48	5	D02	stable	0.8909	48	753	23	29	34	fire / ignition / light / daybreak
k005	100	5	D03	stable	0.8899	40	313	9	13	21	conflict / redress / judgment / restraint
k005	100	5	D06	stable	0.8884	121	441	10	14	32	water / growth / fertility / barrenness
k005	100	5	D01	stable	0.8641	51	355	8	11	23	motion / force / incursion / center
k005	100	5	D04	stable	0.8404	33	234	8	11	15	favor / wealth / attachment / ingratitude
k005	100	5	D05	stable	0.8377	32	200	7	12	14	concealment / extraction / knowledge / testimony
k005	100	5	D02	stable	0.7387	31	223	5	7	16	fire / ignition / light / daybreak
k005	100	5	D08	weak	0.4411	3	58	4	3	4	authority / obedience / hierarchy
k005	103	5	D03	stable	0.8976	42	92	3	8	21	conflict / redress / judgment / restraint
k005	103	5	D04	stable	0.8743	27	83	3	8	13	favor / wealth / attachment / ingratitude
k010	1	10	D03	stable	0.8469	146	287	7	14	25	conflict / redress / judgment / restraint
k010	1	10	D04	stable	0.8459	45	190	6	11	18	favor / wealth / attachment / ingratitude
k010	1	10	D08	stable	0.8053	39	162	5	6	12	authority / obedience / hierarchy
k010	1	10	D07	stable	0.7853	20	107	5	7	8	guidance / road / direction
k010	1	10	D01	stable	0.7735	44	185	5	7	16	motion / force / incursion / center
k010	1	10	D06	stable	0.7596	24	158	5	7	14	water / growth / fertility / barrenness
k010	1	10	D05	mixed	0.483	2	57	3	4	5	concealment / extraction / knowledge / testimony
k010	1	10	D02	mixed	0.4597	2	48	3	3	4	fire / ignition / light / daybreak
k010	48	10	D04	stable	0.8985	881	2923	29	97	136	favor / wealth / attachment / ingratitude
k010	48	10	D06	stable	0.8938	1801	2957	29	84	165	water / growth / fertility / barrenness
k010	48	10	D03	stable	0.8912	3634	5184	29	133	260	conflict / redress / judgment / restraint
k010	48	10	D01	stable	0.8884	1086	3729	29	100	179	motion / force / incursion / center
k010	48	10	D05	stable	0.8812	437	2006	28	47	72	concealment / extraction / knowledge / testimony
k010	48	10	D07	stable	0.8778	187	1536	25	48	64	guidance / road / direction
k010	48	10	D08	stable	0.8752	597	2680	27	62	85	authority / obedience / hierarchy
k010	48	10	D02	stable	0.8672	64	753	23	29	34	fire / ignition / light / daybreak
k010	100	10	D06	stable	0.8568	174	441	10	14	32	water / growth / fertility / barrenness
k010	100	10	D03	stable	0.8509	63	313	9	13	21	conflict / redress / judgment / restraint
k010	100	10	D01	stable	0.8292	86	355	8	11	23	motion / force / incursion / center
k010	100	10	D05	stable	0.8261	41	200	7	12	14	concealment / extraction / knowledge / testimony
k010	100	10	D04	stable	0.8222	56	234	8	11	15	favor / wealth / attachment / ingratitude
k010	100	10	D02	stable	0.7164	51	223	5	7	16	fire / ignition / light / daybreak
k010	100	10	D08	weak	0.4411	3	58	4	3	4	authority / obedience / hierarchy
k010	103	10	D04	stable	0.8702	42	83	3	8	13	favor / wealth / attachment / ingratitude
k010	103	10	D03	stable	0.8385	87	92	3	8	21	conflict / redress / judgment / restraint
k020	1	20	D03	stable	0.8366	205	287	7	14	25	conflict / redress / judgment / restraint
k020	1	20	D04	stable	0.815	78	190	6	11	18	favor / wealth / attachment / ingratitude
k020	1	20	D08	stable	0.7962	45	162	5	6	12	authority / obedience / hierarchy
k020	1	20	D07	stable	0.7859	26	107	5	7	8	guidance / road / direction
k020	1	20	D06	stable	0.7732	39	158	5	7	14	water / growth / fertility / barrenness
k020	1	20	D01	stable	0.764	71	185	5	7	16	motion / force / incursion / center
k020	1	20	D05	mixed	0.5057	3	57	3	4	5	concealment / extraction / knowledge / testimony
k020	1	20	D02	mixed	0.4597	2	48	3	3	4	fire / ignition / light / daybreak
k020	48	20	D04	stable	0.8724	1569	2923	29	97	136	favor / wealth / attachment / ingratitude
k020	48	20	D06	stable	0.8719	2831	2957	29	84	165	water / growth / fertility / barrenness
k020	48	20	D03	stable	0.87	6508	5184	29	133	260	conflict / redress / judgment / restraint
k020	48	20	D01	stable	0.864	2111	3729	29	100	179	motion / force / incursion / center
k020	48	20	D05	stable	0.8577	675	2006	28	47	72	concealment / extraction / knowledge / testimony
k020	48	20	D08	stable	0.8513	1054	2680	27	62	85	authority / obedience / hierarchy
k020	48	20	D07	stable	0.8512	311	1536	25	48	64	guidance / road / direction
