candidate_id	channel_score	label_hint	ayah_count	root_count	branch_count	edge_count	mean_affinity	density	reciprocal_edge_ratio	strong_rank_ratio	ayahs	roots	top_facets	example_edge
C001	0.8416	water / surface / quenching / land_water_sky/water_hydrology	8	9	13	21	0.0697566	0.2838	1.0	0.7619	1,3,4,6,8,9,10,11	ث و ر ح ب ب خ ب ر ر ب ب ص ب ح ص د ر ع د و ع ل م ن ق ع	kw:water(67.7898); kw:surface(44.8955); kw:quenching(33.5381); theme:land_water_sky/water_hydrology(33.2386); kw:hydrology(32.29); kw:origin(25.5944); kw:grammar(25.5168); kw:change(25.4406)	ص ب ح:B010:أصبح بمعنى صار → ص د ر:B004:الأصل الذي تصدر عنه الأفعال
C002	0.835	water / surface / soil / quenching	7	9	14	27	0.06781515	0.3176	1.0	0.7407	1,2,4,6,8,9,11	ث و ر ح ب ب خ ب ر ر ب ب ع د و ع ل م ك ن د ن ق ع و ر ي	kw:water(50.8423); kw:surface(44.8955); kw:soil(37.8305); kw:quenching(33.5381); theme:land_water_sky/water_hydrology(33.2386); kw:hydrology(32.29); kw:ecology(30.693); kw:basin(25.3658)	ر ب ب:B013:ماء رَبَب كثير → ع ل م:B005:ماء كثير مجتمع في عيلم
C003	0.8286	ecology / plant / food / water	9	9	13	16	0.07260192	0.2254	1.0	0.875	1,2,3,4,6,8,9,10,11	ح ب ب ح ص ل خ ب ر ر ب ب ع د و ع ل م غ ي ر ق د ح ن ق ع	kw:ecology(30.693); kw:plant(30.133); kw:food(26.733); kw:water(25.4212); kw:agriculture(24.6471); kw:overcast(19.2746); kw:livestock(19.0636); kw:syrup(17.442)	ع د و:B011:العَدَوِيّة من نبات الصيف → ر ب ب:B012:ربة نبات
C004	0.8175	soil / ecology / date / softness	9	11	13	14	0.0699038	0.1842	1.0	0.9286	1,2,3,4,5,6,9,10,11	ج م ع ح ص ل خ ب ر ر ب ب ص ب ح ع د و ق ب ر ق د ح ك ن د ن ق ع و ر ي	kw:soil(37.8305); kw:ecology(30.693); kw:date(24.9444); kw:softness(24.6862); kw:fruit(23.2346); kw:palm(22.7442); kw:growth(21.0713); theme:condition_force_change/control_restraint(20.4942)	ن ق ع:B007:نقاع الأرض القيعان السهلة → ك ن د:B003:الأرض التي لا تنبت
C005	0.817	top / knowledge / agreement / report	11	12	17	30	0.06361399	0.2308	0.9333	0.6	1,2,3,4,5,6,7,8,9,10,11	ب ع ث ر ج م ع خ ب ر ر ب ب ش د د ش ه د ص ب ح ص د ر ض ب ح ع ل م ق د ح ن ق ع	kw:top(44.6404); kw:knowledge(33.6183); kw:agreement(29.3388); kw:report(29.1436); kw:epistemology(27.7169); kw:evidence(27.1003); kw:decision(26.8781); kw:alliance(26.8781)	ع ل م:B001:انكشاف الشيء للعارف → خ ب ر:B001:العلم بالخبر وباطن الأمر
C006	0.8098	gathering / kinship_society/social_relations / community / society	8	9	17	35	0.0638066	0.2893	0.9714	0.6857	1,2,5,6,7,9,10,11	ء ن س ب ع ث ر ج م ع ر ب ب ش ه د ص د ر ع د و ق د ح و س ط	kw:gathering(38.5105); theme:kinship_society/social_relations(35.6363); kw:community(33.7254); kw:society(31.1678); kw:gambling(31.0619); theme:kinship_society/household_community(29.1666); kw:aggregation(27.8525); kw:presence(27.1003)	ج م ع:B002:جماعة اجتمعت أو أخلاط ضمتها الجهة → ر ب ب:B004:ربة وجماعات كثيرة
C007	0.8023	aggregation / division / solid / result	10	13	17	29	0.06562823	0.2248	1.0	0.5862	1,2,3,4,5,6,8,9,10,11	ث و ر ج م ع ح ب ب ح ص ل ر ب ب ص د ر ع د و ع ل م غ ي ر ق ب ر ق د ح ك ن د و س ط	kw:aggregation(41.7788); kw:division(36.4916); kw:solid(35.7766); kw:result(33.5381); kw:exception(32.1114); kw:integrity(31.0619); kw:exclusion(27.8525); kw:logic(27.4588)	ع د و:B004:المجاوزة والاستثناء والصرف → غ ي ر:B005:السوى والخلاف والاستثناء والنفي
C008	0.8003	soil / ecology / plant / residue	9	13	16	16	0.07035519	0.1368	1.0	1.0	1,2,4,5,6,8,9,10,11	ب ع ث ر ث و ر ج م ع ح ب ب ح ص ل خ ب ر ر ب ب ض ب ح ع د و ق ب ر ق د ح ك ن د ن ق ع	kw:soil(50.4406); kw:ecology(40.924); kw:plant(30.133); kw:residue(25.2924); kw:extraction(25.08); kw:softness(24.6862); kw:agriculture(24.6471); kw:storage(21.7304)	ع د و:B011:العَدَوِيّة من نبات الصيف → ر ب ب:B012:ربة نبات
C009	0.7999	fire / spark / energy / gambling	7	8	14	22	0.06729977	0.2933	1.0	0.7273	1,2,3,6,8,10,11	ح ب ب ر ب ب ش د د ص ب ح ص د ر ض ب ح ق د ح و ر ي	kw:fire(68.3484); kw:spark(46.1482); kw:energy(39.4154); kw:gambling(31.0619); kw:top(29.7602); kw:ember(28.9576); kw:ignition(28.9576); kw:combustion(28.7797)	و ر ي:B002:نار كامنة تخرج من الزند → ق د ح:B001:إيراء النار بالقدح
C010	0.7992	division / solid / result / sweetness	10	12	17	24	0.06722336	0.1832	1.0	0.6667	1,2,3,4,5,6,7,8,9,10	ث و ر ج م ع ح ص ل ش د د ش ه د ص ب ح ص د ر ض ب ح ق ب ر ق د ح ك ن د و س ط	kw:division(36.4916); kw:solid(35.7766); kw:result(33.5381); kw:sweetness(27.7169); kw:rest(26.6675); kw:sleep(26.2769); kw:origin(25.5944); kw:grammar(25.5168)	ص ب ح:B010:أصبح بمعنى صار → ص د ر:B004:الأصل الذي تصدر عنه الأفعال
C011	0.7978	aggregation / community / result / exception	10	11	17	24	0.06486493	0.1875	0.9167	0.7917	1,2,3,4,5,6,8,9,10,11	ء ن س ب ع ث ر ج م ع ح ص ل ر ب ب ش د د ع د و غ ي ر ن ق ع و ر ي و س ط	kw:aggregation(41.7788); kw:community(33.7254); kw:result(33.5381); kw:exception(32.1114); theme:kinship_society/household_community(29.1666); kw:exclusion(27.8525); kw:logic(27.4588); kw:multitude(26.8781)	ع د و:B004:المجاوزة والاستثناء والصرف → غ ي ر:B005:السوى والخلاف والاستثناء والنفي
