evidence_id	claim_id	occurrence_ref	word_index	word_id	morpheme_id	surface	lemma	pos	root	branch	inventory_pointer	inventory_match	form_fit	construction_fit	evidence_role	lexical_status	translation_role	resonance_eligible	trigger_score	proximity_score	structure_score	reading_gain_score	robustness_score	resonance_score	resonance_strength	support_refs	linguistic_support_ids	counterevidence	decision_reason
e-s001-1_0-mercy-formative-enclosure-001	s001-1_0-mercy-formative-enclosure	1:0	3	w-s001-a000-w003	m-w-s001-a000-w003-02	رَّحْمَٰنِ	رَّحْمَٰن	ADJ	ر ح م	B001	v12/runs/s001/full_context_packet.json:631	yes	exact	exact	lexical_anchor	direct	governing	not_applicable							none	1:2;1:3;1:5;1:6	sx-1_0-00003	B001 licenses mercy and tenderness, but it does not itself entail a womb-like enclosure or a causal theory of formation.	The QAC-bound word 3 is the adjective al-Rahman, and B001 expressly includes al-Rahman among the mercy-derived names; this is the governing direct lexical floor for the enclosure resonance.
e-s001-1_0-mercy-formative-enclosure-002	s001-1_0-mercy-formative-enclosure	1:0	4	w-s001-a000-w004	m-w-s001-a000-w004-02	رَّحِيمِ	رَّحِيم	ADJ	ر ح م	B001	v12/runs/s001/full_context_packet.json:631	yes	exact	compatible	lexical_anchor	direct	governing	not_applicable							none	1:2;1:3;1:5;1:6		B001 licenses mercy and tenderness, but it does not itself entail a womb-like enclosure or a causal theory of formation.	The QAC-bound word 4 is the distinct genitive adjective al-Rahim, which B001 expressly includes among the mercy-derived names, so its form is direct and its morphology is compatible with the epithet construction. The supplied fallback attachment for the second epithet resolves to word 3, not word 4, so no syntax ID is re-bound or cited for this occurrence.
e-s001-1_0-mercy-formative-enclosure-003	s001-1_0-mercy-formative-enclosure	1:0	3	w-s001-a000-w003	m-w-s001-a000-w003-02	رَّحْمَٰنِ	رَّحْمَٰن	ADJ	ر ح م	B002	v12/runs/s001/full_context_packet.json:648	yes	mismatch	mismatch	target_root_resonance	unlicensed	none	no							none	1:2;1:3;1:5;1:6	sx-1_0-00003	Al-Rahman is an adjectival divine epithet, while B002 covers kinship, descent, and maintaining or severing family ties; none of the named activators supplies a kinship construction.	The kinship attempt is retained, but it fails the resonance gate: root identity and general dependency do not provide a named kinship activator or an explicit structural relation specific to B002.
e-s001-1_0-mercy-formative-enclosure-004	s001-1_0-mercy-formative-enclosure	1:0	4	w-s001-a000-w004	m-w-s001-a000-w004-02	رَّحِيمِ	رَّحِيم	ADJ	ر ح م	B002	v12/runs/s001/full_context_packet.json:648	yes	mismatch	mismatch	target_root_resonance	unlicensed	none	no							none	1:2;1:3;1:5;1:6		The QAC form is the adjective al-Rahim, not a kinship noun, and the later nurture, aid, and guidance language contains no descent or family-tie construction.	This second mercy occurrence is retained separately, but B002 remains unlicensed because no named activator or structural relation specifically activates kinship; the attachment fallback is not re-bound from word 3 to word 4.
e-s001-1_0-mercy-formative-enclosure-005	s001-1_0-mercy-formative-enclosure	1:0	3	w-s001-a000-w003	m-w-s001-a000-w003-02	رَّحْمَٰنِ	رَّحْمَٰن	ADJ	ر ح م	B003	v12/runs/s001/full_context_packet.json:665	yes	mismatch	mismatch	target_root_resonance	analogical_resonance	none	yes	2	2	2	2	1	9	strong	1:2;1:3;1:5;1:6	sx-1_0-00003	Al-Rahman is an adjective whose ordinary selection is B001, not the female-womb noun of B003; mercy plus nurture can explain the sequence without gestational imagery.	B003 does not govern the form, but the exact target root, stagewise nurture in 1:2, repetition of the mercy pair in 1:3, and dependent aid and guidance provide a specific bracketed growth structure and a coherent formative-enclosure reading. The adjectival-versus-nominal mismatch is therefore licensed only as analogy.
e-s001-1_0-mercy-formative-enclosure-006	s001-1_0-mercy-formative-enclosure	1:0	4	w-s001-a000-w004	m-w-s001-a000-w004-02	رَّحِيمِ	رَّحِيم	ADJ	ر ح م	B003	v12/runs/s001/full_context_packet.json:665	yes	mismatch	mismatch	target_root_resonance	analogical_resonance	none	yes	2	2	2	2	1	9	strong	1:2;1:3;1:5;1:6		QAC identifies al-Rahim as a distinct adjective with a long-vowel lemma, not the womb noun; the developmental sequence is also fully compatible with ordinary mercy.	For word 4, B003 likewise cannot govern translation, yet the exact root anchor and the nurture-repetition-aid-guidance sequence satisfy the analogy gate and yield the same formative shelter. No syntax edge is re-bound to this occurrence because the supplied fallback remains attached to word 3.
e-s001-1_0-mercy-formative-enclosure-007	s001-1_0-mercy-formative-enclosure	1:2	3	w-s001-a002-w003	m-w-s001-a002-w003-01	رَبِّ	رَبّ	N	ر ب ب	B002	v12/runs/s001/full_context_packet.json:811	yes	compatible	compatible	context_support	contextually_activated	none	not_applicable							none	1:2	sx-1_2-00007;sx-1_2-00008	The title Rabb does not by morphology alone assert child-development or a stagewise process.	Rabb is appositional to Allah and heads the genitive domain 'of the worlds'; that construction compatibly activates B002 administration, nurture, and completion, while leaving it a contextual modifier rather than a replacement for the title.
e-s001-1_0-mercy-formative-enclosure-008	s001-1_0-mercy-formative-enclosure	1:5	4	w-s001-a005-w004	m-w-s001-a005-w004-01	نَسْتَعِينُ	ٱسْتَعِينُ	V	ع و ن	B001	v12/runs/s001/full_context_packet.json:1708	yes	exact	exact	context_support	direct	none	not_applicable							none	1:5	sx-1_5-00013	Seeking help establishes dependence, but it does not itself lexicalize gestation or enclosure.	The Form X imperfect nasta'in directly instantiates B001 seeking help, and its fronted object marks the addressee from whom help is sought; it is direct contextual support for dependent development.
e-s001-1_0-mercy-formative-enclosure-009	s001-1_0-mercy-formative-enclosure	1:6	1	w-s001-a006-w001	m-w-s001-a006-w001-01	ٱهْدِ	هَدَى	V	ه د ي	B001	v12/runs/s001/full_context_packet.json:1849	yes	exact	exact	context_support	direct	none	not_applicable							none	1:6	sx-1_6-00015;sx-1_6-00016	The imperative requests guidance toward a path, not biological formation.	The imperative ihdina directly instantiates B001 guidance, with 'us' as its object and the path as its explicit governed object; it directly supports the later guidance component without governing the womb analogy.
e-s001-1_0-mercy-frames-reckoning-001	s001-1_0-mercy-frames-reckoning	1:0	3	w-s001-a000-w003	m-w-s001-a000-w003-02	رَّحْمَٰنِ	رَّحْمَٰن	ADJ	ر ح م	B001	v12/runs/s001/full_context_packet.json:631	yes	exact	exact	lexical_anchor	direct	governing	not_applicable							none	1:4	sx-1_0-00003	The direct mercy sense can frame later judgment by sequence, but it does not cancel or redefine reckoning.	Word 3 al-Rahman is an adjectival epithet explicitly covered by B001, so mercy and tenderness are the governing direct sense carried into the later reckoning scene.
