source_finding_id	claim_ids	disposition	publication_roles	translation_visibility	notes
std-b-a018	s001-1_6-enabled-orientation;s001-1_6-sustained-straightness	split	primary	commentary_and_translation	Direct lexical floor is translation-visible; sustained mechanism remains commentary.
std-b-a019	s001-1_6-supported-procession	accepted	secondary	commentary_only	Leading-front branches are analogical.
std-b-a020	s001-1_6-contained-transit;s001-1_6-cutting-through-resistance	split	secondary;exploratory	commentary_only	Contained passage is strong secondary resonance; sword and resistance imagery remains exploratory.
std-b-a021	s001-1_6-guidance-as-favor;s001-1_6-devotional-offering	split	secondary;evidence_only	commentary_only	Gift and offering branches do not govern translation.
std-b-r011	s001-1_6-supported-procession	merged	secondary	commentary_only	Social-historical refinement.
std-b-r012	s001-1_6-contained-transit	merged	secondary	commentary_only	Disappearance supplies strong secondary resonance without translation access.
p5-a-a016	s001-1_6-guidance-as-favor	merged	secondary	commentary_only	Gift is analogical; favor is contextual support.
p5-a-a017	s001-1_6-enabled-orientation;s001-1_6-supported-procession	split	primary;secondary	commentary_only	Movement refinement uses analogical leading and supported-walking branches.
p5-a-a018	s001-1_6-enabled-orientation;s001-1_6-sustained-straightness	split	primary	commentary_only	Maintenance and mainstay branches are analogical.
p5-a-a019	s001-1_6-contained-transit	merged	secondary	commentary_only	The reader's exploratory qualification is retained, but structured cross-ayah grading supports a secondary publication role.
p5-a-r013	s001-1_6-guidance-as-favor	merged	secondary	commentary_only	Retrospective support.
p5-a-r014	s001-1_6-supported-procession	merged	secondary	commentary_only	Retrospective support.
p5-a-r015	s001-1_6-contained-transit	merged	secondary	commentary_only	Retrospective disappearance support for a strong secondary resonance.
