status	word_ref	qac_word_refs	qac_match_mode	masaq_segment_refs	alignment_group_id	surface_ar	masaq_joined_arabic	frozen_root_norm	frozen_root_raw	frozen_tsv_root_raw	root_correction_status	root_correction_rule_id	qac_root_norm	qac_root_ar	qac_ref	qac_surface_ar	qac_stem_ar	qac_lemma_ar	qac_pos	furuq_root_id	furuq_root_norm	furuq_source_root_norm	furuq_resolution
no_qac_root_at_word	100:11:5		no_surface_or_stem_match_in_ayah	100:11:5	100:11:5	يَوْمَئِذٍۢ	يَوْمَئِذٍ	ي و م	ي و م	ي و م	unchanged									root_001700	ي و م	ي و م	source_root_norm
no_qac_root_at_word	100:1:2		no_surface_or_stem_match_in_ayah	100:1:2	100:1:2	ٱلْعَٰدِيَٰتِ	وَالْعَادِيَاتِ	ع د و	ع د و	ع د و	unchanged									root_000993	ع د و	ع د و	source_root_norm
no_qac_root_at_word	100:2:2		no_surface_or_stem_match_in_ayah	100:2:2	100:2:2	ٱلْمُورِيَٰتِ	فَالْمُورِيَاتِ	و ر ي	و ر ي	و ر ي	unchanged									root_001642	و ر ي	و ر ي	source_root_norm
no_qac_root_at_word	100:3:2		no_surface_or_stem_match_in_ayah	100:3:2	100:3:2	ٱلْمُغِيرَٰتِ	فَالْمُغِيرَاتِ	غ و ر غ ي ر	غ و ر / غ ي ر	غ و ر / غ ي ر	unchanged												missing_furuq_root
no_qac_root_at_word	100:6:2		no_surface_or_stem_match_in_ayah	100:6:2	100:6:2	ٱلْإِنسَٰنَ	الْإِنْسَانَ	ء ن س	أ ن س	أ ن س	disputed									root_000059	ء ن س	أ ن س	root_norm_unique
no_qac_root_at_word	101:10:3		no_surface_or_stem_match_in_ayah	101:10:3	101:10:3	أَدْرَىٰكَ	أَدْرَاكَ	د ر ي	د ر ي	د ر ي	unchanged									root_000473	د ر ي	د ر ي	source_root_norm
no_qac_root_at_word	101:1:1		no_surface_or_stem_match_in_ayah	101:1:1	101:1:1	ٱلْقَارِعَةُ	الْقَارِعَةُ	ق ر ع	ق ر ع	ق ر ع	unchanged									root_001219	ق ر ع	ق ر ع	source_root_norm
no_qac_root_at_word	101:2:2		no_surface_or_stem_match_in_ayah	101:2:2	101:2:2	ٱلْقَارِعَةُ	الْقَارِعَةُ	ق ر ع	ق ر ع	ق ر ع	unchanged									root_001219	ق ر ع	ق ر ع	source_root_norm
no_qac_root_at_word	101:3:3		no_surface_or_stem_match_in_ayah	101:3:3	101:3:3	أَدْرَىٰكَ	أَدْرَاكَ	د ر ي	د ر ي	د ر ي	unchanged									root_000473	د ر ي	د ر ي	source_root_norm
no_qac_root_at_word	101:3:5		no_surface_or_stem_match_in_ayah	101:3:5	101:3:5	ٱلْقَارِعَةُ	الْقَارِعَةُ	ق ر ع	ق ر ع	ق ر ع	unchanged									root_001219	ق ر ع	ق ر ع	source_root_norm
no_qac_root_at_word	101:6:5		no_surface_or_stem_match_in_ayah	101:6:5	101:6:5	مَوَٰزِينُهُۥ	مَوَازِينُهُ	و ز ن	و ز ن	و ز ن	unchanged									root_001645	و ز ن	و ز ن	source_root_norm
no_qac_root_at_word	101:8:5		no_surface_or_stem_match_in_ayah	101:8:5	101:8:5	مَوَٰزِينُهُۥ	مَوَازِينُهُ	و ز ن	و ز ن	و ز ن	unchanged									root_001645	و ز ن	و ز ن	source_root_norm
no_qac_root_at_word	102:1:1		no_surface_or_stem_match_in_ayah	102:1:1	102:1:1	أَلْهَىٰكُمُ	أَلْهَاكُمُ	ل ه و	ل ه و	ل ه و	unchanged									root_001382	ل ه و	ل ه و	source_root_norm
no_qac_root_at_word	102:6:2		no_surface_or_stem_match_in_ayah	102:6:2	102:6:2	تَرَوُنَّ	لَتَرَوُنَّ	ر ء ي	ر أ ي	ر أ ي	unchanged									root_000531	ر ء ي	ر أ ي	root_norm_unique
