finding_id	ayah_ref	finding_ordinal	grade	anchor_ordinal	branch_ordinal	qac_word_ref	root_id	branch_id	word_id
f-112_0-001	112:0	1	strong	1	1	1:1:1	root_000745	B005	w-s112-a000-w001
f-112_0-001	112:0	1	strong	1	2	1:1:1	root_000745	B007	w-s112-a000-w001
f-112_0-001	112:0	1	strong	2	1	1:1:2	root_000047	B002	w-s112-a000-w002
f-112_0-002	112:0	2	strong	1	1	1:1:3	root_000552	B001	w-s112-a000-w003
f-112_0-002	112:0	2	strong	1	2	1:1:3	root_000552	B002	w-s112-a000-w003
f-112_0-002	112:0	2	strong	1	3	1:1:3	root_000552	B003	w-s112-a000-w003
f-112_0-002	112:0	2	strong	2	1	1:1:4	root_000552	B001	w-s112-a000-w004
f-112_0-002	112:0	2	strong	2	2	1:1:4	root_000552	B002	w-s112-a000-w004
f-112_0-002	112:0	2	strong	2	3	1:1:4	root_000552	B003	w-s112-a000-w004
f-112_0-003	112:0	3	weak	1	1	1:1:1	root_000745	B005	w-s112-a000-w001
f-112_0-003	112:0	3	weak	2	1	1:1:2	root_000047	B002	w-s112-a000-w002
f-112_0-004	112:0	4	weak	1	1	1:1:3	root_000552	B001	w-s112-a000-w003
f-112_0-004	112:0	4	weak	2	1	1:1:4	root_000552	B001	w-s112-a000-w004
f-112_1-001	112:1	1	weak	1	1	112:1:1	root_001272	B001	w-s112-a001-w001
f-112_1-001	112:1	1	weak	1	2	112:1:1	root_001272	B007	w-s112-a001-w001
f-112_1-001	112:1	1	weak	1	3	112:1:1	root_001272	B012	w-s112-a001-w001
f-112_1-002	112:1	2	strong	1	1	112:1:1	root_001272	B005	w-s112-a001-w001
f-112_1-002	112:1	2	strong	1	2	112:1:1	root_001272	B007	w-s112-a001-w001
f-112_1-002	112:1	2	strong	1	3	112:1:1	root_001272	B013	w-s112-a001-w001
f-112_1-003	112:1	3	strong	1	1	112:1:1	root_001272	B001	w-s112-a001-w001
f-112_1-003	112:1	3	strong	1	2	112:1:1	root_001272	B016	w-s112-a001-w001
f-112_1-004	112:1	4	weak	1	1	112:1:3	root_000047	B001	w-s112-a001-w003
f-112_1-004	112:1	4	weak	1	2	112:1:3	root_000047	B002	w-s112-a001-w003
f-112_1-005	112:1	5	strong	1	1	112:1:4	root_000017	B001	w-s112-a001-w004
f-112_1-005	112:1	5	strong	1	2	112:1:4	root_000017	B002	w-s112-a001-w004
f-112_1-005	112:1	5	strong	1	3	112:1:4	root_000017	B003	w-s112-a001-w004
f-112_1-006	112:1	6	weak	1	1	112:1:4	root_000017	B001	w-s112-a001-w004
f-112_1-006	112:1	6	weak	1	2	112:1:4	root_000017	B005	w-s112-a001-w004
f-112_1-007	112:1	7	weak	1	1	112:1:4	root_000017	B001	w-s112-a001-w004
f-112_1-007	112:1	7	weak	1	2	112:1:4	root_000017	B005	w-s112-a001-w004
f-112_2-001	112:2	1	strong	1	1	112:2:1	root_000047	B001	w-s112-a002-w001
f-112_2-001	112:2	1	strong	2	1	112:2:2	root_000882	B001	w-s112-a002-w002
f-112_2-002	112:2	2	strong	1	1	112:2:2	root_000882	B002	w-s112-a002-w002
f-112_2-003	112:2	3	weak	1	1	112:2:2	root_000882	B003	w-s112-a002-w002
f-112_2-004	112:2	4	strong	1	1	112:2:2	root_000882	B007	w-s112-a002-w002
f-112_2-005	112:2	5	weak	1	1	112:2:2	root_000882	B001	w-s112-a002-w002
f-112_3-001	112:3	1	strong	1	1	112:3:2	root_001683	B005	w-s112-a003-w002
f-112_3-001	112:3	1	strong	2	1	112:3:4	root_001683	B005	w-s112-a003-w004
f-112_3-002	112:3	2	strong	1	1	112:3:2	root_001683	B001	w-s112-a003-w002
f-112_3-002	112:3	2	strong	1	2	112:3:2	root_001683	B002	w-s112-a003-w002
f-112_3-002	112:3	2	strong	1	3	112:3:2	root_001683	B003	w-s112-a003-w002
f-112_3-002	112:3	2	strong	2	1	112:3:4	root_001683	B001	w-s112-a003-w004
f-112_3-002	112:3	2	strong	2	2	112:3:4	root_001683	B002	w-s112-a003-w004
f-112_3-002	112:3	2	strong	2	3	112:3:4	root_001683	B003	w-s112-a003-w004
f-112_3-003	112:3	3	weak	1	1	112:3:2	root_001683	B006	w-s112-a003-w002
f-112_3-003	112:3	3	weak	2	1	112:3:4	root_001683	B006	w-s112-a003-w004
f-112_3-004	112:3	4	reject	1	1	112:3:2	root_001683	B003	w-s112-a003-w002
f-112_3-004	112:3	4	reject	2	1	112:3:4	root_001683	B003	w-s112-a003-w004
f-112_4-001	112:4	1	weak	1	1	112:4:2	root_001332	B002	w-s112-a004-w002
f-112_4-001	112:4	1	weak	2	1	112:4:4	root_001305	B001	w-s112-a004-w004
f-112_4-002	112:4	2	weak	1	1	112:4:4	root_001305	B001	w-s112-a004-w004
f-112_4-003	112:4	3	strong	1	1	112:4:4	root_001305	B001	w-s112-a004-w004
f-112_4-004	112:4	4	strong	1	1	112:4:4	root_001305	B001	w-s112-a004-w004
f-112_4-004	112:4	4	strong	2	1	112:4:5	root_000017	B001	w-s112-a004-w005
f-112_4-004	112:4	4	strong	2	2	112:4:5	root_000017	B002	w-s112-a004-w005
f-112_4-005	112:4	5	weak	1	1	112:4:4	root_001305	B001	w-s112-a004-w004
f-112_4-005	112:4	5	weak	2	1	112:4:5	root_000017	B002	w-s112-a004-w005
f-112_4-006	112:4	6	reject	1	1	112:4:4	root_001305	B002	w-s112-a004-w004
f-112_4-006	112:4	6	reject	1	2	112:4:4	root_001305	B003	w-s112-a004-w004
