rank	path_id	path_score	label_hint	ayahs	roots	branch_chain
1	P0001	0.8284	honor / welfare / firmness / blessing	1,2,3,4,5,6,7	ر ب ب ر ح م س م و ع ب د ع ل م غ ض ب غ ي ر ق و م م ل ك ن ع م	س م و:B001:العلو والارتفاع | ر ح م:B001:الرَّحْمَة والرقة | ر ب ب:B016:رُبَى حاجة وعقدة ونعمة | ع ل م:B002:أثر يميز الشيء ويهدي إليه | م ل ك:B001:قوة الشيء وتماسكه | ع ب د:B007:القوة والصلابة | ق و م:B001:جماعة الناس والرجال | ن ع م:B001:حسن الحال والنعمة | غ ي ر:B004:الغَيْرة على الأهل | غ ض ب:B007:العبوس والضجر والعظم في وصف الحيوان أو الشخص
2	P0002	0.8242	tribe / bird / honor / marriage	1,2,3,4,5,6,7	ر ب ب ر ح م ع ب د ع ل م غ ض ب غ ي ر ق و م م ل ك ن ع م ه د ي	ر ح م:B003:رَحِم الأنثى | ر ب ب:B004:ربة وجماعات كثيرة | ع ل م:B006:طائر جارح يسمى العلام | م ل ك:B001:قوة الشيء وتماسكه | ع ب د:B007:القوة والصلابة | ه د ي:B006:العروس المهدية إلى زوجها | ق و م:B001:جماعة الناس والرجال | ن ع م:B006:النعام والنعامة الطائر | غ ي ر:B004:الغَيْرة على الأهل | غ ض ب:B007:العبوس والضجر والعظم في وصف الحيوان أو الشخص
3	P0003	0.8202	strength / cohesion / material / vitality	1,2,3,4,5,6,7	ر ب ب ر ح م س م و ع ب د ع ل م ع و ن غ ض ب م ل ك ن ع م ه د ي	س م و:B001:العلو والارتفاع | ر ح م:B001:الرَّحْمَة والرقة | ر ب ب:B016:رُبَى حاجة وعقدة ونعمة | ع ل م:B002:أثر يميز الشيء ويهدي إليه | م ل ك:B001:قوة الشيء وتماسكه | ع ب د:B007:القوة والصلابة | ع و ن:B005:استواء الخلقة وتلاحق القوة | ه د ي:B008:مشي التهادي مع الاعتماد والتمايل | ن ع م:B001:حسن الحال والنعمة | غ ض ب:B004:صلابة الصخرة وتماسكها
4	P0004	0.8146	kinship_society/hospitality_welfare / benefaction / favor / welfare	1,2,3,4,5,6,7	ح م د ر ب ب ر ح م ع ب د ع ل م غ ض ب غ ي ر م ل ك ن ع م ه د ي	ر ح م:B001:الرَّحْمَة والرقة | ح م د:B005:يتحمد بالمنة | ر ب ب:B016:رُبَى حاجة وعقدة ونعمة | ع ل م:B004:شق ظاهر في الشفة العليا | م ل ك:B001:قوة الشيء وتماسكه | ع ب د:B007:القوة والصلابة | ه د ي:B006:العروس المهدية إلى زوجها | ن ع م:B001:حسن الحال والنعمة | غ ي ر:B004:الغَيْرة على الأهل | غ ض ب:B007:العبوس والضجر والعظم في وصف الحيوان أو الشخص
5	P0005	0.8137	family / strength / vitality / honor	1,2,3,4,5,6,7	ر ب ب ر ح م ع ب د ع و ن غ ض ب غ ي ر ق و م م ل ك ن ع م ه د ي	ر ح م:B002:الرَّحِم والقرابة | ر ب ب:B005:ربيب وربيبة ورابة | م ل ك:B001:قوة الشيء وتماسكه | ع ب د:B007:القوة والصلابة | ع و ن:B005:استواء الخلقة وتلاحق القوة | ه د ي:B008:مشي التهادي مع الاعتماد والتمايل | ق و م:B001:جماعة الناس والرجال | ن ع م:B012:المشي على القدم وابتذالها | غ ي ر:B004:الغَيْرة على الأهل | غ ض ب:B007:العبوس والضجر والعظم في وصف الحيوان أو الشخص
6	P0006	0.8085	leader / leadership / body_health_life/reproduction_birth / disease	1,2,3,4,6	ر ب ب ر ح م ق و م م ل ك ه د ي	ر ح م:B004:وجع الرَّحِم بعد الولادة | ر ب ب:B009:شاة رُبّى وحداثة | م ل ك:B008:المتقدم القائد في الحيوان | ه د ي:B003:المتقدم الهادي وأوائل الشيء | ق و م:B020:قوام في قوائم الشاة
7	P0007	0.8081	governance / care / hierarchy / heraldry	1,2,3,4,5,6,7	ر ب ب ر ح م س م و ع ب د ع ل م غ ي ر ق و م م ل ك ن ع م ه د ي	س م و:B001:العلو والارتفاع | ر ح م:B001:الرَّحْمَة والرقة | ر ب ب:B006:رُبّ خاثر وإصلاح به | ع ل م:B002:أثر يميز الشيء ويهدي إليه | م ل ك:B003:المُلك والسلطان | ع ب د:B001:الرق والملك | ه د ي:B002:جهة الأمر وسيرته وقصده | ق و م:B004:رعاية وحفظ وولاية | ن ع م:B001:حسن الحال والنعمة | غ ي ر:B001:الصلاح والمنفعة بالميرة والسقي والإصلاح
8	P0008	0.8074	strength / vitality / bird / honor	1,2,3,4,5,6,7	ر ب ب ر ح م ع ب د ع ل م ع و ن غ ض ب غ ي ر م ل ك ن ع م ه د ي	ر ح م:B003:رَحِم الأنثى | ر ب ب:B005:ربيب وربيبة ورابة | ع ل م:B006:طائر جارح يسمى العلام | م ل ك:B001:قوة الشيء وتماسكه | ع ب د:B007:القوة والصلابة | ع و ن:B005:استواء الخلقة وتلاحق القوة | ه د ي:B008:مشي التهادي مع الاعتماد والتمايل | ن ع م:B006:النعام والنعامة الطائر | غ ي ر:B004:الغَيْرة على الأهل | غ ض ب:B007:العبوس والضجر والعظم في وصف الحيوان أو الشخص
9	P0009	0.8068	conflict_security/conflict / virtue / reputation / emotion_ethics/ethics_morality	1,2,3,5,6,7	ح م د ر ب ب ر ح م س م و ع ب د ع ل م ع و ن ق و م ن ع م ه د ي	س م و:B001:العلو والارتفاع | ر ح م:B001:الرَّحْمَة والرقة | ح م د:B003:المحمود كثير الخصال | ر ب ب:B002:إصلاح وتربية وإتمام | ع ل م:B002:أثر يميز الشيء ويهدي إليه | ع ب د:B009:قلة اللبث وسرعة العدو | ع و ن:B003:الحرب العَوان | ه د ي:B010:هدي السكون وحسن الهيئة | ق و م:B014:مقاومة ومنازلة | ن ع م:B001:حسن الحال والنعمة
10	P0010	0.8061	commitment / welfare / blessing / kinship_society/hospitality_welfare	1,2,3,4,5,6,7	ر ب ب ر ح م س م و ع ب د ع ل م ع و ن غ ض ب ق و م م ل ك ن ع م	س م و:B001:العلو والارتفاع | ر ح م:B001:الرَّحْمَة والرقة | ر ب ب:B016:رُبَى حاجة وعقدة ونعمة | ع ل م:B002:أثر يميز الشيء ويهدي إليه | م ل ك:B005:مِلاك الأمر وعِماده | ع ب د:B007:القوة والصلابة | ع و ن:B001:الإعانة والمظاهرة | ق و م:B003:عزم ونهوض إلى الأمر | ن ع م:B001:حسن الحال والنعمة | غ ض ب:B007:العبوس والضجر والعظم في وصف الحيوان أو الشخص
11	P0011	0.8059	residence / settlement / city / stay	1,2,4,5,6,7	ء ل ه ح م د د ي ن ر ب ب ص ر ط ض ل ل ع ب د غ ض ب ق و م ن ع م	ء ل ه:B001:التعبد والمعبود | ح م د:B002:وجود الشيء محمودا | ر ب ب:B007:لزوم وإقامة ودوام | د ي ن:B006:مدينة الطاعة | ع ب د:B008:الأنفة والغضب | ص ر ط:B002:الغيبة في المرور والبلع | ق و م:B006:مقام وإقامة في موضع | ن ع م:B011:موافقة المكان وطيب المقام | غ ض ب:B002:الغضب لشخص حي أو به بعد موته | ض ل ل:B002:الغيبوبة والخفاء
12	P0012	0.805	kinship_society/hospitality_welfare / benefaction / leader / favor	1,2,3,4,5,6,7	ح م د ر ب ب ر ح م س م و ع ب د ع ل م ق و م م ل ك ن ع م ه د ي	س م و:B001:العلو والارتفاع | ر ح م:B001:الرَّحْمَة والرقة | ح م د:B005:يتحمد بالمنة | ر ب ب:B016:رُبَى حاجة وعقدة ونعمة | ع ل م:B002:أثر يميز الشيء ويهدي إليه | م ل ك:B008:المتقدم القائد في الحيوان | ع ب د:B011:العطب والانقطاع | ه د ي:B003:المتقدم الهادي وأوائل الشيء | ق و م:B016:جمود ووقوف وكلال | ن ع م:B001:حسن الحال والنعمة
13	P0013	0.8025	contract / body_health_life/reproduction_birth / disease / adoration	1,2,3,4,5,6,7	ء ل ه د ي ن ر ب ب ر ح م ع ب د ع و ن ق و م م ل ك ن ع م ه د ي	ء ل ه:B001:التعبد والمعبود | ر ح م:B004:وجع الرَّحِم بعد الولادة | ر ب ب:B009:شاة رُبّى وحداثة | م ل ك:B004:الإملاك والتزويج | د ي ن:B003:الدين المالي | ع ب د:B004:التعبيد والاستعباد | ع و ن:B005:استواء الخلقة وتلاحق القوة | ه د ي:B008:مشي التهادي مع الاعتماد والتمايل | ق و م:B020:قوام في قوائم الشاة | ن ع م:B012:المشي على القدم وابتذالها
14	P0014	0.8024	leader / leadership / bird / honor	1,2,3,4,5,6,7	ر ب ب ر ح م ع ب د ع ل م غ ض ب غ ي ر ق و م م ل ك ن ع م ه د ي	ر ح م:B003:رَحِم الأنثى | ر ب ب:B005:ربيب وربيبة ورابة | ع ل م:B006:طائر جارح يسمى العلام | م ل ك:B008:المتقدم القائد في الحيوان | ع ب د:B007:القوة والصلابة | ه د ي:B003:المتقدم الهادي وأوائل الشيء | ق و م:B002:انتصاب وقيام بالبدن | ن ع م:B006:النعام والنعامة الطائر | غ ي ر:B004:الغَيْرة على الأهل | غ ض ب:B007:العبوس والضجر والعظم في وصف الحيوان أو الشخص
15	P0015	0.802	family / honor / marriage / strength	1,2,3,4,5,6,7	ر ب ب ر ح م ع ب د ع ل م ع و ن غ ض ب غ ي ر ق و م م ل ك ه د ي	ر ح م:B002:الرَّحِم والقرابة | ر ب ب:B005:ربيب وربيبة ورابة | ع ل م:B004:شق ظاهر في الشفة العليا | م ل ك:B001:قوة الشيء وتماسكه | ع ب د:B007:القوة والصلابة | ع و ن:B008:النسبة إلى عانة | ه د ي:B006:العروس المهدية إلى زوجها | ق و م:B001:جماعة الناس والرجال | غ ي ر:B004:الغَيْرة على الأهل | غ ض ب:B007:العبوس والضجر والعظم في وصف الحيوان أو الشخص
16	P0016	0.8016	strength / kinship_society/hospitality_welfare / benefaction / vitality	1,2,3,4,5,6,7	ح م د ر ب ب ر ح م ع ب د ع و ن غ ض ب م ل ك ن ع م ه د ي	ر ح م:B001:الرَّحْمَة والرقة | ح م د:B005:يتحمد بالمنة | ر ب ب:B016:رُبَى حاجة وعقدة ونعمة | م ل ك:B001:قوة الشيء وتماسكه | ع ب د:B007:القوة والصلابة | ع و ن:B005:استواء الخلقة وتلاحق القوة | ه د ي:B008:مشي التهادي مع الاعتماد والتمايل | ن ع م:B001:حسن الحال والنعمة | غ ض ب:B007:العبوس والضجر والعظم في وصف الحيوان أو الشخص
17	P0017	0.8013	ethics / anger / honor / navigation	1,2,3,4,5,6,7	ر ب ب ر ح م س م و ض ل ل ع ب د ع ل م غ ض ب م ل ك ن ع م ه د ي	س م و:B001:العلو والارتفاع | ر ح م:B001:الرَّحْمَة والرقة | ر ب ب:B002:إصلاح وتربية وإتمام | ع ل م:B002:أثر يميز الشيء ويهدي إليه | م ل ك:B006:مَلَك الطريق والوادي | ع ب د:B008:الأنفة والغضب | ه د ي:B001:دلالة بلطف إلى الطريق والحق | ن ع م:B001:حسن الحال والنعمة | غ ض ب:B001:اشتداد السخط وثورانه للانتقام | ض ل ل:B001:الضلال عن الهدى والقصد
18	P0018	0.8012	conflict_security/conflict / virtue / reputation / campaign	1,2,5,6,7	ح م د س م و ع و ن ق و م ن ع م	س م و:B003:تطاول الفحل على الشول | ح م د:B003:المحمود كثير الخصال | ع و ن:B003:الحرب العَوان | ق و م:B014:مقاومة ومنازلة | ن ع م:B008:طيران النعامة وتفرق القوم
