source_finding_id	run_id	fixed_ayah_ref	finding_type	source_pointer	finding_title	claimed_branches	support_refs	reader_strength	disposition	notes
std-b-a001	s001_standard_b	1:0	activated_reading	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:7	The opening name as a raised public marker of agency.	س م و:B005;س م و:B008;ء ل ه:B002;ح م د:B001;ح م د:B003	1:2;1:5;1:6	asserted	split	Agent-orchestrated normalization: split.
std-b-a002	s001_standard_b	1:0	activated_reading	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:9	Mercy as the enclosure that precedes both nurture and judgment.	ر ح م:B001;ر ح م:B002;ر ح م:B003;ر ب ب:B002;م ل ك:B003;د ي ن:B002	1:2;1:4	asserted	split	Agent-orchestrated normalization: split.
std-b-a003	s001_standard_b	1:0	activated_reading	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:11	Invocation as relation before demand.	ء ل ه:B001;ء ل ه:B002;ع ب د:B003;ع و ن:B001	1:5	asserted	merged	Agent-orchestrated normalization: merged.
std-b-a004	s001_standard_b	1:2	activated_reading	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:21	Praise as tested recognition, not only spontaneous acclaim.	ح م د:B001;ح م د:B002;ن ع م:B001;غ ض ب:B001;ض ل ل:B001	1:7	asserted	merged	Agent-orchestrated normalization: merged.
std-b-a005	s001_standard_b	1:2	activated_reading	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:23	Rabb as caretaker who brings many marked worlds to completion.	ر ب ب:B002;ع ل م:B002;ه د ي:B001;ق و م:B009	1:6	asserted	merged	Agent-orchestrated normalization: merged.
std-b-a006	s001_standard_b	1:2	activated_reading	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:25	Lordship as authority, covenant, and administered dependence.	ر ب ب:B001;ر ب ب:B011;م ل ك:B003;د ي ن:B001;د ي ن:B002;ع ب د:B003	1:4;1:5	asserted	merged	Agent-orchestrated normalization: merged.
std-b-a007	s001_standard_b	1:3	activated_reading	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:35	Mercy as the hinge between nurture and reckoning.	ر ح م:B001;ر ب ب:B002;م ل ك:B003;د ي ن:B002	1:2;1:4	asserted	unreviewed	
std-b-a008	s001_standard_b	1:3	activated_reading	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:37	Mercy as kinship-making around the praying we.	ر ح م:B002;ر ح م:B003;ر ب ب:B005	1:5;1:6;1:7	asserted	unreviewed	
std-b-a009	s001_standard_b	1:3	activated_reading	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:39	Mercy includes vulnerable after-birth repair.	ر ح م:B004;ر ب ب:B009;ر ب ب:B002;ه د ي:B008	1:2;1:6	exploratory	unreviewed	Reader explicitly labels the mechanism exploratory.
std-b-a010	s001_standard_b	1:4	activated_reading	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:49	The severe event-day of reckoning under dominion.	م ل ك:B003;ي و م:B003;د ي ن:B002		asserted	unreviewed	
std-b-a011	s001_standard_b	1:4	activated_reading	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:51	The path has a controlling center and main course.	م ل ك:B006;ص ر ط:B001;ق و م:B008;ه د ي:B001	1:6;1:7	asserted	unreviewed	
std-b-a012	s001_standard_b	1:4	activated_reading	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:53	Debt, favor, and repayment.	د ي ن:B003;ن ع م:B001;ح م د:B001;ع و ن:B001	1:2;1:5;1:7	asserted	unreviewed	
std-b-a013	s001_standard_b	1:4	activated_reading	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:55	Standing before the owner.	ق و م:B013;ر ب ب:B001;د ي ن:B002	1:6	asserted	unreviewed	
std-b-a014	s001_standard_b	1:5	activated_reading	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:65	Exclusive service as the practical form of the invoked name.	ع ب د:B003;ء ل ه:B001;ء ل ه:B002;د ي ن:B001	1:0;1:2;1:4	asserted	merged	Agent-orchestrated normalization: merged.
std-b-a015	s001_standard_b	1:5	activated_reading	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:67	Servitude that is backed, not abandoned.	ع ب د:B001;ع ب د:B004;ع و ن:B001;م ل ك:B002;د ي ن:B004	1:4	asserted	merged	Agent-orchestrated normalization: merged.
std-b-a016	s001_standard_b	1:5	activated_reading	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:69	Road-smoothing before the request for the road.	ع ب د:B005;ص ر ط:B001;ق و م:B008;ع و ن:B001	1:6;1:7	asserted	split	Agent-orchestrated normalization: split.
std-b-a017	s001_standard_b	1:5	activated_reading	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:71	Worship as the undoing of prideful anger.	ع ب د:B008;غ ض ب:B001;ع ب د:B003	1:7	asserted	merged	Agent-orchestrated normalization: merged.
std-b-a018	s001_standard_b	1:6	activated_reading	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:81	Gentle showing of the straight road.	ه د ي:B001;ص ر ط:B001;ق و م:B008		asserted	split	Split between enabled orientation and sustained straightness.
std-b-a019	s001_standard_b	1:6	activated_reading	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:83	A leading front, not only an abstract direction.	ه د ي:B003;م ل ك:B008;ص ر ط:B001;ق و م:B003	1:4	asserted	accepted	Normalized into the supported-procession claim.
std-b-a020	s001_standard_b	1:6	activated_reading	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:85	The path as passage that can swallow, hide, or cut through.	ص ر ط:B002;ص ر ط:B003;ض ل ل:B002;ض ل ل:B003;غ ض ب:B004;غ ض ب:B008	1:7	asserted	split	Split into contained-transit and cutting-through-resistance claims.
std-b-a021	s001_standard_b	1:6	activated_reading	v12/runs/s001/full_context_control/reader_s001_b_ayah_walk.md:87	Guidance as gift and offering.	ه د ي:B004;ه د ي:B005;ن ع م:B001;ح م د:B001	1:2;1:7	asserted	split	Split into guidance-as-favor and devotional-offering claims.
