claim_id	ayah_ref	mechanism	cross_run_relation	publication_role	disposition	decision_reason
s001-1_0-mercy-formative-enclosure	1:0	At 1:0, ر ح م B001 tenderness, B002 kinship, and especially B003 womb imagery supply a protected spatial enclosure for dependent formation. ر ب ب B002 stagewise nurture in 1:2, repeated mercy in 1:3, ع و ن B001 aid in 1:5, and ه د ي B001 guidance in 1:6 unfold as growth within that enclosure; the eleven-ayah formulation adds the compatible causal layer that protective mercy enables the development it surrounds.	compatible_refinement	unreviewed	unreviewed	
s001-1_0-mercy-frames-reckoning	1:0	At 1:0, the doubled ر ح م B001/B002/B003 mercy precedes and encloses the م ل ك B003 dominion and د ي ن B002 reckoning activated in 1:4. This sequence carries tenderness into the legal-sovereign scene, framing rather than canceling judgment and recompense.	standard_only	unreviewed	unreviewed	
s001-1_0-name-precedes-path-sign	1:0	At 1:0, س م و B005 functions sequentially as the first road-sign or banner: the raised designation is placed before the ص ر ط B001 path is requested in 1:6-1:7, making the name an orienting marker rather than a static designation.	standard_only	unreviewed	unreviewed	
s001-1_0-name-relational-threshold	1:0	At 1:0, س م و B005 and ء ل ه B001/B002 make invocation of the raised divine name an enacted alignment with an addressee. The later direct address, ع ب د B003 worship, and ع و ن B001 help-seeking in 1:5 disclose the practical relation established before any demand, placing the ensuing praise, service, aid, and guidance under the named agent rather than leaving the basmalah a detached label or formula.	shared_mechanism	unreviewed	unreviewed	
s001-1_0-naming-raises-mention	1:0	At 1:0, the س م و elevation and designation material in B001/B005/B008 makes naming a raising of the invoked agent's public mention. Later ح م د B001/B003 praise and praiseworthy naming in 1:2, together with recurrence of the mercy names in 1:3, enact or socially confirm that elevation and spread, so بسم begins an ongoing raising of mention rather than mere reference.	shared_mechanism	unreviewed	unreviewed	
s001-1_2-cultivated-legible-worlds	1:2	The stagewise nurture, repair, and completion of ر ب ب B002 acts on the signs or landmarks of ع ل م B002 so that العالمين reads as legible, orientable domains: later guidance, road, straightness, and differentiated outcomes activate those marks as navigational distinctions maintained by lordly care, rather than the worlds remaining a static undifferentiated plurality.	shared_mechanism	unreviewed	unreviewed	
s001-1_2-lordship-entails-allegiance	1:2	The ownership and obeyed authority of ر ب ب B001 is developed by later kingship, obedience or reckoning, and exclusive worship, so Rabb entails binding allegiance and administered dependence rather than scale or nurture alone; covenant or protection and the worshipped-one title remain compatible elaborations of that authority-to-service relation.	shared_mechanism	unreviewed	unreviewed	
s001-1_2-praise-as-tested-gratitude	1:2	Later benefaction and divergent path outcomes activate ح م د B001/B002 so that الحمد reads as a grateful, evidence-bearing verdict: favor, mercy, aid, and their contrasted outcomes supply the test by which the praised one is recognized as praiseworthy, rather than praise remaining undirected acclaim.	shared_mechanism	unreviewed	unreviewed	
s001-1_5-aid-backs-dependent-service	1:5	Pairing service with ع و ن B001 help makes the relation one of backed dependence: aid from the same addressee enables and sustains service, while the standard run's ownership and subjugation material adds the compatible refinement that this dependence is supported rather than abandoned or reduced to naked domination.	compatible_refinement	unreviewed	unreviewed	
s001-1_5-aid-stabilizes-path-movement	1:5	Immediately before the straight-path request, seeking aid becomes a request for the capacity to move on the route: the standard run's ع و ن B001 assistance supplies power to proceed, while the eleven-ayah run refines this through ع و ن B005 settled build and strength activated by ق و م B002 and B008, bringing the travelers into upright, even alignment without directional collapse.	compatible_refinement	unreviewed	unreviewed	
