rank	path_family_id	family_score	label_hint	members	ayahs	roots	core_branches	optional_branches	representative_path_id	construction_paths
1	PF0001	0.7094	fire / death / abundance / nick	2	1,2,3,4,8,10,11	ح ب ب ح ص ل خ ب ر ش د د ص ب ح ض ب ح ق د ح ن ق ع و ر ي	ح ب ب:B011@8:نار الحباحب شرر لا ينتفع به | ح ص ل:B004@10:موضع يجتمع فيه الطعام في جوف الطائر | خ ب ر:B004@11:الغزر في المزادة والناقة | ش د د:B002@8:شدة القوة والصلابة | ص ب ح:B008@3:الناقة المصباح | ض ب ح:B003@1:إحراق أعالي العود | ق د ح:B002@2:نقر الشيء وعيبه | ن ق ع:B006@4:سم ناقع ثابت أو قاتل | و ر ي:B004@2:شحم وار وسمن ظاهر		P0781	P0781[و ر ي:B004→ن ق ع:B006 ; و ر ي:B004→خ ب ر:B004 ; ق د ح:B002→ن ق ع:B006 ; ض ب ح:B003→ق د ح:B002 ; ض ب ح:B003→ح ب ب:B011 ; ح ب ب:B011→ح ص ل:B004 ; ص ب ح:B008→خ ب ر:B004] | P1239[ق د ح:B002→ن ق ع:B006 ; و ر ي:B004→ن ق ع:B006 ; و ر ي:B004→خ ب ر:B004 ; ض ب ح:B003→ق د ح:B002 ; ق د ح:B002→ش د د:B002]
2	PF0002	0.6782	syrup / paste / condiment / foam	2	3,5,6,8,9,11	ح ب ب خ ب ر خ ي ر ر ب ب ع ل م غ ي ر و س ط	ح ب ب:B005@8:البعير يلزم مكانه من عجز | خ ب ر:B005@11:اللِّين في النبات والوبر والزبد | خ ي ر:B002@8:فضل الصلاح والاصطفاء | ر ب ب:B006@6,11:رُبّ خاثر وإصلاح به | ع ل م:B004@9:شق ظاهر في الشفة العليا | غ ي ر:B001@3:الصلاح والمنفعة بالميرة والسقي والإصلاح | و س ط:B001@5:العدل والخيار في موضع الوسط		P1241	P1241[غ ي ر:B001→خ ي ر:B002 ; غ ي ر:B001→ر ب ب:B006 ; ر ب ب:B006→خ ب ر:B005 ; ح ب ب:B005→خ ب ر:B005 ; ح ب ب:B005→ع ل م:B004] | P2304[غ ي ر:B001→و س ط:B001 ; غ ي ر:B001→ر ب ب:B006 ; ر ب ب:B006→خ ب ر:B005 ; ح ب ب:B005→خ ب ر:B005]
3	PF0003	0.64	knot / defamation / bond / reinforcement	2	1,2,3,6,8,11	ر ب ب ش د د ع د و غ ي ر ق د ح	ر ب ب:B016@6,11:رُبَى حاجة وعقدة ونعمة | ش د د:B001@8:شد العقد والوثاق | ع د و:B005@1:العَدْوى في طلب الإنصاف | ع د و:B006@1:العَدْوى في انتقال الداء | غ ي ر:B002@3:الغَيْر في الدية | ق د ح:B003@2:طعن في النسب		P1910	P1910[ق د ح:B003→غ ي ر:B002 ; ق د ح:B003→ش د د:B001 ; ر ب ب:B016→ش د د:B001 ; ع د و:B006→غ ي ر:B002] | P2467[ع د و:B005→ق د ح:B003 ; ق د ح:B003→ش د د:B001 ; ر ب ب:B016→ش د د:B001]
4	PF0004	0.6391	concealment / exhumation / nurture / topology	2	2,4,6,9,10,11	ب ع ث ر ث و ر ح ص ل ر ب ب ق ب ر ق د ح	ب ع ث ر:B001@9:قلب التراب وكشف المدفون | ث و ر:B001@4:انبعاث الشيء وانتشاره ظاهرا | ث و ر:B002@4:إثارة الشيء وتحريكه من موضعه | ح ص ل:B002@10:استخراج اللب أو النفيس من غلافه | ر ب ب:B002@6,11:إصلاح وتربية وإتمام | ق ب ر:B002@9:غموض الشيء وتطامنه | ق د ح:B002@2:نقر الشيء وعيبه		P2068	P2068[ب ع ث ر:B001→ق ب ر:B002 ; ث و ر:B002→ب ع ث ر:B001 ; ر ب ب:B002→ب ع ث ر:B001 ; ق د ح:B002→ق ب ر:B002] | P2115[ث و ر:B001→ق ب ر:B002 ; ب ع ث ر:B001→ق ب ر:B002 ; ر ب ب:B002→ب ع ث ر:B001 ; ب ع ث ر:B001→ح ص ل:B002]
5	PF0005	0.6256	aggregation / result / exception / consolidation	2	1,3,5,6,9,10,11	ج م ع ح ص ل ر ب ب ع د و ع ل م غ ي ر	ج م ع:B001@5:ضم المتفرق حتى يصير شيئا مجموعا | ح ص ل:B001@10:جمع الشيء حتى يظهر حاصله | ر ب ب:B015@6,11:حرف رب وربما | ع د و:B004@1:المجاوزة والاستثناء والصرف | ع ل م:B002@9:أثر يميز الشيء ويهدي إليه | غ ي ر:B005@3:السوى والخلاف والاستثناء والنفي		P1935	P1935[ع د و:B004→غ ي ر:B005 ; ع د و:B004→ح ص ل:B001 ; ج م ع:B001→ح ص ل:B001 ; ج م ع:B001→ع ل م:B002] | P2513[ع د و:B004→ر ب ب:B015 ; ع د و:B004→ح ص ل:B001 ; ج م ع:B001→ح ص ل:B001]
6	PF0006	0.6256	blood / waterway / afterbirth / puberty	2	1,6,7,8,10,11	ح ص ل ر ب ب ش د د ش ه د ض ب ح ع د و	ح ص ل:B005@10:بلح حصل من النخلة قبل اشتداده | ر ب ب:B009@6,11:شاة رُبّى وحداثة | ش د د:B003@8:شد الحملة والعدو | ش ه د:B006@7:الخارج عند الولادة والإدراك | ض ب ح:B002@1:عدو ممدود الضبعين | ع د و:B009@1:العَداء والعُدوة في الجانب والطوار		P2377	P2377[ع د و:B009→ض ب ح:B002 ; ع د و:B009→ر ب ب:B009 ; ر ب ب:B009→ش ه د:B006 ; ش ه د:B006→ح ص ل:B005] | P2499[ع د و:B009→ر ب ب:B009 ; ر ب ب:B009→ش ه د:B006 ; ع د و:B009→ش د د:B003]
7	PF0007	0.6236	gaming / heraldry / banner / lead	2	2,4,6,7,9,10,11	ث و ر ر ب ب ش ه د ص د ر ع ل م ق د ح	ث و ر:B002@4:إثارة الشيء وتحريكه من موضعه | ر ب ب:B003@6,11:علم رباني | ش ه د:B008@7:العلامة الشاهدة | ص د ر:B002@10:المقدّم والأعلى والأول | ع ل م:B002@9:أثر يميز الشيء ويهدي إليه | ق د ح:B007@2:عود السهم والقدح في الميسر		P2215	P2215[ش ه د:B008→ع ل م:B002 ; ع ل م:B002→ص د ر:B002 ; ق د ح:B007→ص د ر:B002 ; ث و ر:B002→ع ل م:B002] | P2482[ر ب ب:B003→ع ل م:B002 ; ع ل م:B002→ص د ر:B002 ; ق د ح:B007→ص د ر:B002]
8	PF0008	0.6181	date / fruit / palm / hydrology	4	1,3,4,5,6,7,8,9,10,11	ث و ر ج م ع ح ب ب ح ص ل ر ب ب ش د د ش ه د ع د و ع ل م غ ي ر ن ق ع	ث و ر:B007@4:ثور الماء: طحلب يعلو السطح | ج م ع:B011@5:نخل دقل اجتمع من النوى لا يعرف اسمه | ح ص ل:B005@10:بلح حصل من النخلة قبل اشتداده | ر ب ب:B013@6,11:ماء رَبَب كثير | ش د د:B006@8:شدة البخل | ش ه د:B007@7:الشَّهْد في الشمع | ع ل م:B005@9:ماء كثير مجتمع في عيلم | ن ق ع:B008@4:شراب بأنقع مجرب للموارد	ح ب ب:B008@8:حباب الماء فقاقيعه وطرائقه | ش ه د:B006@7:الخارج عند الولادة والإدراك | ع د و:B006@1:العَدْوى في انتقال الداء | غ ي ر:B002@3:الغَيْر في الدية	P1346	P1346[ن ق ع:B008→ر ب ب:B013 ; ر ب ب:B013→ع ل م:B005 ; ج م ع:B011→ع ل م:B005 ; ج م ع:B011→ح ص ل:B005 ; ث و ر:B007→ر ب ب:B013] | P0637[ن ق ع:B008→ر ب ب:B013 ; ر ب ب:B013→ع ل م:B005 ; ج م ع:B011→ع ل م:B005 ; ج م ع:B011→ح ص ل:B005 ; ع د و:B006→ن ق ع:B008 ; ع د و:B006→غ ي ر:B002 ; ش ه د:B007→ح ص ل:B005 ; ش ه د:B007→ش د د:B006] | P0813[ر ب ب:B013→ع ل م:B005 ; ج م ع:B011→ع ل م:B005 ; ج م ع:B011→ح ص ل:B005 ; ث و ر:B007→ر ب ب:B013 ; ث و ر:B007→ح ب ب:B008 ; ش ه د:B007→ح ص ل:B005 ; ش ه د:B007→ش د د:B006] | P1908[ر ب ب:B013→ع ل م:B005 ; ج م ع:B011→ع ل م:B005 ; ج م ع:B011→ح ص ل:B005 ; ش ه د:B006→ح ص ل:B005]
9	PF0009	0.5984	ornithology / animal_life/wildlife / quality / honor	8	2,3,4,5,6,8,9,11	ء ن س ب ع ث ر ث و ر ج م ع ح ب ب خ ي ر ر ب ب ش د د ع ل م غ ي ر ق ب ر ق د ح ك ن د و ر ي و س ط	ث و ر:B006@4:ثور اسما لمكان أو قوم أو برج | خ ي ر:B005@8:الكرم والهبة | ع ل م:B006@9:طائر جارح يسمى العلام | غ ي ر:B004@3:الغَيْرة على الأهل | ق ب ر:B003@9:القُبَّرة الطائر | و ر ي:B006@2:الجانب الوراء: خلف أو أمام أو سوى | و س ط:B004@5:مرتبة وسطى بين الجيد والرديء	ج م ع:B003@5:عزم محكم جمع الرأي بعد تفرقه | ج م ع:B013@5:ممالأة واجتماع مع غيرك على أمر | خ ي ر:B002@8:فضل الصلاح والاصطفاء | ر ب ب:B005@6,11:ربيب وربيبة ورابة | ر ب ب:B008@6,11:رباب السحاب | ق د ح:B010@2:اقتداح الأمر بالنظر والتدبير | ك ن د:B004@6:اسم كندة	P0652	P0652[و ر ي:B006→ج م ع:B003 ; و ر ي:B006→غ ي ر:B004 ; غ ي ر:B004→ع ل م:B006 ; ع ل م:B006→ق ب ر:B003 ; ث و ر:B006→ق ب ر:B003 ; ث و ر:B006→ر ب ب:B008 ; و ر ي:B006→و س ط:B004 ; و س ط:B004→خ ي ر:B005] | P0081[و س ط:B004→خ ي ر:B005 ; و ر ي:B006→و س ط:B004 ; و ر ي:B006→غ ي ر:B004 ; غ ي ر:B004→ع ل م:B006 ; ع ل م:B006→ق ب ر:B003 ; ث و ر:B006→ق ب ر:B003 ; ح ب ب:B003→خ ي ر:B005 ; ر ب ب:B016→ح ب ب:B003 ; ر ب ب:B016→ش د د:B001] | P0093[و ر ي:B006→غ ي ر:B004 ; غ ي ر:B004→ع ل م:B006 ; ع ل م:B006→ق ب ر:B003 ; ث و ر:B006→ق ب ر:B003 ; و ر ي:B006→و س ط:B004 ; ث و ر:B006→ر ب ب:B008 ; و س ط:B004→خ ي ر:B002 ; غ ي ر:B004→ج م ع:B013 ; ج م ع:B013→ب ع ث ر:B002] | P0400[و س ط:B004→خ ي ر:B005 ; و ر ي:B006→و س ط:B004 ; و ر ي:B006→غ ي ر:B004 ; غ ي ر:B004→ع ل م:B006 ; ع ل م:B006→ق ب ر:B003 ; ث و ر:B006→ق ب ر:B003 ; غ ي ر:B004→ر ب ب:B005 ; ث و ر:B006→ك ن د:B004 ; ء ن س:B004→ر ب ب:B005]
10	PF0010	0.5984	honor / protectiveness / nurse / stepchild	2	2,3,4,5,6,8,11	ث و ر خ ي ر ر ب ب غ ي ر ن ق ع و ر ي و س ط	ث و ر:B001@4:انبعاث الشيء وانتشاره ظاهرا | خ ي ر:B002@8:فضل الصلاح والاصطفاء | ر ب ب:B005@6,11:ربيب وربيبة ورابة | غ ي ر:B004@3:الغَيْرة على الأهل | ن ق ع:B004@4:نقع الغبار المثار | و ر ي:B007@2:ولد الولد يأتي من وراء الابن | و س ط:B001@5:العدل والخيار في موضع الوسط		P2005	P2005[ث و ر:B001→ن ق ع:B004 ; غ ي ر:B004→ن ق ع:B004 ; غ ي ر:B004→ر ب ب:B005 ; و ر ي:B007→ر ب ب:B005] | P2181[و س ط:B001→خ ي ر:B002 ; غ ي ر:B004→خ ي ر:B002 ; غ ي ر:B004→ر ب ب:B005 ; و ر ي:B007→ر ب ب:B005]
