review_id	candidate_count	path_count_total	ayahs	rare_facet_signature	representative_roots	representative_branches	rare_theme_set	keyword_sample
RF0001	12	3336	1,2,3,4,5,6,7	kw:adoration | kw:agency | kw:agriculture | kw:aid | kw:alliance | kw:anatomy | kw:assistance | kw:authority	س م و → ء ل ه → ح م د → ر ب ب → ر ح م → د ي ن → ع و ن	س م و:B004:السماء وما علا فأظل | ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B004:ربة وجماعات كثيرة | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ع و ن:B001:الإعانة والمظاهرة	animal_life/wildlife; condition_force_change/support_dependence; craft_material_built/ornament_beauty; emotion_ethics/trust_loyalty; kinship_society/culture_tradition; kinship_society/family; kinship_society/hospitality_welfare; kinship_society/identity_personhood; kinship_society/kinship; land_water_sky/light_darkness; land_water_sky/sky_astronomy; law_governance/obligation_contract; law_governance/politics_order; movement_travel/speed; ritual_belief/religion_worship; ritual_belief/ritual	adoration, agency, agriculture, aid, alliance, anatomy, assistance, authority, banner, behavior, bird, blessing, bounty, calendar, canopy, ceiling, charity, compassion, condiment, cooperation, cosmology, course, cover, creed
RF0002	8	304	1,2,3,4,5,6,7	kw:adoration | kw:age | kw:agriculture | kw:anatomy | kw:antiquity | kw:blade | kw:blessing | kw:botany	س م و → ء ل ه → ح م د → ر ب ب → ر ح م → ع و ن → ص ر ط	س م و:B004:السماء وما علا فأظل | ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B003:علم رباني | ر ح م:B002:الرَّحِم والقرابة | ع و ن:B004:النخلة العَوانة القديمة | ص ر ط:B003:السيف القاطع الماضي في الضربة	agriculture_food/harvest_cultivation; body_health_life/life_stage_aging; cognition_perception/knowledge_learning; cognition_perception/proof_uncertainty; condition_force_change/support_dependence; economy_property/economy; kinship_society/culture_tradition; kinship_society/family; kinship_society/identity_personhood; land_water_sky/earth_geology; land_water_sky/light_darkness; land_water_sky/sky_astronomy; law_governance/obligation_contract; law_governance/politics_order; movement_travel/navigation_route; ritual_belief/religion_worship	adoration, age, agriculture, anatomy, antiquity, blade, blessing, botany, boulder, calamity, calendar, canopy, ceiling, cohesion, condition, cosmology, cover, crisis, cultivation, custom, cutting, day, daytime, deity
RF0003	10	1008	1,2,3,4,5,6,7	kw:adoration | kw:agriculture | kw:anatomy | kw:authority | kw:bird | kw:canopy | kw:ceiling | kw:charity	س م و → ء ل ه → ع ل م → ر ح م → د ي ن → ع ب د → ص ر ط	س م و:B004:السماء وما علا فأظل | ء ل ه:B001:التعبد والمعبود | ع ل م:B006:طائر جارح يسمى العلام | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ص ر ط:B001:الطريق المستقيم	animal_life/husbandry; animal_life/wildlife; cognition_perception/knowledge_learning; cognition_perception/proof_uncertainty; kinship_society/hospitality_welfare; land_water_sky/sky_astronomy; law_governance/obligation_contract; law_governance/politics_order; law_governance/punishment_sanction; movement_travel/navigation_route; movement_travel/speed; movement_travel/transport; ritual_belief/afterlife_eschatology; ritual_belief/religion_worship; ritual_belief/ritual; space_form_boundary/space	adoration, agriculture, anatomy, authority, bird, canopy, ceiling, charity, coating, compassion, compensation, cosmology, cover, craft, creed, deity, deviation, devotion, direction, divinity, dominion, emotion, error, ethics
RF0004	7	748	1,2,3,4,5,6,7	kw:adoration | kw:agency | kw:aid | kw:alliance | kw:assistance | kw:authority | kw:behavior | kw:blessing	ء ل ه → ح م د → ر ب ب → ر ح م → د ي ن → ع و ن → ه د ي	ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B004:ربة وجماعات كثيرة | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ع و ن:B001:الإعانة والمظاهرة | ه د ي:B002:جهة الأمر وسيرته وقصده	cognition_perception/proof_uncertainty; condition_force_change/support_dependence; emotion_ethics/trust_loyalty; kinship_society/culture_tradition; kinship_society/family; kinship_society/hospitality_welfare; kinship_society/identity_personhood; kinship_society/kinship; land_water_sky/light_darkness; land_water_sky/sky_astronomy; law_governance/obligation_contract; movement_travel/navigation_route; ritual_belief/religion_worship; ritual_belief/ritual; space_form_boundary/pattern_marking; time_measure_quantity/quantity_number	adoration, agency, aid, alliance, assistance, authority, behavior, blessing, calendar, charity, compassion, condiment, cooperation, course, creed, custom, day, daytime, deity, demography, deviation, devotion, direction, divinity
RF0005	3	1004	1,2,4,5,6,7	kw:address | kw:appellation | kw:authority | kw:classification | kw:coating | kw:control | kw:craft | kw:creed	س م و → ء ل ه → ر ب ب → م ل ك → د ي ن → ع ب د → ص ر ط	س م و:B005:الاسم تنويه ودلالة | ء ل ه:B002:اسم الله في القسم والنداء | ر ب ب:B001:ربوبية وملك وسيادة | م ل ك:B002:المِلْك والتصرف | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ص ر ط:B001:الطريق المستقيم	animal_life/husbandry; cognition_perception/knowledge_learning; cognition_perception/proof_uncertainty; economy_property/economy; economy_property/labor_work; kinship_society/identity_personhood; kinship_society/kinship; law_governance/obligation_contract; law_governance/politics_order; movement_travel/navigation_route; movement_travel/transport; ritual_belief/afterlife_eschatology; ritual_belief/prayer_supplication; ritual_belief/religion_worship; ritual_belief/ritual; space_form_boundary/space	address, appellation, authority, classification, coating, control, craft, creed, designation, deviation, devotion, direction, disposal, dominion, economy, error, ethics, governance, guidance, hierarchy, identity, infrastructure, invocation, journey
RF0006	2	850	1,2,3,4,6,7	kw:agriculture | kw:approval | kw:astronomy | kw:authority | kw:banner | kw:care | kw:charity | kw:compassion	س م و → ح م د → ر ب ب → ع ل م → ر ح م → د ي ن → ص ر ط	س م و:B002:الشخص المرتفع الظاهر | ح م د:B002:وجود الشيء محمودا | ر ب ب:B002:إصلاح وتربية وإتمام | ع ل م:B002:أثر يميز الشيء ويهدي إليه | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ص ر ط:B001:الطريق المستقيم	body_health_life/life_stage_aging; cognition_perception/knowledge_learning; cognition_perception/proof_uncertainty; craft_material_built/ornament_beauty; emotion_ethics/desire_appetite; kinship_society/family; kinship_society/hospitality_welfare; land_water_sky/sky_astronomy; language_communication/concealment_disclosure; law_governance/obligation_contract; law_governance/politics_order; ritual_belief/afterlife_eschatology; ritual_belief/religion_worship; ritual_belief/ritual; space_form_boundary/pattern_marking; space_form_boundary/space	agriculture, approval, astronomy, authority, banner, care, charity, compassion, completion, creed, development, devotion, direction, divinity, education, emotion, ethics, evaluation, figure, guidance, heraldry, journey, kindness, landmark
RF0007	15	7848	1,2,3,4,5,6,7	kw:adoration | kw:agriculture | kw:anatomy | kw:authority | kw:blessing | kw:bounty | kw:canopy | kw:ceiling	س م و → ء ل ه → ح م د → ر ب ب → ر ح م → د ي ن → ن ع م	س م و:B004:السماء وما علا فأظل | ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B004:ربة وجماعات كثيرة | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ن ع م:B001:حسن الحال والنعمة	cognition_perception/knowledge_learning; condition_force_change/support_dependence; emotion_ethics/trust_loyalty; kinship_society/family; kinship_society/hospitality_welfare; kinship_society/identity_personhood; kinship_society/kinship; land_water_sky/sky_astronomy; language_communication/grammar_expression; law_governance/obligation_contract; law_governance/politics_order; ritual_belief/afterlife_eschatology; ritual_belief/religion_worship; ritual_belief/ritual; time_measure_quantity/quantity_number	adoration, agriculture, anatomy, authority, blessing, bounty, canopy, ceiling, charity, compassion, condiment, cosmology, cover, creed, deity, demography, devotion, direction, divinity, dominion, duration, economy, emotion, ethics
RF0008	10	1942	1,2,3,4,5,6,7	kw:adoration | kw:agriculture | kw:anatomy | kw:authority | kw:blessing | kw:canopy | kw:ceiling | kw:coating	س م و → ء ل ه → ح م د → د ي ن → ع ب د → ص ر ط → ض ل ل	س م و:B004:السماء وما علا فأظل | ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ص ر ط:B001:الطريق المستقيم | ض ل ل:B001:الضلال عن الهدى والقصد	animal_life/husbandry; cognition_perception/knowledge_learning; cognition_perception/proof_uncertainty; condition_force_change/support_dependence; kinship_society/family; kinship_society/identity_personhood; land_water_sky/sky_astronomy; law_governance/obligation_contract; law_governance/politics_order; movement_travel/navigation_route; movement_travel/transport; ritual_belief/afterlife_eschatology; ritual_belief/religion_worship; ritual_belief/ritual; space_form_boundary/space	adoration, agriculture, anatomy, authority, blessing, canopy, ceiling, coating, cosmology, cover, craft, creed, deity, deviation, devotion, direction, error, ethics, evaluation, family, foundation, gratitude, guidance, infrastructure
RF0009	9	1094	1,2,3,4,5,6,7	kw:adoration | kw:authority | kw:blessing | kw:coating | kw:craft | kw:creed | kw:deity | kw:deviation	ر ح م → ح م د → ء ل ه → د ي ن → ع ب د → ص ر ط → ض ل ل	ر ح م:B002:الرَّحِم والقرابة | ح م د:B001:الحمد خلاف الذم | ء ل ه:B001:التعبد والمعبود | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ص ر ط:B001:الطريق المستقيم | ض ل ل:B001:الضلال عن الهدى والقصد	animal_life/husbandry; cognition_perception/knowledge_learning; cognition_perception/proof_uncertainty; kinship_society/family; kinship_society/identity_personhood; land_water_sky/sky_astronomy; language_communication/grammar_expression; law_governance/obligation_contract; law_governance/politics_order; movement_travel/navigation_route; movement_travel/transport; ritual_belief/afterlife_eschatology; ritual_belief/religion_worship; ritual_belief/ritual; space_form_boundary/space	adoration, authority, blessing, coating, craft, creed, deity, deviation, devotion, direction, duration, error, ethics, evaluation, family, grammar, gratitude, guidance, history, infrastructure, interval, journey, kinship, knowledge
RF0010	4	258	1,2,4,5,6,7	kw:adoration | kw:bird | kw:blessing | kw:coating | kw:condition | kw:craft | kw:custom | kw:deity	ر ح م → ح م د → ء ل ه → ع ل م → د ي ن → ع ب د → ص ر ط	ر ح م:B002:الرَّحِم والقرابة | ح م د:B001:الحمد خلاف الذم | ء ل ه:B001:التعبد والمعبود | ع ل م:B006:طائر جارح يسمى العلام | د ي ن:B005:العادة والشأن | ع ب د:B005:التذليل والتسوية | ص ر ط:B001:الطريق المستقيم	animal_life/husbandry; animal_life/wildlife; cognition_perception/knowledge_learning; cognition_perception/proof_uncertainty; kinship_society/culture_tradition; kinship_society/family; kinship_society/identity_personhood; law_governance/politics_order; movement_travel/navigation_route; movement_travel/speed; movement_travel/transport; ritual_belief/afterlife_eschatology; ritual_belief/religion_worship; ritual_belief/ritual; space_form_boundary/space	adoration, bird, blessing, coating, condition, craft, custom, deity, deviation, devotion, direction, error, ethics, evaluation, falcon, family, gratitude, guidance, habit, hawk, hunting, identity, infrastructure, journey
