review_id	candidate_count	path_count_total	ayahs	scored_facet_signature	representative_roots	representative_branches	top_scored_facets
SF0001	58	6004	1,2,3,4,5,6,7	theme:ritual_belief/religion_worship	س م و → ح م د → ء ل ه → ر ب ب → ر ح م → ع و ن → ص ر ط	س م و:B001:العلو والارتفاع | ح م د:B001:الحمد خلاف الذم | ء ل ه:B002:اسم الله في القسم والنداء | ر ب ب:B003:علم رباني | ر ح م:B002:الرَّحِم والقرابة | ع و ن:B004:النخلة العَوانة القديمة | ص ر ط:B003:السيف القاطع الماضي في الضربة	theme:ritual_belief/religion_worship(6); kw:custom(2); kw:solidity(2); kw:gratitude(1); kw:family(1); kw:praise(1); kw:relative(1); kw:adoration(1); kw:deity(1); kw:stoutness(1); kw:antiquity(1); kw:swallowing(1); kw:routine(1); kw:honor(1); kw:protectiveness(1); kw:sharpness(1)
SF0002	32	8665	1,2,3,4,5,6,7	theme:ritual_belief/religion_worship | kw:religion	س م و → ح م د → ء ل ه → ر ب ب → ر ح م → ص ر ط → ض ل ل	س م و:B001:العلو والارتفاع | ح م د:B001:الحمد خلاف الذم | ء ل ه:B002:اسم الله في القسم والنداء | ر ب ب:B003:علم رباني | ر ح م:B002:الرَّحِم والقرابة | ص ر ط:B003:السيف القاطع الماضي في الضربة | ض ل ل:B001:الضلال عن الهدى والقصد	theme:ritual_belief/religion_worship(5); kw:religion(4); kw:gratitude(1); kw:misguidance(1); kw:family(1); kw:praise(1); kw:relative(1); kw:adoration(1); kw:deity(1); kw:creed(1); kw:loftiness(1); kw:eminence(1); kw:stoutness(1); kw:indemnity(1); kw:swallowing(1); kw:restitution(1)
SF0003	30	1757	1,2,3,4,5,6,7	theme:ritual_belief/religion_worship | kw:devotion | kw:worship | kw:religion | theme:ritual_belief/ritual	ر ح م → ح م د → ء ل ه → د ي ن → ع ب د → ص ر ط → غ ي ر	ر ح م:B002:الرَّحِم والقرابة | ح م د:B001:الحمد خلاف الذم | ء ل ه:B001:التعبد والمعبود | د ي ن:B001:الطاعة والانقياد | ع ب د:B007:القوة والصلابة | ص ر ط:B002:الغيبة في المرور والبلع | غ ي ر:B002:الغَيْر في الدية	theme:ritual_belief/religion_worship(3); kw:devotion(2); kw:worship(2); kw:religion(2); theme:ritual_belief/ritual(2); kw:gratitude(1); kw:adoration(1); kw:creed(1); kw:deity(1); kw:stoutness(1); kw:swallowing(1); kw:praise(1); kw:family(1); kw:antiquity(1); kw:relative(1); kw:indemnity(1)
SF0004	29	16226	1,2,3,4,5,6,7	theme:ritual_belief/religion_worship | kw:devotion | kw:worship | kw:religion | theme:ritual_belief/ritual | theme:ritual_belief/belief_revelation	س م و → ح م د → ء ل ه → ر ب ب → ر ح م → د ي ن → ق و م	س م و:B001:العلو والارتفاع | ح م د:B001:الحمد خلاف الذم | ء ل ه:B001:التعبد والمعبود | ر ب ب:B006:رُبّ خاثر وإصلاح به | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ق و م:B001:جماعة الناس والرجال	theme:ritual_belief/religion_worship(3); kw:devotion(2); kw:worship(2); kw:religion(2); theme:ritual_belief/ritual(2); theme:ritual_belief/belief_revelation(2); kw:gratitude(1); kw:adoration(1); kw:creed(1); kw:pity(1); kw:deity(1); kw:divinity(1); kw:thousand(1); kw:ceiling(1); kw:overhead(1); kw:heraldry(1)
SF0005	15	5506	1,2,3,4,5,6,7	theme:ritual_belief/religion_worship | theme:ritual_belief/belief_revelation	س م و → ء ل ه → ح م د → ر ب ب → ر ح م → ع و ن → ه د ي	س م و:B004:السماء وما علا فأظل | ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B004:ربة وجماعات كثيرة | ر ح م:B001:الرَّحْمَة والرقة | ع و ن:B001:الإعانة والمظاهرة | ه د ي:B002:جهة الأمر وسيرته وقصده	theme:ritual_belief/religion_worship(3); theme:ritual_belief/belief_revelation(3); kw:custom(2); kw:gratitude(1); kw:adoration(1); kw:pity(1); kw:deity(1); kw:divinity(1); kw:compassion(1); kw:routine(1); kw:praise(1); kw:thousand(1); kw:paving(1); kw:campaign(1); kw:hawk(1); kw:taming(1)
SF0006	14	4282	1,2,3,4,5,6,7	theme:ritual_belief/religion_worship | kw:religion | kw:devotion | kw:worship | theme:ritual_belief/ritual | theme:ritual_belief/belief_revelation	ء ل ه → ح م د → ر ب ب → ر ح م → د ي ن → غ ي ر → ض ل ل	ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B004:ربة وجماعات كثيرة | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | غ ي ر:B002:الغَيْر في الدية | ض ل ل:B001:الضلال عن الهدى والقصد	theme:ritual_belief/religion_worship(4); kw:religion(3); kw:devotion(2); kw:worship(2); theme:ritual_belief/ritual(2); theme:ritual_belief/belief_revelation(2); kw:gratitude(1); kw:adoration(1); kw:creed(1); kw:pity(1); kw:deity(1); kw:divinity(1); kw:stopping(1); kw:thousand(1); kw:paving(1); kw:freezing(1)
SF0007	13	2468	1,2,3,4,5,6,7	kw:devotion | kw:worship | theme:ritual_belief/religion_worship | kw:religion | theme:ritual_belief/ritual | theme:ritual_belief/belief_revelation	ء ل ه → ر ب ب → ر ح م → د ي ن → ع ب د → ص ر ط → غ ي ر	ء ل ه:B001:التعبد والمعبود | ر ب ب:B006:رُبّ خاثر وإصلاح به | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ع ب د:B007:القوة والصلابة | ص ر ط:B002:الغيبة في المرور والبلع | غ ي ر:B002:الغَيْر في الدية	kw:devotion(2); kw:worship(2); theme:ritual_belief/religion_worship(2); kw:religion(2); theme:ritual_belief/ritual(2); theme:ritual_belief/belief_revelation(2); kw:adoration(1); kw:creed(1); kw:pity(1); kw:deity(1); kw:divinity(1); kw:syrup(1); kw:paste(1); kw:condiment(1); kw:hawk(1); kw:falcon(1)
SF0008	12	2690	1,2,3,4,5,6,7	kw:religion | theme:ritual_belief/religion_worship	ء ل ه → ر ب ب → ر ح م → ع ب د → ص ر ط → غ ي ر → ض ل ل	ء ل ه:B002:اسم الله في القسم والنداء | ر ب ب:B003:علم رباني | ر ح م:B002:الرَّحِم والقرابة | ع ب د:B007:القوة والصلابة | ص ر ط:B002:الغيبة في المرور والبلع | غ ي ر:B002:الغَيْر في الدية | ض ل ل:B001:الضلال عن الهدى والقصد	kw:religion(4); theme:ritual_belief/religion_worship(4); kw:misguidance(1); kw:stoutness(1); kw:indemnity(1); kw:restitution(1); kw:swallowing(1); kw:creed(1); kw:ingestion(1); kw:adoration(1); kw:antiquity(1); kw:pity(1); kw:family(1); kw:deity(1); kw:divinity(1); kw:routine(1)
SF0009	12	1156	1,2,3,5,6,7	theme:ritual_belief/religion_worship | kw:theology | kw:religion	ء ل ه → ح م د → ر ب ب → ر ح م → ع ب د → ص ر ط → غ ي ر	ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B003:علم رباني | ر ح م:B002:الرَّحِم والقرابة | ع ب د:B007:القوة والصلابة | ص ر ط:B002:الغيبة في المرور والبلع | غ ي ر:B002:الغَيْر في الدية	theme:ritual_belief/religion_worship(3); kw:theology(2); kw:religion(2); kw:gratitude(1); kw:family(1); kw:adoration(1); kw:sage(1); kw:scholar(1); kw:deity(1); kw:relative(1); kw:praise(1); kw:antiquity(1); kw:stoutness(1); kw:ceiling(1); kw:overhead(1); kw:sharpness(1)
SF0010	11	6692	1,2,3,4,5,6,7	theme:ritual_belief/religion_worship | kw:blessing | kw:devotion | kw:worship | kw:religion | theme:kinship_society/hospitality_welfare | theme:ritual_belief/ritual | theme:ritual_belief/belief_revelation	س م و → ح م د → ء ل ه → ر ب ب → ر ح م → د ي ن → ن ع م	س م و:B001:العلو والارتفاع | ح م د:B001:الحمد خلاف الذم | ء ل ه:B001:التعبد والمعبود | ر ب ب:B006:رُبّ خاثر وإصلاح به | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ن ع م:B001:حسن الحال والنعمة	theme:ritual_belief/religion_worship(3); kw:blessing(2); kw:devotion(2); kw:worship(2); kw:religion(2); theme:kinship_society/hospitality_welfare(2); theme:ritual_belief/ritual(2); theme:ritual_belief/belief_revelation(2); kw:gratitude(1); kw:adoration(1); kw:creed(1); kw:pity(1); kw:deity(1); kw:divinity(1); kw:thousand(1); kw:heraldry(1)
