stage_id	scope_ref	stage	status	attempt	prompt_path	prompt_sha256	prompt_revision	input_fingerprint	output_fingerprint	started_at	completed_at	error_summary	notes
st-s001-provenance-001	s001	provenance	complete	1				8a641b4370d70ac433b6f320608ea732f5dfa7cfb0c128fac83611ba2229c682	5fc4288308ed168481f6411186159351785d04ffc6973d3d074ad800f0cad4a6	2026-07-21T17:48:19Z	2026-07-21T17:48:19Z		Retrospectively registered calibration state; input order is frozen manifest, packet, standard output, eleven-ayah prompt, eleven-ayah output. Historical prompt hashes are intentionally omitted because this fixture predates the agent-orchestration spec.
st-s001-extract-001	s001	extract	complete	1				5fc4288308ed168481f6411186159351785d04ffc6973d3d074ad800f0cad4a6	4332fb914d0a8905177daa86e05089d0b968866f4e64f2c6aaab3d4a8e72a4f1	2026-07-21T17:48:19Z	2026-07-21T17:48:19Z		Both S1 reader outputs are atomically extracted: 80 retained source findings. Historical prompt metadata omitted for the calibration fixture.
st-s001-1_6-normalize-001	1:6	normalize	complete	1				833e01897c782d9b662ed5d028d5c631fb9b070bc9e765e746420fa555922d33	cfb69736496ec166aaf7462ed2e3054005edef32d02a9c3128a6201a6a6e810a	2026-07-21T17:48:19Z	2026-07-21T17:48:19Z		Retrospectively registered for the completed 1:6 calibration slice; historical prompt metadata omitted.
st-s001-1_6-grade-001	1:6	grade	complete	1				d18cfe103e4b6f524383eacca6a86f1a249f947d0d537cc1c85db72e6d724440	07e5b742490c0faad3b2faa14acd398abe4b6c5aeefc5077515047ad733b0f12	2026-07-21T17:48:19Z	2026-07-21T17:48:19Z		All 40 evidence rows classified; 13 eligible analogical resonances scored. Historical prompt metadata omitted.
st-s001-1_6-reconcile-001	1:6	reconcile	complete	1				e65aa505e83a15a50a16fbe96053fbc60624e947ed43701d72e523376f9ddae1	e65aa505e83a15a50a16fbe96053fbc60624e947ed43701d72e523376f9ddae1	2026-07-21T17:48:19Z	2026-07-21T17:48:19Z		Legacy calibration only: no split or merge was required after grading. Routine production now treats reconciliation as an exception path.
st-s001-1_6-publish-001	1:6	publish	complete	1				dfba3b1d81ae22d6d8a1eee8cf311cb054cdc404521fb7eb7b88b38c170cdf90	e4a3676bb1501c003e56910c60f7c84c9d3ba551b108910b12af044c0b012212	2026-07-21T17:48:19Z	2026-07-21T17:48:19Z		Swallowing/disappearance promoted to strong secondary commentary resonance; translation remains blocked. Historical prompt metadata omitted.
st-s001-1_6-audit-001	1:6	audit	complete	1				38110935d677f4dcd32b7493c4790aa89633f20cec453748a88f480675d58ff8	1360496def7631959f49f32125d3e1b0b02ea4cc966b24e41ba0069ebf4e4713	2026-07-21T17:48:19Z	2026-07-21T17:48:19Z		Legacy calibration audit; normal production no longer requires a separate audit stage.
st-s001-1_5-normalize-001	1:5	normalize	complete	1	_status/v12_cross_run/prompts/02_normalize_mechanisms.md	476f4cf0243fc81b54603b2e1af1934f22b632afa7865f510e202f8fa01fecc0		9706ec61477b93a9f999a45512443224c4afa636181637a09e1ceb35fc16095b	e6e0e6ce2d2bba7abaed6c20b7a5560961f8f0a765eb1748a22486b12f88df8f	2026-07-21T19:35:27Z	2026-07-21T19:38:29Z		Fresh normalization worker; deterministic source-lineage commit and scoped structural validation.
st-s001-1_0-normalize-001	1:0	normalize	complete	1	_status/v12_cross_run/prompts/02_normalize_mechanisms.md	476f4cf0243fc81b54603b2e1af1934f22b632afa7865f510e202f8fa01fecc0		99eb7f703b0ee7f90ed2920cdb9dd930ba4fc4a257be83297a6273360a471860	6f1b6f4d1d89b167a5c88fc1003f3c9c7376cc746586fadbd905bc6df330f10c	2026-07-21T19:35:27Z	2026-07-21T19:38:29Z		Fresh normalization worker; deterministic source-lineage commit and scoped structural validation.
st-s001-1_2-normalize-001	1:2	normalize	complete	1	_status/v12_cross_run/prompts/02_normalize_mechanisms.md	476f4cf0243fc81b54603b2e1af1934f22b632afa7865f510e202f8fa01fecc0		f5a80758a1136cb43aaaf52c50c1047cf8e382fd28014ec8da51ef67c6b2c966	423afd00e4db982afc0756e0dac96501e0b0b3849b8cb70681ff606377ad2b23	2026-07-21T19:35:27Z	2026-07-21T19:37:25Z		Fresh normalization worker; deterministic source-lineage commit and scoped structural validation.
st-s001-1_2-grade-001	1:2	grade	failed	1	_status/v12_cross_run/prompts/03_grade_lexical_resonance.md	5c77c19cdd12fe71975aa623ef6874986f94daa20710652be5c57e524ca11623	7e0c423042938e207ebc985615b0086c41434640	d52be5d315773641df5a0ce4738bf7535c38bc41d58e747d8698a946191f7f9d		2026-07-21T19:37:33Z	2026-07-21T19:59:33Z	Task payload superseded before worker spawn.	No worker was spawned; linguistic crosswalk and compact slicing were corrected after the S18 generalization check.
