root_id	root_norm	source_root_norm	branch_id	status	branch_image_ar	what_is_ar	source_phrase_ar
root_000001	ح م م	ح م م	B001	accepted	السواد والفحم والدخان	يدخل فيه الحُمَم والفحم والرماد المحترق واليحموم والدخان الشديد السواد والتسويد بالسخام والسواد في الإنسان والفرس والنبات ونبات الريش واسوداد الرأس	الحمم الفحم؛ اليحموم الدخان؛ حممته إذا سخمت وجهه بالسخام (maqayis)؛ الحمم أيضا الفحم البارد؛ جارية حمة أي سوداء؛ اليحموم الدخان (ayn)؛ الحمحم الشديد السواد؛ الأحم الأسود؛ الحمم الرماد والفحم؛ اليحموم أيضا الدخان (sihah)؛ الحمم الفحم البارد؛ اليحموم الشديد السواد؛ حممت وجه الرجل إذا سودته بالحمم؛ حمم رأسه بعد الحلق إذا اسود (tahdhib)
root_000001	ح م م	ح م م	B002	accepted	الماء الحار والاغتسال به	يدخل فيه الحميم والماء الحار وتسخين الماء والاغتسال بالحميم والحمة العين الحارة	الحميم الماء الحار والاستحمام الاغتسال به (maqayis)؛ الحميم الماء الحار؛ الحمة عين فيها ماء حار (ayn)؛ الحميم الماء الحار؛ الحمة العين الحارة؛ حممت الماء أي سخنته (sihah)؛ الحميم الماء الحار؛ الحمة عين ماء فيها ماء حار؛ الحميمة الماء يسخن (tahdhib)؛ الحميم الماء الشديد الحرارة (mufradat)
root_000001	ح م م	ح م م	B003	accepted	ذوبان الإهالة والشحم	يدخل فيه الحَمّ وهو ما أذيب من الألية أو الشحم وما يبقى منه بعد الذوب والحَمّة الواحدة منه	الحم وهي الألية تذاب فالذي يبقى منها بعد الذوب حم واحدته حمة (maqayis)؛ الحم ما اصطهرت إهالته من الألية والشحم الواحدة حمة (ayn)؛ الحم ما يبقى من الألية بعد الذوب؛ حممت الألية أي أذبتها (sihah)؛ الحم ما اصطهرت إهالته من الألية والشحم؛ ما أذيب من الألية فهو حم (tahdhib)
root_000001	ح م م	ح م م	B004	accepted	العرق وأثر الحر	يدخل فيه الحميم بمعنى العرق والاستحمام بمعنى العرق والقيظ والمطر الصيفي الحار	الحميم وهو العرق (maqayis)؛ الحميم العرق؛ استحم الفرس إذا عرق (ayn)؛ الحميم العرق؛ استحم أي عرق؛ الحميم المطر الذي يأتي في شدة الحر؛ الحميم القيظ (sihah)؛ الحميم العرق؛ استحم الفرس إذا عرق؛ الحميم المطر الذي يكون في الصيف حين تسخن الأرض (tahdhib)
root_000001	ح م م	ح م م	B005	accepted	الحمى والحمام في الأبدان والأرض	يدخل فيه حمى الإنسان وحمى الإبل والدواب والأرض المحمة أو ذات الحمى والطعام المحمة	الحمام وهو حمى الإبل؛ أحمت الأرض إذا صارت ذات حمى (maqayis)؛ أحمت الأرض؛ حم الرجل فهو محموم؛ الحمام حمى الإبل والدواب (ayn)؛ حم الرجل من الحمى؛ أحمت الأرض صارت ذات حمى؛ الحمام بالضم حمى الإبل؛ أرض محمة ذات حمى (sihah)؛ حم البعير حماما؛ حم الرجل حمى شديدة؛ المحمة أرض ذات حمى؛ طعام محمة (tahdhib)
root_000001	ح م م	ح م م	B006	accepted	دنو الأمر وحضوره	يدخل فيه دنو الحاجة أو الأمر وحضوره وحينونة وقته ولزومه	أحمت الحاجة حضرت وأحم الأمر دنا (maqayis)؛ أحمت حاجة الغد أي حانت ولزمت (ayn)؛ أحم خروجنا أي دنا؛ أجم الأمر وأحم أي حان وقته (sihah)؛ أحمت الحاجة وأجمت إذا دنت؛ أحم قدومهم دنا (tahdhib)
root_000001	ح م م	ح م م	B007	accepted	حمحمة الفرس	يدخل فيه حمحمة الفرس أو البرذون وصوته دون الصهيل عند العلف أو الأنس	الحمحمة حمحمة الفرس عند العلف (maqayis)؛ الحمحمة صوت الفرس دون الصوت العالي (ayn)؛ حمحم الفرس وتحمحم وهو صوته إذا طلب العلف (sihah)؛ الحمحمة صوت للبرذون دون الصوت العالي وللفرس دون الصهيل (tahdhib)
root_000001	ح م م	ح م م	B008	accepted	القصد والطلب نحو الشيء	يدخل فيه قصد القصد وطلب الشيء ومحامته والتعجيل إلى المقصود في بعض الروايات	حممت حمة أي قصدت قصده (maqayis)؛ حم هذا لذاك أي قضي وقدر وقصد (ayn)؛ حممت حمك أي قصدت قصدك؛ حممت ارتحال البعير أي عجلته؛ حاممته أي طالبته (sihah)؛ حممت حمه أي قصدت قصده؛ حاممته محامة طالبته (tahdhib)
root_000001	ح م م	ح م م	B009	review	تحميم المطلقة بالمتعة	يدخل فيه تحميم المرأة المطلقة أي تمتيعها بثوب أو خادم أو نحوه بعد الطلاق	حممها إذا متعها بثوب أو نحوه (maqayis)؛ يطلق المرأة فيحممها أي يمتعها تحميما (ayn)؛ حمم امرأته أي متعها بشيء بعد الطلاق (sihah)؛ حممها إياها أي متعها بها بعد الطلاق؛ ثياب التحمة ما يلبس المطلق امرأته إذا متعها (tahdhib)
root_000001	ح م م	ح م م	B010	accepted	القضاء والقدر والموت	يدخل فيه قضاء الأمر وتقديره والحمام بمعنى قضاء الموت والحمم أو الحمة بمعنى المنايا وحمة الفراق أو الموت	حم الأمر قضي؛ الحمام قضاء الموت؛ حم هذا لذاك أي قضي وقدر؛ الحمم المنايا (ayn)؛ حم أيضا بمعنى قدر؛ الحمام بالكسر قدر الموت؛ حمة الفراق ما قدر وقضي (sihah)؛ حم الأمر إذا قدر؛ نزل به حمامه أي قدره وموته؛ عجلت بنا حمة الفراق وحمة الموت (tahdhib)
