edge_id	source_position	target_position	edge_type	direction	confidence	annotation_source	exact_surface_span	evidence	reason	source_ref
ae:v3:s100:001:pass1:attach:a1	q:100:1:1	q:100:1:2	particle_complement	head-to-dependent	high	attachments:pass1:ATTACH	وَالْعَادِيَاتِ | وَالْعَادِيَاتِ	case_government;formulaic_construction	وَ is the oath particle governing ٱلْعَٰدِيَٰتِ in the genitive oath phrase.	raw-attachments:line:58166
ae:v3:s100:001:pass1:attach:a2	q:100:1:2	q:100:1:3	circumstantial	head-to-dependent	medium	attachments:pass1:ATTACH	وَالْعَادِيَاتِ | ضَبْحَاً	case_government;local_syntax	ضَبْحًا is an accusative manner expression describing ٱلْعَٰدِيَٰتِ as they run panting.	raw-attachments:line:58167
ae:v3:s100:002:pass1:attach:a1	q:100:2:2	q:100:2:3	circumstantial	head-to-dependent	medium	attachments:pass1:ATTACH	فَالْمُورِيَاتِ | قَدْحَاً	case_government;local_syntax	قَدْحًا is an accusative manner expression specifying how ٱلْمُورِيَٰتِ produce sparks.	raw-attachments:line:58168
ae:v3:s100:003:pass1:attach:a1	q:100:3:2	q:100:3:3	adverbial	head-to-dependent	high	attachments:pass1:ATTACH	فَالْمُغِيرَاتِ | صُبْحَاً	case_government;local_syntax	صُبْحًا is an accusative time adverb locating the raid of ٱلْمُغِيرَٰتِ at dawn.	raw-attachments:line:58169
ae:v3:s100:004:pass1:attach:a1	q:100:4:2	q:100:4:3	prep_complement	head-to-dependent	high	attachments:pass1:ATTACH	فَأَثَرْنَ	case_government;local_syntax	The pronoun in بِهِ is governed by بِ as a prepositional complement of أَثَرْنَ.	raw-attachments:line:58170
ae:v3:s100:004:pass1:attach:a2	q:100:4:2	q:100:4:4	direct_object	head-to-dependent	high	attachments:pass1:ATTACH	فَأَثَرْنَ | نَقْعَاً	case_government;word_order	نَقْعًا is the accusative object raised by أَثَرْنَ.	raw-attachments:line:58171
ae:v3:s100:005:pass1:attach:a1	q:100:5:2	q:100:5:3	prep_complement	head-to-dependent	high	attachments:pass1:ATTACH	فَوَسَطْنَ	case_government;local_syntax	The pronoun in بِهِ is governed by بِ as a prepositional complement of وَسَطْنَ.	raw-attachments:line:58172
ae:v3:s100:005:pass1:attach:a2	q:100:5:2	q:100:5:4	direct_object	head-to-dependent	high	attachments:pass1:ATTACH	فَوَسَطْنَ | جَمْعَاً	case_government;word_order	جَمْعًا is the accusative object entered by وَسَطْنَ.	raw-attachments:line:58173
ae:v3:s100:006:pass1:attach:a1	q:100:6:1	q:100:6:2	particle_complement	head-to-dependent	high	attachments:pass1:ATTACH	إِنَّ | الْإِنْسَانَ	case_government;local_syntax	ٱلْإِنسَٰنَ is the governed ism of إِنَّ.	raw-attachments:line:58174
ae:v3:s100:006:pass1:attach:a2	q:100:6:4	q:100:6:4	idafa	head-to-dependent	high	attachments:pass1:ATTACH	لِرَبِّهِ	morphology;local_syntax	The suffix ـهِ in رَبِّهِ is the possessive complement of رَبِّ.	raw-attachments:line:58175
ae:v3:s100:006:pass1:attach:a3	q:100:6:6	q:100:6:4	prep_complement	head-to-dependent	high	attachments:pass1:ATTACH	لَكَنُودٌ | لِرَبِّهِ	case_government;local_syntax	لِرَبِّهِ specifies the target with respect to which كَنُودٌ is predicated.	raw-attachments:line:58176
ae:v3:s100:006:pass1:attach:a4	q:100:6:1	q:100:6:6	predication	head-to-dependent	high	attachments:pass1:ATTACH	إِنَّ | لَكَنُودٌ	case_government;local_syntax	كَنُودٌ is the khabar of إِنَّ in the emphatic predication.	raw-attachments:line:58177
ae:v3:s100:007:pass1:attach:a1	q:100:7:2	q:100:7:2	particle_complement	head-to-dependent	high	attachments:pass1:ATTACH		morphology;local_syntax	The suffix ـه in إِنَّهُ is the governed ism of إِنَّ.	raw-attachments:line:58178
ae:v3:s100:007:pass1:attach:a2	q:100:7:6	q:100:7:4	prep_complement	head-to-dependent	high	attachments:pass1:ATTACH	لَشَهِيدٌ | ذَلِكَ	case_government;local_syntax	عَلَىٰ ذَٰلِكَ gives the matter over which شَهِيدٌ applies.	raw-attachments:line:58179
ae:v3:s100:007:pass1:attach:a3	q:100:7:2	q:100:7:6	predication	head-to-dependent	high	attachments:pass1:ATTACH	وَإِنَّهُ | لَشَهِيدٌ	case_government;local_syntax	شَهِيدٌ is the khabar of إِنَّ in إِنَّهُ.	raw-attachments:line:58180
ae:v3:s100:008:pass1:attach:a1	q:100:8:1	q:100:8:1	particle_complement	head-to-dependent	high	attachments:pass1:ATTACH		morphology;local_syntax	The suffix ـه in وَإِنَّهُ is the governed ism of إِنَّ.	raw-attachments:line:58181
ae:v3:s100:008:pass1:attach:a2	q:100:8:5	q:100:8:3	prep_complement	head-to-dependent	high	attachments:pass1:ATTACH	لَشَدِيدٌ | لِحُبِّ	case_government;local_syntax	لِحُبِّ relates the intensity in لَشَدِيدٌ to love.	raw-attachments:line:58182
ae:v3:s100:008:pass1:attach:a3	q:100:8:3	q:100:8:4	idafa	head-to-dependent	high	attachments:pass1:ATTACH	لِحُبِّ | الْخَيْرِ	case_government;local_syntax	ٱلْخَيْرِ is the genitive complement of the construct noun حُبِّ.	raw-attachments:line:58183
ae:v3:s100:008:pass1:attach:a4	q:100:8:1	q:100:8:5	predication	head-to-dependent	high	attachments:pass1:ATTACH	وَإِنَّهُ|وَإِنَّهُ | لَشَدِيدٌ	case_government;local_syntax	لَشَدِيدٌ is the khabar of إِنَّ in وَإِنَّهُ.	raw-attachments:line:58184
ae:v3:s100:009:pass1:attach:a1	q:100:9:3	q:100:9:4	adverbial	head-to-dependent	high	attachments:pass1:ATTACH	يَعْلَمُ | إِذَا	local_syntax	إِذَا بُعْثِرَ مَا فِى ٱلْقُبُورِ supplies the temporal setting for يَعْلَمُ.	raw-attachments:line:58185
ae:v3:s100:009:pass1:attach:a2	q:100:9:5	q:100:9:6	subject	head-to-dependent	high	attachments:pass1:ATTACH	بُعْثِرَ | مَا	agreement;word_order	مَا is the overt passive subject of بُعْثِرَ.	raw-attachments:line:58186
ae:v3:s100:009:pass1:attach:a3	q:100:9:6	q:100:9:8	prep_complement	head-to-dependent	high	attachments:pass1:ATTACH	مَا | الْقُبُورِ	case_government;local_syntax	فِى ٱلْقُبُورِ completes مَا by specifying what is in the graves.	raw-attachments:line:58187
ae:v3:s100:010:pass1:attach:a1	q:100:10:2	q:100:10:3	subject	head-to-dependent	high	attachments:pass1:ATTACH	وَحُصِّلَ | مَا	agreement;word_order	مَا is the overt passive subject of حُصِّلَ.	raw-attachments:line:58188
ae:v3:s100:010:pass1:attach:a2	q:100:10:3	q:100:10:5	prep_complement	head-to-dependent	high	attachments:pass1:ATTACH	مَا | الصُّدُورِ	case_government;local_syntax	فِى ٱلصُّدُورِ completes مَا by specifying what is inside the chests.	raw-attachments:line:58189
ae:v3:s100:011:pass1:attach:a1	q:100:11:1	q:100:11:2	particle_complement	head-to-dependent	high	attachments:pass1:ATTACH	إِنَّ | رَبَّهُمْ	case_government;local_syntax	رَبَّهُم is the governed ism of إِنَّ.	raw-attachments:line:58190
ae:v3:s100:011:pass1:attach:a2	q:100:11:2	q:100:11:2	idafa	head-to-dependent	high	attachments:pass1:ATTACH	رَبَّهُمْ	morphology;local_syntax	The suffix ـهم in رَبَّهُم is the possessive complement of رَبَّ.	raw-attachments:line:58191
ae:v3:s100:011:pass1:attach:a3	q:100:11:7	q:100:11:4	prep_complement	head-to-dependent	high	attachments:pass1:ATTACH	لَخَبِيرٌ | بِهِمْ	case_government;local_syntax	بِهِمْ supplies the object of reference for خَبِيرٌ.	raw-attachments:line:58192
ae:v3:s100:011:pass1:attach:a4	q:100:11:7	q:100:11:5	adverbial	head-to-dependent	high	attachments:pass1:ATTACH	لَخَبِيرٌ | يَوْمَئِذٍ	case_government;local_syntax	يَوْمَئِذٍ is an accusative time adverb locating the predication of خَبِيرٌ.	raw-attachments:line:58193
ae:v3:s100:011:pass1:attach:a5	q:100:11:1	q:100:11:7	predication	head-to-dependent	high	attachments:pass1:ATTACH	إِنَّ | لَخَبِيرٌ	case_government;local_syntax	خَبِيرٌ is the khabar of إِنَّ in the emphatic clause.	raw-attachments:line:58194
