review_id	candidate_count	path_count_total	ayahs	image_scored_facet_signature	representative_roots	representative_branches	top_image_facets
IF0001	30	16900	1,2,3,4,5,6,7	kw:blessing | theme:kinship_society/hospitality_welfare	س م و → ح م د → ء ل ه → ر ب ب → ر ح م → د ي ن → ن ع م	س م و:B001:العلو والارتفاع | ح م د:B001:الحمد خلاف الذم | ء ل ه:B001:التعبد والمعبود | ر ب ب:B006:رُبّ خاثر وإصلاح به | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ن ع م:B001:حسن الحال والنعمة	theme:kinship_society/hospitality_welfare(3); kw:blessing(2); kw:submission(2); kw:gratitude(1); kw:pity(1); kw:grace(1); kw:praise(1); kw:bounty(1); kw:compassion(1); kw:tenderness(1); kw:kindness(1); kw:thousand(1); kw:loftiness(1); kw:eminence(1); kw:demography(1); kw:syrup(1)
IF0002	30	6728	1,2,3,4,5,6,7	kw:authority	س م و → ء ل ه → ر ب ب → ر ح م → م ل ك → د ي ن → ق و م	س م و:B004:السماء وما علا فأظل | ء ل ه:B001:التعبد والمعبود | ر ب ب:B006:رُبّ خاثر وإصلاح به | ر ح م:B001:الرَّحْمَة والرقة | م ل ك:B003:المُلك والسلطان | د ي ن:B001:الطاعة والانقياد | ق و م:B001:جماعة الناس والرجال	kw:authority(4); kw:submission(2); kw:pity(1); kw:kingship(1); kw:dominion(1); kw:compassion(1); kw:sovereignty(1); kw:tenderness(1); kw:gratitude(1); kw:kindness(1); kw:syrup(1); kw:paste(1); kw:condiment(1); kw:misguidance(1); kw:ceiling(1); kw:praise(1)
IF0003	29	4275	1,2,3,4,5,6,7	kw:navigation	ء ل ه → ر ب ب → ر ح م → د ي ن → ع ب د → ص ر ط → ض ل ل	ء ل ه:B001:التعبد والمعبود | ر ب ب:B006:رُبّ خاثر وإصلاح به | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ص ر ط:B001:الطريق المستقيم | ض ل ل:B001:الضلال عن الهدى والقصد	kw:navigation(2); kw:gratitude(1); kw:misguidance(1); kw:straightness(1); kw:paving(1); kw:praise(1); kw:taming(1); kw:submission(1); kw:smoothing(1); kw:leveling(1); kw:coating(1); kw:error(1); kw:pity(1); kw:compassion(1); kw:obedience(1); kw:family(1)
IF0004	23	1752	1,2,3,4,5,6,7	kw:straightness | theme:law_governance/politics_order	ء ل ه → ح م د → ر ب ب → ر ح م → د ي ن → ص ر ط → ق و م	ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B004:ربة وجماعات كثيرة | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ص ر ط:B001:الطريق المستقيم | ق و م:B008:استقامة واعتدال واستواء	kw:straightness(2); theme:law_governance/politics_order(2); kw:submission(2); kw:obedience(2); kw:gratitude(1); kw:rectitude(1); kw:evenness(1); kw:moderation(1); kw:pity(1); kw:compassion(1); kw:praise(1); kw:tenderness(1); kw:kindness(1); kw:paving(1); kw:taming(1); kw:smoothing(1)
IF0005	21	7710	1,2,3,4,5,6,7	theme:kinship_society/hospitality_welfare	س م و → ح م د → ء ل ه → ر ب ب → ر ح م → د ي ن → غ ي ر	س م و:B001:العلو والارتفاع | ح م د:B001:الحمد خلاف الذم | ء ل ه:B001:التعبد والمعبود | ر ب ب:B006:رُبّ خاثر وإصلاح به | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | غ ي ر:B001:الصلاح والمنفعة بالميرة والسقي والإصلاح	theme:kinship_society/hospitality_welfare(5); kw:submission(2); kw:pity(1); kw:compassion(1); kw:tenderness(1); kw:kindness(1); kw:gratitude(1); kw:ceiling(1); kw:syrup(1); kw:paste(1); kw:condiment(1); kw:overhead(1); kw:grace(1); kw:bounty(1); kw:canopy(1); kw:benefit(1)
IF0006	20	3786	1,2,3,5,6,7	kw:gratitude | kw:family | kw:sage | kw:scholar	ء ل ه → ح م د → ر ب ب → ر ح م → ع ب د → ص ر ط → ض ل ل	ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B003:علم رباني | ر ح م:B002:الرَّحِم والقرابة | ع ب د:B007:القوة والصلابة | ص ر ط:B002:الغيبة في المرور والبلع | ض ل ل:B001:الضلال عن الهدى والقصد	kw:solidity(2); kw:gratitude(1); kw:family(1); kw:sage(1); kw:scholar(1); kw:relative(1); kw:praise(1); kw:wisdom(1); kw:stoutness(1); kw:invocation(1); kw:loftiness(1); kw:misguidance(1); kw:swallowing(1); kw:sharpness(1); kw:eminence(1); kw:address(1)
IF0007	18	4415	1,2,3,4,6,7	kw:substitution | kw:replacement	ء ل ه → ر ب ب → ر ح م → د ي ن → ق و م → غ ي ر → ض ل ل	ء ل ه:B001:التعبد والمعبود | ر ب ب:B006:رُبّ خاثر وإصلاح به | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ق و م:B007:نيابة وقيام مقام غيره | غ ي ر:B003:تغيير الصورة أو إبدال الشيء بغيره | ض ل ل:B002:الغيبوبة والخفاء	kw:substitution(2); kw:replacement(2); kw:gratitude(1); kw:proxy(1); kw:equivalence(1); kw:representation(1); kw:alteration(1); kw:burial(1); kw:praise(1); kw:pity(1); kw:submission(1); kw:compassion(1); kw:tenderness(1); kw:hiddenness(1); kw:kindness(1); kw:obedience(1)
IF0008	17	4222	1,2,3,4,5,6,7	theme:law_governance/obligation_contract	ر ح م → ح م د → ء ل ه → ر ب ب → د ي ن → ع ب د → ص ر ط	ر ح م:B002:الرَّحِم والقرابة | ح م د:B001:الحمد خلاف الذم | ء ل ه:B002:اسم الله في القسم والنداء | ر ب ب:B001:ربوبية وملك وسيادة | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ص ر ط:B001:الطريق المستقيم	theme:law_governance/obligation_contract(2); kw:zeal(2); kw:invocation(1); kw:gratitude(1); kw:address(1); kw:dominion(1); kw:oath(1); kw:family(1); kw:submission(1); kw:misguidance(1); kw:praise(1); kw:paving(1); kw:relative(1); kw:taming(1); kw:smoothing(1); kw:leveling(1)
IF0009	16	8720	1,2,3,4,5,7	kw:anger	ء ل ه → ح م د → ر ب ب → ر ح م → د ي ن → ع ب د → غ ض ب	ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B004:ربة وجماعات كثيرة | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ع ب د:B008:الأنفة والغضب | غ ض ب:B001:اشتداد السخط وثورانه للانتقام	kw:anger(2); kw:gratitude(1); kw:regret(1); kw:zeal(1); kw:fury(1); kw:resentment(1); kw:wrath(1); kw:mourning(1); kw:praise(1); kw:pity(1); kw:compassion(1); kw:ceiling(1); kw:overhead(1); kw:canopy(1); kw:tenderness(1); kw:pride(1)
IF0010	16	692	1,2,3,4,5,6,7	kw:guidance | kw:direction | kw:navigation	ء ل ه → ر ب ب → ر ح م → د ي ن → ه د ي → ص ر ط → ض ل ل	ء ل ه:B001:التعبد والمعبود | ر ب ب:B006:رُبّ خاثر وإصلاح به | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ه د ي:B001:دلالة بلطف إلى الطريق والحق | ص ر ط:B001:الطريق المستقيم | ض ل ل:B001:الضلال عن الهدى والقصد	kw:guidance(2); kw:direction(2); kw:navigation(2); kw:gratitude(1); kw:misguidance(1); kw:straightness(1); kw:error(1); kw:praise(1); kw:submission(1); kw:road(1); kw:pity(1); kw:compassion(1); kw:obedience(1); kw:tenderness(1); kw:kindness(1); kw:family(1)
IF0011	15	5158	1,2,3,4,5,6,7	theme:craft_material_built/architecture_construction	س م و → ء ل ه → ر ب ب → ر ح م → د ي ن → ع ب د → ص ر ط	س م و:B004:السماء وما علا فأظل | ء ل ه:B001:التعبد والمعبود | ر ب ب:B006:رُبّ خاثر وإصلاح به | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ص ر ط:B001:الطريق المستقيم	theme:craft_material_built/architecture_construction(2); kw:ceiling(1); kw:paving(1); kw:gratitude(1); kw:taming(1); kw:overhead(1); kw:smoothing(1); kw:leveling(1); kw:canopy(1); kw:coating(1); kw:praise(1); kw:submission(1); kw:pity(1); kw:misguidance(1); kw:compassion(1); kw:straightness(1)
IF0012	15	1084	1,2,3,4,5,6,7	kw:guidance | kw:direction	ء ل ه → ح م د → ر ب ب → ر ح م → د ي ن → ه د ي → ص ر ط	ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B004:ربة وجماعات كثيرة | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ه د ي:B001:دلالة بلطف إلى الطريق والحق | ص ر ط:B001:الطريق المستقيم	kw:guidance(2); kw:direction(2); kw:gratitude(1); kw:straightness(1); kw:pity(1); kw:submission(1); kw:praise(1); kw:compassion(1); kw:tenderness(1); kw:kindness(1); kw:obedience(1); kw:road(1); kw:ceiling(1); kw:paving(1); kw:taming(1); kw:overhead(1)
IF0013	13	1805	1,2,3,4,5,6,7	kw:blessing	ر ح م → ح م د → ء ل ه → ع ل م → د ي ن → ع ب د → ن ع م	ر ح م:B002:الرَّحِم والقرابة | ح م د:B001:الحمد خلاف الذم | ء ل ه:B001:التعبد والمعبود | ع ل م:B006:طائر جارح يسمى العلام | د ي ن:B005:العادة والشأن | ع ب د:B003:العبادة والطاعة الخاضعة | ن ع م:B001:حسن الحال والنعمة	kw:blessing(2); kw:submission(2); kw:gratitude(1); kw:grace(1); kw:praise(1); kw:family(1); kw:bounty(1); kw:relative(1); kw:pillar(1); kw:hawk(1); kw:obedience(1); kw:falcon(1); kw:foundation(1); kw:raptor(1); kw:ceiling(1); kw:routine(1)
IF0014	13	1512	1,2,3,4,5,6,7	theme:kinship_society/marriage_genealogy	ء ل ه → ح م د → ر ب ب → ر ح م → ق و م → غ ي ر → غ ض ب	ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B003:علم رباني | ر ح م:B002:الرَّحِم والقرابة | ق و م:B001:جماعة الناس والرجال | غ ي ر:B004:الغَيْرة على الأهل | غ ض ب:B001:اشتداد السخط وثورانه للانتقام	theme:kinship_society/marriage_genealogy(2); kw:submission(2); kw:honor(1); kw:gratitude(1); kw:men(1); kw:protectiveness(1); kw:jealousy(1); kw:zeal(1); kw:faction(1); kw:fury(1); kw:resentment(1); kw:wrath(1); kw:family(1); kw:praise(1); kw:relative(1); kw:sage(1)
IF0015	12	6824	1,2,3,4,5,6	kw:submission | kw:obedience | kw:authority	ح م د → ء ل ه → ر ب ب → ر ح م → د ي ن → ع ب د → ق و م	ح م د:B001:الحمد خلاف الذم | ء ل ه:B001:التعبد والمعبود | ر ب ب:B006:رُبّ خاثر وإصلاح به | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ع ب د:B003:العبادة والطاعة الخاضعة | ق و م:B001:جماعة الناس والرجال	kw:submission(2); kw:obedience(2); kw:authority(2); kw:gratitude(1); kw:men(1); kw:faction(1); kw:praise(1); kw:clan(1); kw:pity(1); kw:ceiling(1); kw:people(1); kw:compassion(1); kw:overhead(1); kw:tenderness(1); kw:kindness(1); kw:canopy(1)
IF0016	12	1518	1,2,3,4,5,7	kw:anger | theme:emotion_ethics/fear_grief	ء ل ه → ر ب ب → ر ح م → د ي ن → ع ب د → غ ض ب → ض ل ل	ء ل ه:B001:التعبد والمعبود | ر ب ب:B006:رُبّ خاثر وإصلاح به | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ع ب د:B008:الأنفة والغضب | غ ض ب:B002:الغضب لشخص حي أو به بعد موته | ض ل ل:B002:الغيبوبة والخفاء	kw:anger(2); theme:emotion_ethics/fear_grief(2); kw:burial(1); kw:gratitude(1); kw:regret(1); kw:advocacy(1); kw:zeal(1); kw:hiddenness(1); kw:mourning(1); kw:praise(1); kw:pride(1); kw:pity(1); kw:submission(1); kw:disappearance(1); kw:compassion(1); kw:family(1)
IF0017	11	6520	1,2,3,4,5,6,7	kw:gratitude | kw:pity | kw:syrup | kw:paste	س م و → ح م د → ء ل ه → ر ب ب → ر ح م → د ي ن → ه د ي	س م و:B001:العلو والارتفاع | ح م د:B001:الحمد خلاف الذم | ء ل ه:B001:التعبد والمعبود | ر ب ب:B006:رُبّ خاثر وإصلاح به | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ه د ي:B001:دلالة بلطف إلى الطريق والحق	kw:custom(2); kw:gratitude(1); kw:pity(1); kw:syrup(1); kw:paste(1); kw:condiment(1); kw:compassion(1); kw:praise(1); kw:tenderness(1); kw:kindness(1); kw:loftiness(1); kw:submission(1); kw:eminence(1); kw:rise(1); kw:misguidance(1); kw:aid(1)
IF0018	11	2340	1,2,3,4,5,6,7	kw:authority | theme:kinship_society/hospitality_welfare	ء ل ه → ح م د → ر ب ب → ر ح م → م ل ك → د ي ن → غ ي ر	ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B004:ربة وجماعات كثيرة | ر ح م:B001:الرَّحْمَة والرقة | م ل ك:B003:المُلك والسلطان | د ي ن:B001:الطاعة والانقياد | غ ي ر:B001:الصلاح والمنفعة بالميرة والسقي والإصلاح	theme:kinship_society/hospitality_welfare(4); kw:authority(3); kw:submission(2); kw:pity(1); kw:kingship(1); kw:dominion(1); kw:compassion(1); kw:sovereignty(1); kw:tenderness(1); kw:gratitude(1); kw:syrup(1); kw:paste(1); kw:condiment(1); kw:kindness(1); kw:ceiling(1); kw:overhead(1)
IF0019	10	4656	1,2,3,4,5,6	kw:submission | kw:obedience | theme:emotion_ethics/trust_loyalty | kw:authority	ء ل ه → ح م د → ر ب ب → ر ح م → د ي ن → ع ب د → ع و ن	ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B004:ربة وجماعات كثيرة | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ع ب د:B003:العبادة والطاعة الخاضعة | ع و ن:B001:الإعانة والمظاهرة	kw:submission(2); kw:obedience(2); theme:emotion_ethics/trust_loyalty(2); kw:authority(2); kw:gratitude(1); kw:aid(1); kw:assistance(1); kw:pity(1); kw:praise(1); kw:compassion(1); kw:tenderness(1); kw:kindness(1); kw:cooperation(1); kw:intent(1); kw:manner(1); kw:custom(1)
IF0020	10	584	1,2,4,5,6,7	theme:land_water_sky/sky_astronomy	س م و → ء ل ه → ح م د → ي و م → د ي ن → ه د ي → ض ل ل	س م و:B004:السماء وما علا فأظل | ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ي و م:B001:وقت النهار المحدود | د ي ن:B001:الطاعة والانقياد | ه د ي:B001:دلالة بلطف إلى الطريق والحق | ض ل ل:B001:الضلال عن الهدى والقصد	theme:land_water_sky/sky_astronomy(3); kw:custom(2); kw:ceiling(1); kw:gratitude(1); kw:overhead(1); kw:canopy(1); kw:sunrise(1); kw:daytime(1); kw:grammar(1); kw:sunset(1); kw:duration(1); kw:praise(1); kw:preposition(1); kw:submission(1); kw:quantification(1); kw:linguistics(1)
IF0021	9	2418	1,2,3,4,5,6,7	kw:navigation | theme:space_form_boundary/space	س م و → ح م د → ء ل ه → د ي ن → ع ب د → ص ر ط → ض ل ل	س م و:B001:العلو والارتفاع | ح م د:B001:الحمد خلاف الذم | ء ل ه:B001:التعبد والمعبود | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ص ر ط:B001:الطريق المستقيم | ض ل ل:B001:الضلال عن الهدى والقصد	kw:navigation(2); theme:space_form_boundary/space(2); kw:gratitude(1); kw:loftiness(1); kw:misguidance(1); kw:eminence(1); kw:straightness(1); kw:paving(1); kw:taming(1); kw:smoothing(1); kw:praise(1); kw:leveling(1); kw:coating(1); kw:rise(1); kw:pity(1); kw:compassion(1)
IF0022	8	6331	1,2,3,4,5,7	kw:submission | kw:obedience | kw:blessing | kw:authority | theme:kinship_society/hospitality_welfare	ء ل ه → ح م د → ر ب ب → ر ح م → د ي ن → ع ب د → ن ع م	ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B004:ربة وجماعات كثيرة | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ع ب د:B003:العبادة والطاعة الخاضعة | ن ع م:B001:حسن الحال والنعمة	theme:kinship_society/hospitality_welfare(3); kw:submission(2); kw:obedience(2); kw:blessing(2); kw:authority(2); kw:gratitude(1); kw:grace(1); kw:praise(1); kw:bounty(1); kw:pity(1); kw:compassion(1); kw:tenderness(1); kw:loftiness(1); kw:eminence(1); kw:kindness(1); kw:thousand(1)
IF0023	8	4480	1,2,3,4,5,6,7	kw:gratitude | kw:thousand | kw:ceiling | kw:overhead	س م و → ء ل ه → ح م د → ر ب ب → ر ح م → د ي ن → ه د ي	س م و:B004:السماء وما علا فأظل | ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ب ب:B004:ربة وجماعات كثيرة | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ه د ي:B001:دلالة بلطف إلى الطريق والحق	kw:gratitude(1); kw:thousand(1); kw:ceiling(1); kw:overhead(1); kw:pity(1); kw:canopy(1); kw:compassion(1); kw:praise(1); kw:tenderness(1); kw:demography(1); kw:kindness(1); kw:submission(1); kw:multitude(1); kw:obedience(1); kw:misguidance(1); kw:aid(1)
IF0024	8	632	1,2,3,5,6,7	kw:name | kw:language | theme:kinship_society/identity_personhood	س م و → ء ل ه → ر ب ب → ر ح م → ع ب د → ص ر ط → ض ل ل	س م و:B005:الاسم تنويه ودلالة | ء ل ه:B002:اسم الله في القسم والنداء | ر ب ب:B003:علم رباني | ر ح م:B002:الرَّحِم والقرابة | ع ب د:B007:القوة والصلابة | ص ر ط:B002:الغيبة في المرور والبلع | ض ل ل:B001:الضلال عن الهدى والقصد	kw:name(2); kw:language(2); theme:kinship_society/identity_personhood(2); kw:family(1); kw:sage(1); kw:scholar(1); kw:invocation(1); kw:relative(1); kw:address(1); kw:appellation(1); kw:semiotics(1); kw:stoutness(1); kw:antiquity(1); kw:oath(1); kw:swallowing(1); kw:ingestion(1)
IF0025	8	288	1,2,3,4,5,6,7	kw:gratitude | kw:family | kw:ceiling | kw:overhead	س م و → ء ل ه → ح م د → ر ح م → ع ب د → ص ر ط → ض ل ل	س م و:B004:السماء وما علا فأظل | ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | ر ح م:B002:الرَّحِم والقرابة | ع ب د:B007:القوة والصلابة | ص ر ط:B002:الغيبة في المرور والبلع | ض ل ل:B001:الضلال عن الهدى والقصد	kw:solidity(2); kw:gratitude(1); kw:family(1); kw:ceiling(1); kw:overhead(1); kw:relative(1); kw:canopy(1); kw:praise(1); kw:misguidance(1); kw:stoutness(1); kw:error(1); kw:vitality(1); kw:deviation(1); kw:blessing(1); kw:swallowing(1); kw:antiquity(1)
IF0026	8	258	1,2,3,4,5,6,7	kw:straightness | kw:navigation | theme:law_governance/politics_order | theme:cognition_perception/proof_uncertainty	ر ح م → ح م د → ء ل ه → د ي ن → ق و م → ص ر ط → ض ل ل	ر ح م:B002:الرَّحِم والقرابة | ح م د:B001:الحمد خلاف الذم | ء ل ه:B001:التعبد والمعبود | د ي ن:B001:الطاعة والانقياد | ق و م:B008:استقامة واعتدال واستواء | ص ر ط:B001:الطريق المستقيم | ض ل ل:B001:الضلال عن الهدى والقصد	kw:straightness(2); kw:navigation(2); theme:law_governance/politics_order(2); theme:cognition_perception/proof_uncertainty(2); kw:submission(2); kw:obedience(2); kw:gratitude(1); kw:rectitude(1); kw:evenness(1); kw:misguidance(1); kw:moderation(1); kw:praise(1); kw:error(1); kw:pity(1); kw:compassion(1); kw:family(1)
IF0027	7	992	1,2,3,4,5,6,7	kw:authority | theme:law_governance/politics_order	ء ل ه → ر ب ب → ر ح م → م ل ك → د ي ن → ع ب د → ص ر ط	ء ل ه:B001:التعبد والمعبود | ر ب ب:B006:رُبّ خاثر وإصلاح به | ر ح م:B001:الرَّحْمَة والرقة | م ل ك:B003:المُلك والسلطان | د ي ن:B001:الطاعة والانقياد | ع ب د:B005:التذليل والتسوية | ص ر ط:B001:الطريق المستقيم	kw:authority(2); theme:law_governance/politics_order(2); kw:pity(1); kw:kingship(1); kw:dominion(1); kw:compassion(1); kw:straightness(1); kw:gratitude(1); kw:sovereignty(1); kw:paving(1); kw:tenderness(1); kw:taming(1); kw:smoothing(1); kw:leveling(1); kw:coating(1); kw:praise(1)
IF0028	7	970	1,2,3,4,5,6,7	kw:gratitude | kw:hawk | kw:falcon | kw:pity	س م و → ح م د → ء ل ه → ع ل م → ر ح م → د ي ن → ه د ي	س م و:B001:العلو والارتفاع | ح م د:B001:الحمد خلاف الذم | ء ل ه:B001:التعبد والمعبود | ع ل م:B006:طائر جارح يسمى العلام | ر ح م:B001:الرَّحْمَة والرقة | د ي ن:B001:الطاعة والانقياد | ه د ي:B001:دلالة بلطف إلى الطريق والحق	kw:custom(2); kw:gratitude(1); kw:hawk(1); kw:falcon(1); kw:pity(1); kw:raptor(1); kw:compassion(1); kw:predator(1); kw:praise(1); kw:tenderness(1); kw:kindness(1); kw:ornithology(1); kw:loftiness(1); kw:eminence(1); kw:rise(1); kw:submission(1)
