word_id	ayah_ref	word_index	surface_ar	qac_ayah_ref	qac_word_ref	lemma_ar	root	pos	aspect	mood	voice	measure	morpheme_ids	qac_morpheme_refs	morph_features	attachment_unit_ids	syntax_edge_ids	evidence_ids	claim_ids
w-s001-a000-w001	1:0	1	بِسْمِ	1:1	1:1:1	ٱسْم	س م و	N					m-w-s001-a000-w001-01;m-w-s001-a000-w001-02	1:1:1:1;1:1:1:2	PREFIX|bi+ | STEM|POS:N|LEM:{som|ROOT:smw|M|GEN	q:1:1:1;q:1:1:2	sx-1_0-00001;sx-1_0-00002		
w-s001-a000-w002	1:0	2	ٱللَّهِ	1:1	1:1:2	ٱللَّه	ء ل ه	PN					m-w-s001-a000-w002-01	1:1:2:1	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN	q:1:1:3	sx-1_0-00002;sx-1_0-00003;sx-1_0-00004		
w-s001-a000-w003	1:0	3	ٱلرَّحْمَٰنِ	1:1	1:1:3	رَّحْمَٰن	ر ح م	ADJ					m-w-s001-a000-w003-01;m-w-s001-a000-w003-02	1:1:3:1;1:1:3:2	PREFIX|Al+ | STEM|POS:ADJ|LEM:r~aHoma`n|ROOT:rHm|MS|GEN	q:1:1:4;q:1:1:5	sx-1_0-00003;sx-1_0-00004		
w-s001-a000-w004	1:0	4	ٱلرَّحِيمِ	1:1	1:1:4	رَّحِيم	ر ح م	ADJ					m-w-s001-a000-w004-01;m-w-s001-a000-w004-02	1:1:4:1;1:1:4:2	PREFIX|Al+ | STEM|POS:ADJ|LEM:r~aHiym|ROOT:rHm|MS|GEN				
w-s001-a002-w001	1:2	1	ٱلْحَمْدُ	1:2	1:2:1	حَمْد	ح م د	N					m-w-s001-a002-w001-01;m-w-s001-a002-w001-02	1:2:1:1;1:2:1:2	PREFIX|Al+ | STEM|POS:N|LEM:Hamod|ROOT:Hmd|M|NOM	q:1:2:1;q:1:2:2	sx-1_2-00005;sx-1_2-00006	e-s001-1_6-014;e-s001-1_6-032	s001-1_6-guidance-as-favor;s001-1_6-devotional-offering
w-s001-a002-w002	1:2	2	لِلَّهِ	1:2	1:2:2	ٱللَّه	ء ل ه	PN					m-w-s001-a002-w002-01;m-w-s001-a002-w002-02	1:2:2:1;1:2:2:2	PREFIX|l:P+ | STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|GEN	q:1:2:3	sx-1_2-00005;sx-1_2-00006;sx-1_2-00007		
w-s001-a002-w003	1:2	3	رَبِّ	1:2	1:2:3	رَبّ	ر ب ب	N					m-w-s001-a002-w003-01	1:2:3:1	STEM|POS:N|LEM:rab~|ROOT:rbb|M|GEN	q:1:2:4	sx-1_2-00007;sx-1_2-00008	e-s001-1_6-008	s001-1_6-sustained-straightness
w-s001-a002-w004	1:2	4	ٱلْعَٰلَمِينَ	1:2	1:2:4	عَٰلَمِين	ع ل م	N					m-w-s001-a002-w004-01;m-w-s001-a002-w004-02	1:2:4:1;1:2:4:2	PREFIX|Al+ | STEM|POS:N|LEM:Ea`lamiyn|ROOT:Elm|MP|GEN	q:1:2:5	sx-1_2-00008		
w-s001-a003-w001	1:3	1	ٱلرَّحْمَٰنِ	1:3	1:3:1	رَّحْمَٰن	ر ح م	ADJ					m-w-s001-a003-w001-01;m-w-s001-a003-w001-02	1:3:1:1;1:3:1:2	PREFIX|Al+ | STEM|POS:ADJ|LEM:r~aHoma`n|ROOT:rHm|MS|GEN	q:1:3:1;q:1:3:2	sx-1_3-00009		
w-s001-a003-w002	1:3	2	ٱلرَّحِيمِ	1:3	1:3:2	رَّحِيم	ر ح م	ADJ					m-w-s001-a003-w002-01;m-w-s001-a003-w002-02	1:3:2:1;1:3:2:2	PREFIX|Al+ | STEM|POS:ADJ|LEM:r~aHiym|ROOT:rHm|MS|GEN				
