candidate_id	channel_score	label_hint	ayah_count	root_count	branch_count	edge_count	mean_affinity	density	reciprocal_edge_ratio	strong_rank_ratio	ayahs	roots	top_facets	example_edge
C001	0.8304	mansion / astronomy / moon / calendar	16	11	11	18	0.06986528	0.3273	0.9444	0.7222	2,4,11,12,14,15,17,18,19,20,21,22,24,26,28,29	ء ب د ء خ ذ ب ط ن د ب ر س و ي ع م ي غ ف ر ق ل ب ك ل ل ن ز ل ن ع م	kw:mansion(77.6548); kw:astronomy(74.9518); kw:moon(73.8599); kw:calendar(72.6452); theme:land_water_sky/sky_astronomy(63.4812); kw:star(51.3473); kw:phase(34.1547); kw:constellation(29.1436)	ق ل ب:B010:قلب العقرب النجم → ب ط ن:B008:البطين بطن الحمل
C002	0.8225	palm / agriculture_food/plant_vegetation / tree / sapling	14	11	13	26	0.06617683	0.3421	1.0	0.7692	4,9,10,11,12,14,15,16,18,21,24,25,26,27	ء ت ي ء ص ل ج ع ل ش ج ر ش ي ء ط ل ق ظ ف ر ع ر ب ع ز ر ق ص ر ق ل ب	kw:palm(68.2325); theme:agriculture_food/plant_vegetation(58.4865); kw:tree(56.576); kw:sapling(49.5059); kw:growth(42.1427); kw:botany(38.0359); kw:seedling(34.884); kw:shoot(28.7797)	ش ي ء:B006:صغار النخل → ج ع ل:B006:النخل الصغار أو القصار
C003	0.8214	promise / confirmation / commitment / covenant	20	10	11	14	0.07030472	0.2593	1.0	0.7857	2,4,5,7,9,10,11,12,13,15,16,18,19,20,24,25,26,27,28,29	ء م ن ب ع د ح ق ق ح ك م خ ل ف د ي ن ص د ق ع ه د ن ع م و ع د	kw:promise(60.9791); kw:confirmation(50.3071); kw:commitment(42.2076); kw:covenant(41.3787); kw:trust(37.4165); kw:contract(24.6242); theme:law_governance/obligation_contract(24.0043); kw:obligation(22.5563)	خ ل ف:B005:وعد لا يقع في ميعاده → و ع د:B001:وعد يفتح رجاء الموعود بقول
C004	0.8162	palm / agriculture_food/plant_vegetation / sapling / botany	20	13	15	28	0.06581317	0.2718	1.0	0.7143	4,5,6,9,10,11,12,14,15,16,17,18,19,20,21,23,24,25,26,27	ء ت ي ء ص ل ج ع ل خ ل و د خ ل ش ي ء ص ي ر ط ل ق ظ ف ر ع ر ب ق ص ر ق ل ب ك ث ر	kw:palm(79.6046); theme:agriculture_food/plant_vegetation(62.3856); kw:sapling(49.5059); kw:botany(47.5448); kw:tree(45.2608); kw:shoot(43.1696); kw:growth(42.1427); kw:smallness(39.2775)	ش ي ء:B006:صغار النخل → ج ع ل:B006:النخل الصغار أو القصار
C005	0.8155	mating / estrus / desire / stallion	16	10	10	15	0.06450636	0.3333	1.0	0.6	4,5,6,7,10,12,13,14,16,20,23,24,25,26,27,29	ء ت ي ب ط ن ج ع ل ح ر م ح م ي س م و س ن ن س و ء ع ت د و ع د	kw:mating(69.6314); kw:estrus(47.0731); kw:desire(45.1864); kw:stallion(44.316); kw:sexuality(42.6119); kw:reproduction(30.5959); kw:aggression(29.3388); kw:female(28.1384)	ح ر م:B012:الحِرمة شهوة الفحل → ج ع ل:B009:اشتهاء الأنثى للفحل
C006	0.8097	land_water_sky/water_hydrology / water / sustenance / channel	17	14	14	26	0.06391832	0.2857	1.0	0.7308	1,3,4,6,10,11,14,15,16,17,18,19,20,22,25,26,27	ء ت ي ء خ ذ ر ج ل ص د د ع د د ع ذ ب ع ل م ف ت ح ف و ق ق ر ب م ل ك ن ز ل ن ص ر ن ف س	theme:land_water_sky/water_hydrology(107.102); kw:water(67.7898); kw:sustenance(40.4815); kw:channel(39.8493); kw:well(37.5174); kw:resource(36.0777); kw:hydrology(32.29); kw:conduit(31.7301)	ع د د:B004:الماء العد → ص د د:B010:ماء مسمى
C007	0.8092	palm / growth / agriculture_food/plant_vegetation / shoot	20	13	15	28	0.06683256	0.2718	1.0	0.6429	4,5,10,11,12,13,14,15,16,17,18,19,20,21,22,24,25,26,27,29	ء ت ي ب ع د ج ع ل ج ن ن ز ر ع ش ط ء ش ي ء ط ل ق ط و ع ع ر ب ق ل ب ك ث ر ك ف ر	kw:palm(79.6046); kw:growth(73.7497); theme:agriculture_food/plant_vegetation(70.1838); kw:shoot(57.5595); kw:sapling(49.5059); kw:agriculture(49.2943); kw:botany(38.0359); kw:pith(35.7766)	ش ي ء:B006:صغار النخل → ج ع ل:B006:النخل الصغار أو القصار
C008	0.8072	family / body_health_life/reproduction_birth / reproduction / relative	17	12	13	22	0.06647728	0.2857	0.9545	0.7727	2,5,6,10,11,14,16,17,18,21,22,24,25,26,27,28,29	ب ع د ج ن ن ح ر م ح م ي ر ح م ظ ه ر ع ذ ب غ ف ر ق ر ب ك ل ل ن ف س و ل ي	kw:family(79.8764); theme:body_health_life/reproduction_birth(68.2255); kw:reproduction(50.9932); kw:relative(50.3071); kw:kinship(47.6209); kw:marriage(45.4118); kw:womb(40.0012); kw:inheritance(39.5566)	ر ح م:B002:الرَّحِم والقرابة → ق ر ب:B003:قرابة الرحم والنسب
C009	0.8069	palm / agriculture_food/plant_vegetation / growth / sapling	20	13	14	23	0.06789099	0.2556	1.0	0.6957	2,4,5,10,11,12,13,14,15,16,17,18,19,20,21,22,25,26,27,29	ء ت ي ج ع ل ح ل ق ز ر ع ش ي ء ط ل ق ط و ع ع ر ب غ ف ر ق ص ر ق ل ب ك ث ر ك ف ر	kw:palm(79.6046); theme:agriculture_food/plant_vegetation(74.0829); kw:growth(52.6784); kw:sapling(49.5059); kw:botany(47.5448); kw:fruit(46.4691); kw:shoot(43.1696); kw:pith(35.7766)	ش ي ء:B006:صغار النخل → ج ع ل:B006:النخل الصغار أو القصار
C010	0.8039	pasture / grazing / husbandry / herd	17	10	11	15	0.06366325	0.2778	1.0	0.8	2,4,7,8,9,11,12,13,14,15,16,17,23,26,27,28,29	ح ق ق ر س ل ر و د س م و س ن ن س و م ط ل ق ط و ع ق ب ل ن ع م	kw:pasture(57.6608); kw:grazing(54.2007); kw:husbandry(45.1864); kw:herd(38.6317); theme:animal_life/husbandry(32.1641); kw:subsistence(28.7797); kw:mobility(24.0518); kw:release(23.8949)	س ن ن:B006:رعي يصقل ويقوي → س و م:B003:رعي وتخلية في المرعى
