parent_theme	theme	branch_df	total_branches	idf
ritual_belief	pilgrimage_sacrifice	76	11275	5.986626
ritual_belief	prayer_supplication	78	11275	5.960984
ritual_belief	afterlife_eschatology	80	11275	5.935983
law_governance	testimony_witness	106	11275	5.657603
kinship_society	recreation_sport	127	11275	5.478402
movement_travel	speed	138	11275	5.395958
agriculture_food	pasture_forage	166	11275	5.212438
kinship_society	family	171	11275	5.182937
emotion_ethics	fear_grief	184	11275	5.110076
body_health_life	hygiene_sanitation	189	11275	5.083408
law_governance	punishment_sanction	190	11275	5.078158
ritual_belief	purity_cleansing	190	11275	5.078158
emotion_ethics	deception_corruption	191	11275	5.072936
language_communication	writing_text	197	11275	5.042165
agriculture_food	harvest_cultivation	204	11275	5.007422
kinship_society	culture_tradition	212	11275	4.969140
economy_property	finance_debt	232	11275	4.879393
body_health_life	sexuality	234	11275	4.870846
movement_travel	migration_displacement	236	11275	4.862372
land_water_sky	light_darkness	268	11275	4.735720
kinship_society	gender	271	11275	4.724630
land_water_sky	fire_heat	271	11275	4.724630
law_governance	politics_order	271	11275	4.724630
space_form_boundary	pattern_marking	273	11275	4.717304
emotion_ethics	trust_loyalty	275	11275	4.710031
agriculture_food	cooking_drink	281	11275	4.688525
cognition_perception	memory_attention	304	11275	4.610120
language_communication	grammar_expression	314	11275	4.577859
body_health_life	mortality_death	323	11275	4.549688
language_communication	concealment_disclosure	323	11275	4.549688
land_water_sky	sky_astronomy	328	11275	4.534374
body_health_life	life_stage_aging	341	11275	4.495621
animal_life	wildlife	346	11275	4.481107
conflict_security	weaponry	354	11275	4.458314
time_measure_quantity	calendar_season	358	11275	4.447109
emotion_ethics	desire_appetite	360	11275	4.441554
kinship_society	marriage_genealogy	368	11275	4.419635
economy_property	economy	377	11275	4.395538
land_water_sky	earth_geology	403	11275	4.329017
craft_material_built	ornament_beauty	409	11275	4.314275
condition_force_change	capacity_ability	420	11275	4.287799
time_measure_quantity	quantity_number	423	11275	4.280698
cognition_perception	knowledge_learning	426	11275	4.273648
ritual_belief	religion_worship	428	11275	4.268975
movement_travel	transport	433	11275	4.257387
emotion_ethics	honor_shame	434	11275	4.255086
space_form_boundary	space	438	11275	4.245932
craft_material_built	storage_vessels	446	11275	4.227873
condition_force_change	support_dependence	455	11275	4.207939
cognition_perception	proof_uncertainty	457	11275	4.203563
body_health_life	posture_embodiment	466	11275	4.184103
ritual_belief	ritual	467	11275	4.181964
economy_property	labor_work	481	11275	4.152488
kinship_society	hospitality_welfare	482	11275	4.150415
movement_travel	navigation_route	486	11275	4.142168
space_form_boundary	visual_appearance	499	11275	4.115824
kinship_society	kinship	501	11275	4.111832
space_form_boundary	surface_shape	504	11275	4.105873
craft_material_built	textile_clothing	539	11275	4.038863
kinship_society	identity_personhood	543	11275	4.031483
movement_travel	orientation_direction	548	11275	4.022333
animal_life	husbandry	549	11275	4.020514
body_health_life	reproduction_birth	553	11275	4.013267
law_governance	obligation_contract	560	11275	4.000711
economy_property	commerce_exchange	562	11275	3.997152
condition_force_change	growth_decay	564	11275	3.993606
kinship_society	hierarchy_status	568	11275	3.986551
animal_life	livestock	583	11275	3.960531
